Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,WinRate,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
V1_MaxTrades_5_JPY_2_AUD_3,StrictIS_2015_2024,9268,500000.0,654466117820.0,654465617820.0,130893123.56,106280431000.0,28.33,6.16,54.16,1.363,-16.51,48.79,3.02
V1_MaxTrades_5_JPY_2_AUD_3,StrictOOS_2025_2026Q1,1147,654466117820.0,3175174497556.0,2520708379736.0,385.15,701766499994.0,29.94,3.59,53.1,1.239,-14.08,36.13,2.82
V1_MaxTrades_5_JPY_2_AUD_3,Q1_2026,244,3149701034189.0,3175174497556.0,25473463367.0,0.81,701766499994.0,18.36,0.04,49.59,1.006,-14.08,7.31,0.2
V1_MaxTrades_5_JPY_3_AUD_2,Full_2015_2026Q1,10465,500000.0,7409222168355.0,7409221668355.0,1481844333.67,1051353552155.0,31.51,7.05,53.5,1.299,-16.65,49.86,3.19
V1_MaxTrades_5_JPY_3_AUD_2,StrictIS_2015_2024,9322,500000.0,1416342574985.0,1416342074985.0,283268415.0,156110638823.0,31.51,9.07,53.57,1.489,-16.65,49.86,3.22
V1_MaxTrades_5_JPY_3_AUD_2,StrictOOS_2025_2026Q1,1143,1416342574985.0,7409222168355.0,5992879593370.0,423.12,1051353552155.0,24.31,5.7,52.93,1.274,-13.19,30.19,2.91
V1_MaxTrades_5_JPY_3_AUD_2,Q1_2026,242,6546228867273.0,7409222168355.0,862993301082.0,13.18,1051353552155.0,14.21,0.82,52.07,1.092,-7.78,14.06,1.08
V1_MaxTrades_5_JPY_3_AUD_3,Full_2015_2026Q1,10943,500000.0,14451569217666.0,14451568717666.0,2890313743.53,3164864244170.0,32.77,4.57,53.9,1.272,-18.02,49.72,3.33
V1_MaxTrades_5_JPY_3_AUD_3,StrictIS_2015_2024,9761,500000.0,2505446131606.0,2505445631606.0,501089126.32,353861945427.0,32.77,7.08,54.0,1.428,-18.02,49.72,3.36
V1_MaxTrades_5_JPY_3_AUD_3,StrictOOS_2025_2026Q1,1182,2505446131606.0,14451569217666.0,11946123086060.0,476.81,3164864244170.0,25.25,3.77,53.05,1.253,-13.9,38.19,3.12
V1_MaxTrades_5_JPY_3_AUD_3,Q1_2026,254,14022991940552.0,14451569217666.0,428577277113.0,3.06,3164864244170.0,17.97,0.14,50.39,1.02,-13.9,9.21,0.39
V1_MaxTrades_6_JPY_2_AUD_2,Full_2015_2026Q1,9870,500000.0,1730465616677.0,1730465116677.0,346093023.34,250458039810.0,28.62,6.91,53.75,1.282,-13.63,47.32,2.87
V1_MaxTrades_6_JPY_2_AUD_2,StrictIS_2015_2024,8751,500000.0,386698011888.0,386697511888.0,77339502.38,52415720115.0,28.62,7.38,53.88,1.389,-13.63,47.32,2.9
V1_MaxTrades_6_JPY_2_AUD_2,StrictOOS_2025_2026Q1,1119,386698011888.0,1730465616677.0,1343767604789.0,347.5,250458039810.0,26.52,5.37,52.73,1.261,-12.76,34.83,2.66
V1_MaxTrades_6_JPY_2_AUD_2,Q1_2026,228,1531678924784.0,1730465616677.0,198786691893.0,12.98,250458039810.0,13.31,0.79,51.75,1.099,-8.48,12.68,1.05
V1_MaxTrades_6_JPY_2_AUD_3,Full_2015_2026Q1,10803,500000.0,8062182878136.0,8062182378136.0,1612436475.63,1493730597054.0,31.78,5.4,54.08,1.261,-14.59,48.37,3.18
