Pair,Method,Selection,Date,X,Y,ReferenceStart,ReferenceEnd,ReferenceN,LessCount,EqualCount,Percentile,Q,AlignedLondonReturn,Pass
EURAUD,Primary,First2022,2022-01-03,-0.1999999999990898,24.800000000000377,2021-01-14,2021-12-31,252,1,0,0.003968253968253968,1,24.800000000000377,True
EURAUD,Robustness,FirstQ1,2016-02-11,5.999999999999339,175.0000000000007,2015-02-12,2016-02-10,252,15,0,0.05952380952380952,1,-175.0000000000007,True
EURAUD,Robustness,FirstQ2,2016-01-25,32.29999999999844,28.300000000001102,2015-01-27,2016-01-22,252,97,0,0.38492063492063494,2,-28.300000000001102,True
EURAUD,Robustness,FirstQ3,2016-01-22,-41.49999999999876,-6.500000000000394,2015-01-26,2016-01-21,252,117,0,0.4642857142857143,3,-6.500000000000394,True
EURAUD,Robustness,FirstQ4,2015-12-31,-67.09999999999994,-32.00000000000092,2015-01-05,2015-12-30,252,177,0,0.7023809523809523,4,-32.00000000000092,True
EURAUD,Robustness,FirstQ5,2016-01-04,222.7000000000001,0.10000000000065512,2015-01-06,2015-12-31,252,251,0,0.996031746031746,5,-0.10000000000065512,True
EURAUD,Robustness,First2022,2022-01-03,-10.699999999999044,24.800000000000377,2021-01-14,2021-12-31,252,70,0,0.2777777777777778,2,24.800000000000377,True
GBPJPY,Primary,FirstQ1,2015-12-31,-4.200000000000159,-19.900000000001228,2015-01-05,2015-12-30,252,27,1,0.10912698412698413,1,19.900000000001228,True
GBPJPY,Primary,FirstQ2,2016-03-18,14.400000000000546,-0.40000000000190994,2015-03-23,2016-03-17,252,85,1,0.3392857142857143,2,-0.40000000000190994,True
GBPJPY,Primary,FirstQ3,2016-01-14,19.10000000000025,-94.5999999999998,2015-01-16,2016-01-13,252,120,0,0.47619047619047616,3,-94.5999999999998,True
GBPJPY,Primary,FirstQ4,2016-01-12,-40.29999999999916,-39.400000000000546,2015-01-14,2016-01-11,252,194,0,0.7698412698412699,4,39.400000000000546,True
GBPJPY,Primary,FirstQ5,2016-01-04,-137.00000000000045,38.79999999999768,2015-01-06,2015-12-31,252,249,0,0.9880952380952381,5,-38.79999999999768,True
GBPJPY,Primary,First2022,2022-01-03,-3.300000000001546,-21.800000000001774,2021-01-14,2021-12-31,252,37,0,0.14682539682539683,1,21.800000000001774,True
GBPJPY,Robustness,FirstQ1,2015-12-31,2.7000000000015234,-19.900000000001228,2015-01-05,2015-12-30,252,14,0,0.05555555555555555,1,-19.900000000001228,True
GBPJPY,Robustness,FirstQ2,2016-01-05,-8.70000000000175,-99.69999999999857,2015-01-07,2016-01-04,252,51,0,0.20238095238095238,2,99.69999999999857,True
GBPJPY,Robustness,FirstQ3,2016-01-22,27.499999999997726,45.10000000000218,2015-01-26,2016-01-21,252,131,0,0.5198412698412699,3,45.10000000000218,True
GBPJPY,Robustness,FirstQ4,2016-01-11,45.300000000000296,80.10000000000161,2015-01-13,2016-01-08,252,185,0,0.7341269841269841,4,80.10000000000161,True
GBPJPY,Robustness,FirstQ5,2016-01-04,-168.99999999999977,38.79999999999768,2015-01-06,2015-12-31,252,250,0,0.9920634920634921,5,-38.79999999999768,True
GBPJPY,Robustness,First2022,2022-01-03,2.5000000000005684,-21.800000000001774,2021-01-14,2021-12-31,252,19,0,0.07539682539682539,1,-21.800000000001774,True
