Pair,Method,Period,Q,N,ObservedWeeks,Mean,Median,Std,PositiveRate,NegativeRate,NeutralRate,CILow,CIHigh,ValidBootstraps
GBPJPY,Robustness,Historical,1,314,206,0.6942675159236096,-1.8000000000000682,43.53929405465884,0.47770700636942676,0.5222929936305732,0.0,-3.848970506784921,5.176636539445083,5000
GBPJPY,Robustness,Historical,2,324,209,-1.111111111111061,0.6000000000000227,40.41502571328598,0.5061728395061729,0.49074074074074076,0.0030864197530864196,-5.936825122149672,3.4203810686320075,5000
GBPJPY,Robustness,Historical,3,313,215,-2.351757188498359,-0.6000000000000227,38.24393288289159,0.49201277955271566,0.5047923322683706,0.003194888178913738,-6.672857164870655,2.0176692469168294,5000
GBPJPY,Robustness,Historical,4,295,199,-3.1874576271185497,-2.600000000001046,43.87725781903923,0.4745762711864407,0.5254237288135594,0.0,-8.496763329979858,1.838531746031846,5000
GBPJPY,Robustness,Historical,5,300,186,1.0159999999998064,-0.7000000000005002,55.511205991542404,0.48333333333333334,0.51,0.006666666666666667,-4.730399647887565,6.7513765306121165,5000
USDJPY,Primary,RecentA,1,83,57,-2.3638554216866483,-3.700000000000614,28.763656685652094,0.4457831325301205,0.5542168674698795,0.0,-8.835384485094938,4.027711598746096,5000
USDJPY,Primary,RecentA,2,101,66,1.6455445544554375,-0.0999999999990564,28.54265062937386,0.48514851485148514,0.504950495049505,0.009900990099009901,-3.6212792427316627,7.203842613132207,5000
USDJPY,Primary,RecentA,3,83,57,-1.3903614457829399,-4.500000000001592,31.902376295229065,0.4457831325301205,0.5542168674698795,0.0,-7.697013368983843,4.6900710267229595,5000
USDJPY,Primary,RecentA,4,113,74,-1.195575221239,-2.5000000000005684,32.374762518104625,0.46017699115044247,0.5398230088495575,0.0,-8.01233469202906,5.898720211826976,5000
USDJPY,Primary,RecentA,5,134,69,2.2723880597016106,4.699999999999704,41.179999875461476,0.582089552238806,0.417910447761194,0.0,-4.377295164233439,8.726661866359523,5000
USDJPY,Robustness,RecentA,1,95,67,0.6915789473683426,0.7999999999995566,21.569855162604178,0.5052631578947369,0.4842105263157895,0.010526315789473684,-3.1971366092692914,4.77381922675009,5000
USDJPY,Robustness,RecentA,2,90,65,-2.2055555555554758,-3.2500000000013074,23.389286710670657,0.4666666666666667,0.5333333333333333,0.0,-6.698940217391149,2.0437981274983863,5000
USDJPY,Robustness,RecentA,3,100,71,1.6100000000000705,-2.3000000000010346,30.37442937070525,0.46,0.54,0.0,-4.052478964813983,7.2105964109783365,5000
USDJPY,Robustness,RecentA,4,92,64,7.6608695652175625,8.00000000000054,36.70686361701558,0.5652173913043478,0.43478260869565216,0.0,1.7057048063127094,13.845476244601079,5000
