Pair,Method,Period,TokyoSign,Q,N,ObservedWeeks,Mean,Median,LowSample,SideDelta,SideDeltaLowSample
USDJPY,Primary,RecentB,DOWN,3,43,39,-8.22558139534872,-6.999999999999318,False,-1.8686896551721044,False
USDJPY,Primary,RecentB,DOWN,4,49,39,7.224489795918409,3.8999999999987267,False,-1.8686896551721044,False
USDJPY,Primary,RecentB,DOWN,5,58,40,-2.870689655172057,-7.149999999998613,False,-1.8686896551721044,False
USDJPY,Robustness,RecentB,UP,1,49,41,0.383673469387673,3.6000000000001364,False,11.118454190186867,False
USDJPY,Robustness,RecentB,UP,2,58,47,-1.2672413793102213,3.09999999999917,False,11.118454190186867,False
USDJPY,Robustness,RecentB,UP,3,55,45,7.092727272727291,3.100000000000591,False,11.118454190186867,False
USDJPY,Robustness,RecentB,UP,4,58,43,5.536206896551648,4.749999999999943,False,11.118454190186867,False
USDJPY,Robustness,RecentB,UP,5,47,42,11.50212765957454,6.499999999999773,False,11.118454190186867,False
USDJPY,Robustness,RecentB,DOWN,1,52,43,1.7634615384613777,3.499999999999659,False,-7.123461538461289,False
USDJPY,Robustness,RecentB,DOWN,2,43,38,-0.6697674418606226,-1.4000000000010004,False,-7.123461538461289,False
USDJPY,Robustness,RecentB,DOWN,3,42,34,1.0428571428573854,-6.799999999999784,False,-7.123461538461289,False
USDJPY,Robustness,RecentB,DOWN,4,55,42,5.350909090909526,1.9000000000005457,False,-7.123461538461289,False
USDJPY,Robustness,RecentB,DOWN,5,55,43,-5.359999999999911,-14.700000000001978,False,-7.123461538461289,False
EURAUD,Primary,RecentB,UP,1,49,39,-9.979591836734771,-13.800000000001589,False,10.408163265306062,False
EURAUD,Primary,RecentB,UP,2,44,38,-4.9499999999998785,-2.1999999999999797,False,10.408163265306062,False
EURAUD,Primary,RecentB,UP,3,55,47,-4.105454545454394,-0.7999999999985796,False,10.408163265306062,False
EURAUD,Primary,RecentB,UP,4,47,40,-1.1042553191487063,-3.9999999999995595,False,10.408163265306062,False
EURAUD,Primary,RecentB,UP,5,49,39,0.4285714285712902,-0.700000000000145,False,10.408163265306062,False
EURAUD,Primary,RecentB,DOWN,1,61,51,2.7540983606556164,2.80000000000058,False,5.080047980807996,False
EURAUD,Primary,RecentB,DOWN,2,58,45,1.9310344827585995,-1.3500000000010726,False,5.080047980807996,False
EURAUD,Primary,RecentB,DOWN,3,57,47,2.2087719298244233,3.8999999999989043,False,5.080047980807996,False
EURAUD,Primary,RecentB,DOWN,4,52,41,-5.046153846153896,-0.9500000000006725,False,5.080047980807996,False
EURAUD,Primary,RecentB,DOWN,5,41,37,7.8341463414636126,-1.0999999999983245,False,5.080047980807996,False
EURAUD,Robustness,RecentB,UP,1,46,41,-2.3999999999998893,-3.6999999999998145,False,-1.0604651162793362,False
EURAUD,Robustness,RecentB,UP,2,53,45,-7.271698113207384,-5.499999999998284,False,-1.0604651162793362,False
EURAUD,Robustness,RecentB,UP,3,51,41,4.207843137255083,4.100000000000215,False,-1.0604651162793362,False
EURAUD,Robustness,RecentB,UP,4,46,37,0.8760869565218316,1.1102230246251565e-12,False,-1.0604651162793362,False
EURAUD,Robustness,RecentB,UP,5,43,38,-3.4604651162792255,-4.199999999998649,False,-1.0604651162793362,False
EURAUD,Robustness,RecentB,DOWN,1,61,48,5.132786885246,1.900000000001345,False,0.7714684339030651,False
EURAUD,Robustness,RecentB,DOWN,2,57,44,5.994736842105271,4.899999999998794,False,0.7714684339030651,False
EURAUD,Robustness,RecentB,DOWN,3,55,45,1.8509090909088621,2.100000000000435,False,0.7714684339030651,False
EURAUD,Robustness,RecentB,DOWN,4,54,46,-0.488888888889007,2.4999999999997247,False,0.7714684339030651,False
EURAUD,Robustness,RecentB,DOWN,5,47,37,5.904255319149065,-1.0999999999983245,False,0.7714684339030651,False
GBPJPY,Primary,RecentB,UP,1,49,39,12.82448979591806,12.299999999999045,False,-10.143239795918403,False
GBPJPY,Primary,RecentB,UP,2,56,42,9.69107142857172,9.249999999998693,False,-10.143239795918403,False
GBPJPY,Primary,RecentB,UP,3,54,41,1.0333333333332146,2.400000000000091,False,-10.143239795918403,False
GBPJPY,Primary,RecentB,UP,4,52,43,5.0442307692305866,20.049999999999102,False,-10.143239795918403,False
GBPJPY,Primary,RecentB,UP,5,48,40,2.6812499999996575,9.250000000000114,False,-10.143239795918403,False
GBPJPY,Primary,RecentB,DOWN,1,52,43,1.3442307692306836,-0.10000000000047748,False,0.015769230769195675,False
GBPJPY,Primary,RecentB,DOWN,2,44,37,-11.229545454545267,-12.250000000000227,False,0.015769230769195675,False
GBPJPY,Primary,RecentB,DOWN,3,53,47,2.3886792452832166,-0.40000000000190994,False,0.015769230769195675,False
GBPJPY,Primary,RecentB,DOWN,4,51,42,-10.117647058823522,-22.30000000000132,False,0.015769230769195675,False
GBPJPY,Primary,RecentB,DOWN,5,55,40,1.3599999999998793,0.9000000000014552,False,0.015769230769195675,False
GBPJPY,Robustness,RecentB,UP,1,55,41,2.578181818181571,9.799999999998477,False,4.7989015151514005,False
GBPJPY,Robustness,RecentB,UP,2,60,40,5.346666666666711,8.64999999999867,False,4.7989015151514005,False
GBPJPY,Robustness,RecentB,UP,3,63,48,12.968253968253993,8.699999999998909,False,4.7989015151514005,False
GBPJPY,Robustness,RecentB,UP,4,43,38,-3.746511627907284,-0.40000000000190994,False,4.7989015151514005,False
GBPJPY,Robustness,RecentB,UP,5,48,42,7.377083333332972,14.900000000000091,False,4.7989015151514005,False
GBPJPY,Robustness,RecentB,DOWN,1,42,39,-14.061904761904708,-10.200000000001808,False,12.291412958625907,False
GBPJPY,Robustness,RecentB,DOWN,2,50,40,-2.0799999999998136,-1.7499999999998295,False,12.291412958625907,False
GBPJPY,Robustness,RecentB,DOWN,3,45,39,-2.617777777777835,-6.000000000000227,False,12.291412958625907,False
GBPJPY,Robustness,RecentB,DOWN,4,47,40,0.7723404255318534,-12.999999999999545,False,12.291412958625907,False
GBPJPY,Robustness,RecentB,DOWN,5,61,48,-1.7704918032788022,0.9000000000014552,False,12.291412958625907,False
USDJPY,Primary,Monitor2026,UP,1,30,19,11.143333333333393,8.99999999999892,False,-17.59333333333378,True
USDJPY,Primary,Monitor2026,UP,2,27,21,-6.974074074074005,-0.7000000000005002,True,-17.59333333333378,True
USDJPY,Primary,Monitor2026,UP,3,18,13,-2.283333333333183,-1.5499999999988745,True,-17.59333333333378,True
USDJPY,Primary,Monitor2026,UP,4,14,13,8.78571428571401,7.599999999999341,True,-17.59333333333378,True
USDJPY,Primary,Monitor2026,UP,5,10,10,-6.4500000000003865,5.5499999999995,True,-17.59333333333378,True
USDJPY,Primary,Monitor2026,DOWN,1,25,18,1.8840000000001282,-0.20000000000095497,True,18.954461538461217,True
USDJPY,Primary,Monitor2026,DOWN,2,15,12,-2.0199999999994134,-0.8000000000009777,True,18.954461538461217,True
USDJPY,Primary,Monitor2026,DOWN,3,16,14,-4.368749999999899,1.8999999999991246,True,18.954461538461217,True
USDJPY,Primary,Monitor2026,DOWN,4,7,7,-2.971428571428549,6.499999999999773,True,18.954461538461217,True
USDJPY,Primary,Monitor2026,DOWN,5,13,9,20.838461538461345,9.000000000000341,True,18.954461538461217,True
USDJPY,Robustness,Monitor2026,UP,1,23,17,10.356521739130333,5.700000000001637,True,4.1334782608692215,True
USDJPY,Robustness,Monitor2026,UP,2,31,21,-1.1387096774194745,-2.0999999999986585,False,4.1334782608692215,True
USDJPY,Robustness,Monitor2026,UP,3,16,13,-5.562499999999915,3.350000000000364,True,4.1334782608692215,True
USDJPY,Robustness,Monitor2026,UP,4,11,9,-18.899999999999554,-12.79999999999859,True,4.1334782608692215,True
USDJPY,Robustness,Monitor2026,UP,5,10,10,14.489999999999554,17.449999999999477,True,4.1334782608692215,True
