Strategy,Group,Option,Percentile,BaseTrades,AcceptedTrades,RejectedTrades,AcceptedRatePct,RejectedRatePct,Full_Trades,Full_MoneyRoMD,Full_MaxDDPct,Full_NetProfitYen,Full_PF_Yen,Full_WorstWeekReturnPct,OOS_Trades,OOS_MoneyRoMD,OOS_MaxDDPct,OOS_NetProfitYen,OOS_PF_Yen,OOS_WorstWeekReturnPct,Q1_Trades,Q1_MoneyRoMD,Q1_MaxDDPct,Q1_NetProfitYen,Q1_PF_Yen,Q1_WorstWeekReturnPct,Pips_Total,Pips_PF,Pips_RoMD,Pips_Avg,Delta_Full_MoneyRoMD,Delta_Full_MaxDDPct,Delta_Full_NetProfitYen,Delta_OOS_MoneyRoMD,Delta_OOS_MaxDDPct,Delta_OOS_NetProfitYen,Delta_Q1_MoneyRoMD,Delta_Q1_MaxDDPct,Delta_Q1_NetProfitYen
16_UJ_T10A,CrossJPY_16,P80,80,58,41,17,70.69,29.31,41,4.37,2.06,49100.0,1.963,-2.0,3,-0.65,2.0,-7320.0,0.347,-2.0,0,,0.0,0.0,,,214.1,2.008,4.62,5.22,-3.4299999999999997,-0.3799999999999999,-72251.0,-1.83,-0.43999999999999995,-25666.0,,-2.44,4228.0
16_UJ_T10A,CrossJPY_16,P85,85,58,45,13,77.59,22.41,45,4.17,2.06,47244.0,1.694,-2.0,3,-0.65,2.0,-7295.0,0.347,-2.0,0,,0.0,0.0,,,207.7,1.729,4.49,4.62,-3.63,-0.3799999999999999,-74107.0,-1.83,-0.43999999999999995,-25641.0,,-2.44,4228.0
16_UJ_T10A,CrossJPY_16,P90,90,58,47,11,81.03,18.97,47,1.69,3.25,29649.0,1.355,-2.0,3,-0.65,2.0,-7061.0,0.347,-2.0,0,,0.0,0.0,,,134.8,1.377,1.83,2.87,-6.109999999999999,0.81,-91702.0,-1.83,-0.43999999999999995,-25407.0,,-2.44,4228.0
16_UJ_T10A,CrossJPY_16,P95,95,58,53,5,91.38,8.62,53,2.92,3.25,51095.0,1.536,-2.0,6,-0.72,2.44,-9875.0,0.562,-2.0,2,-0.27,2.44,-3750.0,0.667,-2.0,225.9,1.561,3.07,4.26,-4.88,0.81,-70256.0,-1.9,0.0,-28221.0,0.0,0.0,478.0
17_EA_1B_Wed_Short,EA_Rev4,NONE,999,290,290,0,100.0,0.0,290,7.53,8.61,654869.0,1.566,-2.0,29,4.47,3.41,156777.0,2.492,-2.0,6,1.14,1.27,16856.0,2.076,-1.27,3067.6,1.591,10.38,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17_EA_1B_Wed_Short,EA_Rev4,P70,70,290,216,74,74.48,25.52,216,3.89,13.41,429792.0,1.689,-2.0,20,3.02,6.41,159532.0,8.852,-2.0,2,,0.0,17410.0,,0.34,2248.9,1.696,4.54,10.41,-3.64,4.800000000000001,-225077.0,-1.4499999999999997,3.0,2755.0,,-1.27,554.0
17_EA_1B_Wed_Short,EA_Rev4,P75,75,290,225,65,77.59,22.41,225,5.8,9.83,474299.0,1.714,-2.0,23,7.75,2.54,163817.0,4.959,-2.0,3,25.21,0.07,17560.0,26.214,-0.07,2417.1,1.716,6.87,10.74,-1.7300000000000004,1.2200000000000006,-180570.0,3.2800000000000002,-0.8700000000000001,7040.0,24.07,-1.2,704.0
17_EA_1B_Wed_Short,EA_Rev4,P80,80,290,238,52,82.07,17.93,238,4.11,12.94,460482.0,1.617,-2.0,25,2.61,6.49,146397.0,3.553,-2.0,4,27.25,0.07,18710.0,28.252,-0.07,2372.5,1.639,5.01,9.97,-3.42,4.33,-194387.0,-1.8599999999999999,3.08,-10380.0,26.11,-1.2,1854.0
17_EA_1B_Wed_Short,EA_Rev4,P85,85,290,254,36,87.59,12.41,254,5.99,9.68,520055.0,1.602,-2.0,26,5.36,3.0,144368.0,2.931,-2.0,5,0.51,1.34,7019.0,1.507,-1.27,2597.0,1.634,7.53,10.22,-1.54,1.0700000000000003,-134814.0,0.8900000000000006,-0.41000000000000014,-12409.0,-0.6299999999999999,0.07000000000000006,-9837.0
17_EA_1B_Wed_Short,EA_Rev4,P90,90,290,267,23,92.07,7.93,267,6.74,7.77,410695.0,1.465,-2.0,26,5.36,3.0,128891.0,2.931,-2.0,5,0.51,1.34,6267.0,1.507,-1.27,2209.9,1.467,7.92,8.28,-0.79,-0.8399999999999999,-244174.0,0.8900000000000006,-0.41000000000000014,-27886.0,-0.6299999999999999,0.07000000000000006,-10589.0
17_EA_1B_Wed_Short,EA_Rev4,P95,95,290,276,14,95.17,4.83,276,6.79,9.5,425492.0,1.458,-2.0,28,3.69,3.96,121068.0,2.434,-2.0,6,1.14,1.27,13508.0,2.076,-1.27,2271.0,1.46,6.6,8.23,-0.7400000000000002,0.8900000000000006,-229377.0,-0.7799999999999998,0.5499999999999998,-35709.0,0.0,0.0,-3348.0
18_EA_2_MonWed_Short,EA_Rev4,NONE,999,910,910,0,100.0,0.0,910,0.92,39.69,415015.0,1.106,-6.0,104,0.39,38.82,173032.0,1.438,-6.0,18,0.1,25.02,27212.0,1.315,-4.0,3220.9,1.137,1.5,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_EA_2_MonWed_Short,EA_Rev4,P70,70,910,643,267,70.66,29.34,643,1.38,23.79,269377.0,1.131,-4.82,67,0.53,22.56,97596.0,1.561,-4.0,6,0.5,10.53,42734.0,74.514,0.13,2196.7,1.153,1.84,3.42,0.45999999999999985,-15.899999999999999,-145638.0,0.14,-16.26,-75436.0,0.4,-14.49,15522.0
18_EA_2_MonWed_Short,EA_Rev4,P75,75,910,687,223,75.49,24.51,687,2.15,19.02,351821.0,1.147,-4.82,74,0.72,16.18,100815.0,1.454,-4.0,8,0.91,3.69,28862.0,2.435,-2.0,2687.2,1.174,2.89,3.91,1.23,-20.669999999999998,-63194.0,0.32999999999999996,-22.64,-72217.0,0.81,-21.33,1650.0
18_EA_2_MonWed_Short,EA_Rev4,P80,80,910,731,179,80.33,19.67,731,1.11,28.36,313072.0,1.109,-6.0,81,0.18,25.53,44965.0,1.148,-6.0,10,-0.02,19.59,-4840.0,0.907,-2.0,2511.9,1.147,1.77,3.44,0.19000000000000006,-11.329999999999998,-101943.0,-0.21000000000000002,-13.29,-128067.0,-0.12000000000000001,-5.43,-32052.0
18_EA_2_MonWed_Short,EA_Rev4,P85,85,910,779,131,85.6,14.4,779,0.6,38.85,243423.0,1.081,-6.0,87,0.15,36.17,55666.0,1.189,-6.0,12,-0.04,29.55,-13572.0,0.761,-2.52,2163.0,1.115,1.02,2.78,-0.32000000000000006,-0.8399999999999963,-171592.0,-0.24000000000000002,-2.6499999999999986,-117366.0,-0.14,4.530000000000001,-40784.0
18_EA_2_MonWed_Short,EA_Rev4,P90,90,910,831,79,91.32,8.68,831,0.52,37.83,175847.0,1.06,-6.0,93,0.24,36.41,76947.0,1.287,-6.0,15,0.09,28.02,22115.0,1.442,-2.52,1761.1,1.085,0.87,2.12,-0.4,-1.8599999999999994,-239168.0,-0.15000000000000002,-2.4100000000000037,-96085.0,-0.010000000000000009,3.0,-5097.0
18_EA_2_MonWed_Short,EA_Rev4,P95,95,910,871,39,95.71,4.29,871,0.68,37.19,230089.0,1.074,-6.0,99,0.33,36.29,109308.0,1.356,-6.0,17,0.1,25.64,22762.0,1.336,-4.0,2156.4,1.098,1.1,2.48,-0.24,-2.5,-184926.0,-0.06,-2.530000000000001,-63724.0,0.0,0.620000000000001,-4450.0
19_EA_3_WedThu_Long,EA_Rev4,NONE,999,666,666,0,100.0,0.0,666,8.77,13.45,1194908.0,1.43,-4.0,66,1.46,7.8,193120.0,1.376,-4.0,14,0.22,5.53,20327.0,1.169,-2.79,5766.2,1.453,8.86,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_EA_3_WedThu_Long,EA_Rev4,P70,70,666,455,211,68.32,31.68,455,10.76,7.59,556339.0,1.493,-3.08,47,2.29,4.89,118276.0,1.657,-2.79,12,0.21,4.89,11069.0,1.183,-2.79,3486.1,1.488,9.92,7.66,1.9900000000000002,-5.859999999999999,-638569.0,0.8300000000000001,-2.91,-74844.0,-0.010000000000000009,-0.6400000000000006,-9258.0
19_EA_3_WedThu_Long,EA_Rev4,P75,75,666,508,158,76.28,23.72,508,11.92,7.3,636275.0,1.457,-4.0,53,2.42,4.78,129121.0,1.611,-2.79,13,0.55,4.78,29371.0,1.458,-2.79,3835.5,1.467,11.48,7.55,3.1500000000000004,-6.1499999999999995,-558633.0,0.96,-3.0199999999999996,-63999.0,0.33000000000000007,-0.75,9044.0
19_EA_3_WedThu_Long,EA_Rev4,P80,80,666,542,124,81.38,18.62,542,12.48,7.3,708368.0,1.438,-4.0,55,1.65,4.78,93675.0,1.341,-2.79,13,0.55,4.78,31234.0,1.458,-2.79,4123.7,1.456,12.34,7.61,3.710000000000001,-6.1499999999999995,-486540.0,0.18999999999999995,-3.0199999999999996,-99445.0,0.33000000000000007,-0.75,10907.0
19_EA_3_WedThu_Long,EA_Rev4,P85,85,666,576,90,86.49,13.51,576,13.14,7.3,806279.0,1.44,-4.0,59,1.62,4.78,99520.0,1.306,-2.79,13,0.55,4.78,33765.0,1.458,-2.79,4482.9,1.468,13.41,7.78,4.370000000000001,-6.1499999999999995,-388629.0,0.16000000000000014,-3.0199999999999996,-93600.0,0.33000000000000007,-0.75,13438.0
19_EA_3_WedThu_Long,EA_Rev4,P90,90,666,594,72,89.19,10.81,594,11.06,7.3,852958.0,1.422,-4.0,61,1.2,5.88,92747.0,1.256,-2.79,13,0.55,4.78,34971.0,1.458,-2.79,4647.9,1.466,13.91,7.82,2.290000000000001,-6.1499999999999995,-341950.0,-0.26,-1.92,-100373.0,0.33000000000000007,-0.75,14644.0
19_EA_3_WedThu_Long,EA_Rev4,P95,95,666,631,35,94.74,5.26,631,11.75,8.58,1059231.0,1.427,-4.0,62,0.96,5.88,86231.0,1.194,-2.79,14,0.25,4.87,18700.0,1.169,-2.79,5311.6,1.483,13.51,8.42,2.9800000000000004,-4.869999999999999,-135677.0,-0.5,-1.92,-106889.0,0.03,-0.6600000000000001,-1627.0
1_EJ_Log1,CrossJPY_16,NONE,999,889,889,0,100.0,0.0,889,6.06,19.5,4606929.0,1.463,-4.0,95,0.67,13.69,512921.0,1.17,-4.0,15,-0.96,8.31,-442162.0,0.346,-2.0,8582.6,1.524,11.48,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_EJ_Log1,CrossJPY_16,P70,70,889,631,258,70.98,29.02,631,8.33,14.4,1051192.0,1.368,-4.0,58,0.53,7.37,65691.0,1.137,-3.25,9,-0.95,7.37,-117179.0,0.153,-2.0,4198.9,1.403,7.78,6.65,2.2700000000000005,-5.1,-3555737.0,-0.14,-6.319999999999999,-447230.0,0.010000000000000009,-0.9400000000000004,324983.0
1_EJ_Log1,CrossJPY_16,P75,75,889,672,217,75.59,24.41,672,8.6,15.56,1235550.0,1.38,-4.0,64,0.5,8.17,71406.0,1.118,-3.25,9,-0.95,7.37,-131105.0,0.153,-2.0,4599.5,1.414,7.84,6.84,2.54,-3.9399999999999995,-3371379.0,-0.17000000000000004,-5.52,-441515.0,0.010000000000000009,-0.9400000000000004,311057.0
1_EJ_Log1,CrossJPY_16,P80,80,889,713,176,80.2,19.8,713,9.53,15.6,1368629.0,1.402,-4.0,70,1.15,7.8,164613.0,1.245,-3.25,10,-0.94,6.21,-116306.0,0.3,-2.0,4882.3,1.406,8.31,6.85,3.4699999999999998,-3.9000000000000004,-3238300.0,0.47999999999999987,-5.89,-348308.0,0.020000000000000018,-2.1000000000000005,325856.0
1_EJ_Log1,CrossJPY_16,P85,85,889,765,124,86.05,13.95,765,9.2,15.83,2119056.0,1.483,-4.0,75,0.82,8.31,188238.0,1.174,-3.25,11,-0.95,8.08,-219791.0,0.244,-2.0,6105.6,1.464,10.24,7.98,3.1399999999999997,-3.67,-2487873.0,0.1499999999999999,-5.379999999999999,-324683.0,0.010000000000000009,-0.23000000000000043,222371.0
1_EJ_Log1,CrossJPY_16,P90,90,889,811,78,91.23,8.77,811,6.46,16.15,2215764.0,1.439,-4.0,84,0.75,11.96,256495.0,1.195,-4.0,12,-0.95,7.39,-205869.0,0.315,-2.0,6264.4,1.434,10.31,7.72,0.40000000000000036,-3.3500000000000014,-2391165.0,0.07999999999999996,-1.7299999999999986,-256426.0,0.010000000000000009,-0.9200000000000008,236293.0
1_EJ_Log1,CrossJPY_16,P95,95,889,848,41,95.39,4.61,848,5.91,19.5,3154290.0,1.485,-4.0,89,0.59,13.69,312262.0,1.164,-4.0,14,-0.94,6.44,-237371.0,0.411,-2.0,7351.8,1.481,9.83,8.67,-0.14999999999999947,0.0,-1452639.0,-0.08000000000000007,0.0,-200659.0,0.020000000000000018,-1.87,204791.0
20_EA_1A_MonTue_Short,EA_Rev4,NONE,999,738,738,0,100.0,0.0,738,1.38,23.22,281792.0,1.1,-4.0,95,0.35,23.22,70792.0,1.177,-4.0,22,0.08,13.19,9662.0,1.124,-4.0,1312.3,1.134,2.04,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_EA_1A_MonTue_Short,EA_Rev4,P70,70,738,518,220,70.19,29.81,518,0.17,36.37,50518.0,1.03,-4.0,63,-0.24,36.37,-71134.0,0.645,-2.88,11,0.08,34.04,21212.0,2.242,-2.0,345.5,1.055,0.32,0.67,-1.21,13.149999999999999,-231274.0,-0.59,13.149999999999999,-141926.0,0.0,20.85,11550.0
20_EA_1A_MonTue_Short,EA_Rev4,P75,75,738,553,185,74.93,25.07,553,0.36,32.18,94906.0,1.051,-4.0,71,-0.12,32.18,-32620.0,0.856,-2.88,15,0.07,29.07,16641.0,1.537,-2.01,552.7,1.081,0.6,1.0,-1.02,8.96,-186886.0,-0.47,8.96,-103412.0,-0.009999999999999995,15.88,6979.0
20_EA_1A_MonTue_Short,EA_Rev4,P80,80,738,593,145,80.35,19.65,593,0.35,36.05,114718.0,1.053,-4.0,77,-0.18,36.05,-59352.0,0.778,-2.88,16,0.07,33.12,19647.0,1.615,-2.01,644.1,1.088,0.61,1.09,-1.0299999999999998,12.829999999999998,-167074.0,-0.53,12.829999999999998,-130144.0,-0.009999999999999995,19.93,9985.0
20_EA_1A_MonTue_Short,EA_Rev4,P85,85,738,625,113,84.69,15.31,625,0.61,31.82,180748.0,1.076,-4.0,79,-0.24,31.82,-72132.0,0.768,-4.0,16,0.08,28.69,21757.0,1.615,-2.01,908.5,1.119,0.98,1.45,-0.7699999999999999,8.600000000000001,-101044.0,-0.59,8.600000000000001,-142924.0,0.0,15.500000000000002,12095.0
20_EA_1A_MonTue_Short,EA_Rev4,P90,90,738,670,68,90.79,9.21,670,0.71,28.39,171797.0,1.072,-4.0,87,-0.06,28.39,-15314.0,0.95,-4.0,20,0.16,25.1,34842.0,1.91,-2.01,889.7,1.106,1.15,1.33,-0.6699999999999999,5.170000000000002,-109995.0,-0.41,5.170000000000002,-86106.0,0.08,11.910000000000002,25180.0
20_EA_1A_MonTue_Short,EA_Rev4,P95,95,738,704,34,95.39,4.61,704,1.24,23.22,260921.0,1.102,-4.0,91,0.14,23.22,29672.0,1.083,-4.0,21,0.14,19.52,24741.0,1.421,-2.01,1216.3,1.136,1.89,1.73,-0.1399999999999999,0.0,-20871.0,-0.20999999999999996,0.0,-41120.0,0.06000000000000001,6.33,15079.0
21_GA_B_3,GA,NONE,999,566,566,0,100.0,0.0,566,1.01,12.58,79230.0,1.129,-2.0,63,-0.21,7.42,-9582.0,0.872,-2.0,12,-0.03,7.16,-1269.0,0.874,-0.5,1701.5,1.147,1.17,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_GA_B_3,GA,P70,70,566,404,162,71.38,28.62,404,0.62,10.58,36583.0,1.109,-1.24,50,0.28,5.16,7903.0,1.191,-0.99,7,0.25,3.99,5514.0,13.233,-0.08,816.7,1.117,0.67,2.02,-0.39,-2.0,-42647.0,0.49,-2.26,17485.0,0.28,-3.17,6783.0
