Dataset,Period,Trades,StartEquity,EndEquity,NetProfitYen,ReturnPct,MaxDDYen,MaxDDPct,MoneyRoMD,PF_Yen,WorstWeekReturnPct,BestWeekReturnPct,AvgWeekReturnPct
10_AJ_SatA_P95,Full_2015_2026Q1,329,500000.0,532042.0,32042.0,6.41,70947.0,12.85,0.45,1.085,-2.0,1.0,0.02
10_AJ_SatA_P95,StrictIS_2015_2024,323,500000.0,542997.0,42997.0,8.6,70947.0,12.85,0.61,1.12,-2.0,1.0,0.03
10_AJ_SatA_P95,StrictOOS_2025_2026Q1,6,542997.0,532042.0,-10955.0,-2.02,20059.0,3.63,-0.55,0.407,-1.82,1.0,-0.34
10_AJ_SatA_P95,Q1_2026,6,542997.0,532042.0,-10955.0,-2.02,20059.0,3.63,-0.55,0.407,-1.82,1.0,-0.34
11_AJ_SatB_NONE,Full_2015_2026Q1,352,500000.0,854762.0,354762.0,70.95,78074.0,11.46,4.54,1.363,-2.0,3.45,0.16
11_AJ_SatB_NONE,StrictIS_2015_2024,344,500000.0,831192.0,331192.0,66.24,78074.0,11.46,4.24,1.346,-2.0,3.45,0.16
11_AJ_SatB_NONE,StrictOOS_2025_2026Q1,8,831192.0,854762.0,23571.0,2.84,25089.0,2.95,0.94,2.036,-2.0,2.17,0.36
11_AJ_SatB_NONE,Q1_2026,8,831192.0,854762.0,23571.0,2.84,25089.0,2.95,0.94,2.036,-2.0,2.17,0.36
11_AJ_SatB_P70,Full_2015_2026Q1,264,500000.0,587301.0,87301.0,17.46,67504.0,11.19,1.29,1.151,-2.0,3.45,0.07
11_AJ_SatB_P70,StrictIS_2015_2024,263,500000.0,578964.0,78964.0,15.79,67504.0,11.19,1.17,1.137,-2.0,3.45,0.06
11_AJ_SatB_P70,StrictOOS_2025_2026Q1,1,578964.0,587301.0,8337.0,1.44,21588.0,3.55,0.39,,1.44,1.44,1.44
11_AJ_SatB_P70,Q1_2026,1,578964.0,587301.0,8337.0,1.44,21588.0,3.55,0.39,,1.44,1.44,1.44
