Method,Period,StrategyNo,R2Quintile,Expansion,Compression,ExpansionAvgR,CompressionAvgR,Delta,FEWeight,Informative
ATR,ALL,5,Q3,66,73,0.09479797978787878,0.19057838660273976,-0.09578040681486098,34.66187050359712,True
ATR,ALL,5,Q4,50,68,0.26339999998,0.1910784313382353,0.07232156864176473,28.8135593220339,True
ATR,ALL,5,Q5,78,104,0.21480056982051288,0.07111111112500001,0.14368945869551286,44.57142857142857,True
ATR,ALL,6,Q1,61,39,-0.10908196721311476,-0.014205128205128209,-0.09487683900798656,23.79,True
ATR,ALL,6,Q2,30,21,0.13613333333333333,0.3496190476190476,-0.21348571428571428,12.352941176470589,True
ATR,ALL,6,Q3,28,27,0.22821428571428573,0.5994074074074075,-0.3711931216931218,13.745454545454546,True
ATR,ALL,6,Q4,28,23,0.3806428571428571,0.2481739130434782,0.13246894409937893,12.627450980392156,True
ATR,ALL,6,Q5,29,33,0.15737931034482758,0.3775151515151515,-0.22013584117032395,15.435483870967742,True
ATR,ALL,7,Q1,69,42,-0.009554069159420286,-0.002362637380952377,-0.007191431778467909,26.10810810810811,True
ATR,ALL,7,Q2,32,25,0.045432692250000004,0.06495384607999999,-0.019521153829999985,14.035087719298245,True
ATR,ALL,7,Q3,36,32,-0.044337606777777795,0.1443990384375,-0.18873664521527778,16.941176470588236,True
ATR,ALL,7,Q4,33,25,0.13291375281818182,0.03815384612,0.09475990669818182,14.224137931034482,True
ATR,ALL,7,Q5,35,41,0.11393406591428569,0.060093808609756105,0.053840257304529585,18.88157894736842,True
ATR,ALL,8,Q1,65,47,0.03804395604615384,0.030638297872340424,0.0074056581738134175,27.276785714285715,True
ATR,ALL,8,Q2,35,28,0.13599999994285714,0.04137755107142856,0.09462244887142857,15.555555555555555,True
ATR,ALL,8,Q3,41,28,0.06989547036585365,0.0017857142857142848,0.06810975608013937,16.63768115942029,True
ATR,ALL,8,Q4,24,21,0.22309523808333334,0.1941496597619048,0.02894557832142855,11.2,True
ATR,ALL,8,Q5,40,40,0.164499999925,0.21617857140000002,-0.05167857147500002,20.0,True
ATR,ALL,9,Q1,23,22,0.3553623188695653,-0.02878787872727274,0.38415019759683805,11.244444444444444,True
ATR,ALL,9,Q2,12,19,0.7011111111666666,0.4466666665789473,0.25444444458771925,7.354838709677419,False
ATR,ALL,9,Q3,22,25,0.17515151522727274,0.3568,-0.18164848477272727,11.702127659574469,True
ATR,ALL,9,Q4,11,19,0.2548484849090909,0.21122807015789466,0.04362041475119624,6.966666666666667,False
ATR,ALL,9,Q5,22,32,0.6007575758181818,0.050833333374999956,0.5499242424431818,13.037037037037036,True
ATR,ALL,10,Q1,18,34,0.05377777777777778,-0.048529411764705876,0.10230718954248366,11.76923076923077,False
ATR,ALL,10,Q2,15,25,0.06986666666666667,0.05496,0.014906666666666672,9.375,False
ATR,ALL,10,Q3,22,36,0.07772727272727274,-0.034333333333333334,0.11206060606060608,13.655172413793103,True
ATR,ALL,10,Q4,12,25,-0.06900000000000002,-0.010639999999999993,-0.05836000000000002,8.108108108108109,False
ATR,ALL,10,Q5,20,35,-0.10149999999999999,0.018114285714285708,-0.1196142857142857,12.727272727272727,True
ATR,ALL,11,Q1,18,34,0.16848484844444445,0.03721925129411763,0.13126559715032682,11.76923076923077,False
ATR,ALL,11,Q2,15,25,0.35078787873333334,-0.025454545399999997,0.3762424241333333,9.375,False
ATR,ALL,11,Q3,22,36,0.09206611568181819,-0.0035353535555555588,0.09560146923737375,13.655172413793103,True
ATR,ALL,11,Q4,12,25,-0.13606060608333334,0.11890909084000001,-0.2549696969233334,8.108108108108109,False
ATR,ALL,11,Q5,20,35,0.22354545444999996,0.022441558371428562,0.2011038960785714,12.727272727272727,True
ATR,ALL,12,Q1,29,79,0.243896551724138,0.07851898734177218,0.1653775643823658,21.212962962962962,True
ATR,ALL,12,Q2,34,27,0.4194411764705882,0.10718518518518519,0.31225599128540305,15.049180327868852,True
ATR,ALL,12,Q3,24,25,0.1475,0.22679999999999997,-0.07929999999999998,12.244897959183673,True
ATR,ALL,12,Q4,11,42,0.27599999999999997,0.15204761904761907,0.1239523809523809,8.716981132075471,False
ATR,ALL,12,Q5,25,42,0.4268,0.4185952380952381,0.008204761904761937,15.671641791044776,True
ATR,ALL,13,Q1,10,37,-0.0048421051,0.07985775245945946,-0.08469985755945945,7.872340425531915,False
ATR,ALL,13,Q2,10,17,0.1413684211,0.039999999882352935,0.10136842121764707,6.296296296296297,False
ATR,ALL,13,Q3,15,13,0.012701754399999992,0.07044534415384616,-0.05774358975384617,6.964285714285714,False
ATR,ALL,13,Q4,4,12,0.177894737,0.032982456,0.144912281,3.0,False
ATR,ALL,13,Q5,11,19,0.06229665072727273,0.16493074784210524,-0.10263409711483251,6.966666666666667,False
ATR,ALL,14,Q1,7,5,-0.19587301585714287,0.4537777780000001,-0.649650793857143,2.9166666666666665,False
ATR,ALL,14,Q2,2,5,0.8433333335000001,0.4702222224,0.37311111110000006,1.4285714285714286,False
ATR,ALL,14,Q3,1,1,1.555555556,0.331111111,1.224444445,0.5,False
ATR,ALL,14,Q4,6,2,0.22555555550000003,0.8311111115,-0.605555556,1.5,False
ATR,ALL,14,Q5,4,5,0.21111111124999998,0.8866666670000001,-0.6755555557500001,2.2222222222222223,False
ATR,ALL,15,Q1,1,1,0.345,1.75,-1.405,0.5,False
ATR,ALL,15,Q2,6,7,0.1708333333333333,0.23214285714285707,-0.06130952380952376,3.230769230769231,False
ATR,ALL,15,Q3,4,3,-0.3125,-0.08333333333333333,-0.22916666666666669,1.7142857142857142,False
ATR,ALL,15,Q4,7,3,0.7578571428571428,0.8333333333333334,-0.07547619047619059,2.1,False
ATR,ALL,15,Q5,18,1,0.38361111111111107,-1.0,1.3836111111111111,0.9473684210526315,False
