Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,4,4_GJ_Port_Log1,GBPJPY,Long,NORMAL,256,11.858461532,0.046322115359375,1.496457554843169,57.421875,0.2431606488163265,-0.22116809114814814,False,0.057738164284352356,0.057738164284352356,True,0.008152297920066392,0.10713487574025386,5000,True
FULL,robustness,4,4_GJ_Port_Log1,GBPJPY,Long,HIGH,272,19.389999989,0.07128676466544118,1.679782098259595,61.029411764705884,0.2886376273674699,-0.2716556776571429,False,0.057738164284352356,0.057738164284352356,True,0.008152297920066392,0.10713487574025386,5000,True
FULL,robustness,5,5_GJ_Port_Log2,GBPJPY,Short,LOW,447,0.3455555529999999,0.0007730549284116329,1.0027736158470157,47.427293064876956,0.589302935009434,-0.5301560283787233,False,0.0930505681317603,0.17842329210172533,True,-0.035994995836699316,0.23664761109304822,5000,False
FULL,robustness,5,5_GJ_Port_Log2,GBPJPY,Short,NORMAL,365,65.40666666599999,0.17919634703013695,1.6942482103072691,56.43835616438356,0.7748489751796116,-0.5925296995031447,False,0.0930505681317603,0.17842329210172533,True,-0.035994995836699316,0.23664761109304822,5000,False
FULL,robustness,5,5_GJ_Port_Log2,GBPJPY,Short,HIGH,349,32.744444448,0.09382362306017193,1.2545696417117898,47.56446991404012,0.9721151271987951,-0.7067399267417582,False,0.0930505681317603,0.17842329210172533,True,-0.035994995836699316,0.23664761109304822,5000,False
FULL,robustness,6,6_GJ_Old_Mon,GBPJPY,Long,LOW,192,2.638,0.013739583333333333,1.037834891859331,50.0,0.7537708333333333,-0.7262916666666667,False,0.30949118589743596,0.30949118589743596,True,0.04135830483336656,0.5871056349549703,5000,True
FULL,robustness,6,6_GJ_Old_Mon,GBPJPY,Long,NORMAL,132,36.65,0.27765151515151515,1.820571377395665,56.060606060606055,1.0988378378378378,-0.7700689655172414,False,0.30949118589743596,0.30949118589743596,True,0.04135830483336656,0.5871056349549703,5000,True
FULL,robustness,6,6_GJ_Old_Mon,GBPJPY,Long,HIGH,130,42.02,0.32323076923076927,1.8029503936406024,54.61538461538461,1.3289014084507043,-0.8869830508474577,False,0.30949118589743596,0.30949118589743596,True,0.04135830483336656,0.5871056349549703,5000,True
FULL,robustness,7,7_GJ_Mon_Blitz,GBPJPY,Long,LOW,222,5.079999998,0.022882882873873873,1.2118499982970117,53.153153153153156,0.2462646675338983,-0.23056952664423078,False,0.057435588431858614,0.057435588431858614,True,-0.026698840559317677,0.14192107639530724,5000,False
FULL,robustness,7,7_GJ_Mon_Blitz,GBPJPY,Long,NORMAL,165,11.317692304,0.06859207456969697,1.6585354933267982,55.15151515151515,0.3132290786153846,-0.2322453222972973,False,0.057435588431858614,0.057435588431858614,True,-0.026698840559317677,0.14192107639530724,5000,False
FULL,robustness,7,7_GJ_Mon_Blitz,GBPJPY,Long,HIGH,157,12.609999994999999,0.08031847130573248,1.6270991925110199,61.78343949044586,0.33730372717525775,-0.3351410256833333,False,0.057435588431858614,0.057435588431858614,True,-0.026698840559317677,0.14192107639530724,5000,False
FULL,robustness,8,8_AJ_Core1,AUDJPY,Long,LOW,221,13.947142846,0.06310924364705882,1.33225564903699,57.466063348416284,0.4403487063543307,-0.44656534958510635,False,0.13229027209305416,0.16661282295929108,True,1.3662990347955203e-05,0.2615647449616342,5000,True
