Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,ClearDependence,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,Aggregation,CILow,CIHigh,ValidBootstraps
RecentB,primary,19.0,19_EA_3_WedThu_Long,EURAUD,Long,NORMAL,29.0,-0.21333333399999999,-0.007356321862068965,0.9651984773359875,48.275862068965516,0.42261904771428577,-0.4086666668,False,0.06381481489166664,0.1600600256287356,True,False,,,,,,,,,
RecentB,primary,19.0,19_EA_3_WedThu_Long,EURAUD,Long,HIGH,30.0,4.5811111129999995,0.15270370376666664,1.538320929910496,53.333333333333336,0.8181944445,-0.6078571427857142,False,0.06381481489166664,0.1600600256287356,True,False,,,,,,,,,
RecentB,primary,20.0,20_EA_1A_MonTue_Short,EURAUD,Short,LOW,67.0,-7.566,-0.11292537313432835,0.5641202903560317,41.7910447761194,0.3497142857142857,-0.4450769230769231,False,0.4593698175787728,0.5187602339181286,True,False,,,,,,,,,
RecentB,primary,20.0,20_EA_1A_MonTue_Short,EURAUD,Short,NORMAL,38.0,-6.548,-0.1723157894736842,0.49342410645211204,31.57894736842105,0.5315,-0.49715384615384617,False,0.4593698175787728,0.5187602339181286,True,False,,,,,,,,,
RecentB,primary,20.0,20_EA_1A_MonTue_Short,EURAUD,Short,HIGH,36.0,12.472,0.34644444444444444,2.444187123668365,58.333333333333336,1.0051428571428571,-0.5757333333333333,False,0.4593698175787728,0.5187602339181286,True,False,,,,,,,,,
RecentB,primary,21.0,21_GA_B_3,GBPAUD,Long,LOW,40.0,1.212727273,0.030318181825000002,1.568869935846682,52.5,0.15926406933333334,-0.112200957,False,-0.014689839530882359,0.054522727253571435,True,False,,,,,,,,,
RecentB,primary,21.0,21_GA_B_3,GBPAUD,Long,NORMAL,28.0,-0.677727272,-0.02420454542857143,0.7944865611053135,46.42857142857143,0.20153846146153848,-0.21984848473333332,False,-0.014689839530882359,0.054522727253571435,True,False,,,,,,,,,
RecentB,primary,21.0,21_GA_B_3,GBPAUD,Long,HIGH,34.0,0.5313636379999999,0.015628342294117643,1.166240046089124,64.70588235294117,0.16944214877272726,-0.26636363625,False,-0.014689839530882359,0.054522727253571435,True,False,,,,,,,,,
RecentB,primary,22.0,22_GA_C_2,GBPAUD,Long,LOW,31.0,-3.227142858,-0.10410138251612903,0.6710832847308629,45.16129032258064,0.47030612242857145,-0.5771428571764706,False,0.05382488487096776,0.10510978592789375,True,False,,,,,,,,,
RecentB,primary,22.0,22_GA_C_2,GBPAUD,Long,NORMAL,17.0,0.01714285800000015,0.0010084034117647147,1.0042253523240925,41.17647058823529,0.5820408164285714,-0.4507936507777777,True,0.05382488487096776,0.10510978592789375,True,False,,,,,,,,,
