Period,Method,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,CILow,CIHigh,ValidBootstraps,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,22,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.12045725803973323,,,,,,0.06567443960016295
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,13,SUPPORTED,0.037119304121486875,0.13109239629950958,5000,trade_weighted,LOW,3480.0,209.473687098,0.06019358824655172,1.3053890648178674,54.568965517241374,0.47151010068983673,-0.4357839860940279,False,0.0847247131866958
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,13,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.05788297987532335,,,,,,0.0837605604744788
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,13,SUPPORTED,0.037119304121486875,0.13109239629950958,5000,trade_weighted,NORMAL,2513.0,320.284367568,0.1274510018177477,1.6217705373937101,56.34699562276164,0.5899724828425141,-0.47085618659689216,False,0.0847247131866958
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,13,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.13297985438067053,,,,,,0.0837605604744788
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,13,SUPPORTED,0.037119304121486875,0.13109239629950958,5000,trade_weighted,HIGH,2719.0,394.032861597,0.14491830143324752,1.5865152346674374,55.2776756160353,0.7091504969194943,-0.5543072073209571,False,0.0847247131866958
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,13,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.14164354034980214,,,,,,0.0837605604744788
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,NOT_SUPPORTED,-0.007572135877313567,0.09136814907432177,5000,trade_weighted,LOW,2637.0,120.68130594200001,0.04576462113841487,1.2517767060915002,52.93894577171028,0.4297994951712034,-0.38874192158718573,False,0.041872061551061546
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.05083715843043,,,,,,0.04265574030557912
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,NOT_SUPPORTED,-0.007572135877313567,0.09136814907432177,5000,trade_weighted,NORMAL,1795.0,97.409443725,0.054267099568245124,1.2666671447964792,54.81894150417828,0.4702176857144309,-0.4520850977945544,False,0.041872061551061546
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.05638160900450593,,,,,,0.04265574030557912
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,NOT_SUPPORTED,-0.007572135877313567,0.09136814907432177,5000,trade_weighted,HIGH,1929.0,169.051160908,0.08763668268947641,1.3781154649864318,54.12130637636081,0.5901723039128353,-0.5063292461800679,False,0.041872061551061546
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.09349289873600912,,,,,,0.04265574030557912
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.027096349031259917,0.11294118799388768,5000,trade_weighted,LOW,3654.0,203.401612085,0.05566546581417625,1.3190302333881223,55.25451559934319,0.41652491095591876,-0.3921046636746618,False,0.07097398503663616
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.05219870212994072,,,,,,0.07606719536182979
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.027096349031259917,0.11294118799388768,5000,trade_weighted,NORMAL,2456.0,185.623847367,0.07557974241327362,1.389202382382077,55.65960912052117,0.48468020707461595,-0.43916574190055246,False,0.07097398503663616
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.07835281117054933,,,,,,0.07606719536182979
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.027096349031259917,0.11294118799388768,5000,trade_weighted,HIGH,2708.0,342.939632904,0.1266394508508124,1.5970351022929064,57.163958641063516,0.5925995511944444,-0.4968896819593426,False,0.07097398503663616
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.1282658974917705,,,,,,0.07606719536182979
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,8,SUPPORTED,0.008386223228049926,0.11817466075289448,5000,trade_weighted,LOW,2463.0,126.753380955,0.051463004853836786,1.2402085293345608,51.80673974827447,0.5128792956496865,-0.4468082983014394,False,0.062013484631214755
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,8,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.05807169374273515,,,,,,0.052447295903496054
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,8,SUPPORTED,0.008386223228049926,0.11817466075289448,5000,trade_weighted,NORMAL,1852.0,232.06996392599999,0.12530775589956802,1.5751888401286842,55.77753779697624,0.6152346518654405,-0.494445381680147,False,0.062013484631214755
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,8,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.12590693672647835,,,,,,0.052447295903496054
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,8,SUPPORTED,0.008386223228049926,0.11817466075289448,5000,trade_weighted,HIGH,1940.0,220.144389601,0.11347648948505154,1.404302176204969,51.49484536082474,0.7654143912972974,-0.5798770897816826,False,0.062013484631214755
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,8,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.1105189896462312,,,,,,0.052447295903496054
