Symbol,DailyDate,DailyIndex,ADX14,ER20,ReferenceStart,ReferenceEnd,primaryPercentile,robustnessPercentile,primary,robustness
AUDJPY,2015-12-09,292,23.35354574780219,0.1270596041136791,2015-02-18,2015-12-08,0.4444444444444444,0.4285714285714285,NORMAL,NORMAL
GBPJPY,2015-12-10,293,17.336567023716125,0.282251229021868,2015-02-19,2015-12-09,0.2658730158730158,0.5833333333333334,LOW,NORMAL
AUDJPY,2015-12-10,293,23.206351575318553,0.0955545371219067,2015-02-19,2015-12-09,0.4365079365079365,0.3333333333333333,NORMAL,NORMAL
GBPAUD,2015-12-10,293,26.5335469438548,0.2732019938286253,2015-02-19,2015-12-09,0.6984126984126984,0.7261904761904762,HIGH,HIGH
EURAUD,2015-12-12,295,29.120225669282508,0.1779541360338871,2015-02-21,2015-12-11,0.7579365079365079,0.492063492063492,HIGH,NORMAL
GBPAUD,2015-12-12,295,24.461486962660132,0.0534857342291245,2015-02-21,2015-12-11,0.6428571428571429,0.1309523809523809,NORMAL,LOW
EURJPY,2015-12-12,295,36.22016477297778,0.1249005568814622,2015-02-21,2015-12-11,0.7619047619047619,0.3055555555555556,HIGH,LOW
GBPJPY,2015-12-12,295,19.981419385934412,0.3317475150794345,2015-02-21,2015-12-11,0.4126984126984127,0.6904761904761905,NORMAL,HIGH
GBPJPY,2015-12-16,298,25.787532181801794,0.2530010636681374,2015-02-25,2015-12-15,0.6309523809523809,0.5158730158730159,NORMAL,NORMAL
GBPAUD,2015-12-16,298,20.820467367432023,0.0947853153114739,2015-02-25,2015-12-15,0.4682539682539682,0.2817460317460317,NORMAL,LOW
AUDJPY,2015-12-16,298,23.702282993049828,0.0688425375553873,2015-02-25,2015-12-15,0.4682539682539682,0.2579365079365079,NORMAL,LOW
EURAUD,2015-12-19,301,21.598394363187563,0.2514190700074528,2015-02-28,2015-12-18,0.503968253968254,0.6111111111111112,NORMAL,NORMAL
EURJPY,2015-12-19,301,28.292582409832228,0.145407139991975,2015-02-28,2015-12-18,0.5674603174603174,0.3452380952380952,NORMAL,NORMAL
GBPJPY,2015-12-19,301,32.58592322654802,0.3644280442804445,2015-02-28,2015-12-18,0.7380952380952381,0.746031746031746,HIGH,HIGH
GBPJPY,2015-12-21,302,34.86086464066964,0.3065967016491756,2015-03-02,2015-12-19,0.7896825396825397,0.6507936507936508,HIGH,NORMAL
EURAUD,2015-12-22,303,19.29004791751146,0.2292457501237828,2015-03-03,2015-12-21,0.373015873015873,0.5476190476190477,NORMAL,NORMAL
EURAUD,2016-01-01,311,13.506539367246264,0.1545795561112837,2015-03-12,2015-12-31,0.0873015873015873,0.4325396825396825,LOW,NORMAL
EURJPY,2016-01-01,311,16.77205639922924,0.4092075064128513,2015-03-12,2015-12-31,0.1111111111111111,0.876984126984127,LOW,HIGH
GBPJPY,2016-01-04,312,56.55667106372033,0.6577951997799301,2015-03-13,2016-01-01,1.0,1.0,HIGH,HIGH
EURAUD,2016-01-04,312,13.795547441719084,0.0545324768022846,2015-03-13,2016-01-01,0.0992063492063492,0.123015873015873,LOW,LOW
EURAUD,2016-01-05,313,14.06391208230099,0.0112222307046345,2015-03-14,2016-01-04,0.1071428571428571,0.0515873015873015,LOW,LOW
AUDJPY,2016-01-09,317,29.234589717872534,0.630548030839761,2015-03-19,2016-01-08,0.6666666666666666,1.0,HIGH,HIGH
AUDUSD,2016-01-09,317,23.0157730771844,0.3527481542247762,2015-03-19,2016-01-08,0.5753968253968254,0.8253968253968254,NORMAL,HIGH
EURAUD,2016-01-09,317,22.41408289898455,0.3183941421537696,2015-03-19,2016-01-08,0.5833333333333334,0.7936507936507936,NORMAL,HIGH
GBPAUD,2016-01-12,319,23.940541031760368,0.1697233584026045,2015-03-21,2016-01-11,0.6349206349206349,0.4841269841269841,NORMAL,NORMAL
AUDJPY,2016-01-13,320,35.957994398932556,0.3999393265244222,2015-03-23,2016-01-12,0.8531746031746031,0.8452380952380952,HIGH,HIGH
AUDJPY,2016-01-14,321,37.539282220306184,0.4739361702127674,2015-03-24,2016-01-13,0.8888888888888888,0.9365079365079364,HIGH,HIGH
USDJPY,2016-01-23,329,33.74329060941318,0.1826260609086358,2015-04-02,2016-01-22,0.8571428571428571,0.496031746031746,HIGH,NORMAL
USDJPY,2016-01-26,331,31.4630360089762,0.1818090954522722,2015-04-04,2016-01-25,0.7857142857142857,0.496031746031746,HIGH,NORMAL
USDJPY,2016-01-27,332,30.71197499167395,0.0611474864055028,2015-04-06,2016-01-26,0.75,0.2341269841269841,HIGH,LOW
GBPAUD,2016-01-28,333,21.05792667530381,0.1411806229594984,2015-04-07,2016-01-27,0.496031746031746,0.4365079365079365,NORMAL,NORMAL
USDJPY,2016-02-02,337,27.713793571339952,0.2772568979373162,2015-04-11,2016-02-01,0.626984126984127,0.6785714285714286,NORMAL,HIGH
AUDJPY,2016-02-06,341,23.8555244985724,0.0618518055729098,2015-04-16,2016-02-05,0.4007936507936508,0.1865079365079365,NORMAL,LOW
GBPAUD,2016-02-08,342,17.968499089323856,0.1794713961451167,2015-04-17,2016-02-06,0.3055555555555556,0.5198412698412699,LOW,NORMAL
GBPAUD,2016-02-10,344,16.25845941520508,0.1352198909878305,2015-04-20,2016-02-09,0.2539682539682539,0.4126984126984127,LOW,NORMAL
AUDJPY,2016-02-11,345,28.52783966416283,0.0909738294463238,2015-04-21,2016-02-10,0.5833333333333334,0.2658730158730158,NORMAL,LOW
GBPAUD,2016-02-11,345,16.004331878142377,0.0542604009308785,2015-04-21,2016-02-10,0.242063492063492,0.1587301587301587,LOW,LOW
GBPAUD,2016-02-13,347,15.32201248605619,0.020427874631768,2015-04-23,2016-02-12,0.2182539682539682,0.0476190476190476,LOW,LOW
GBPJPY,2016-02-20,353,42.26538082667743,0.3263483471873184,2015-04-30,2016-02-19,0.7658730158730159,0.6388888888888888,HIGH,NORMAL
USDJPY,2016-03-02,362,34.23261257231998,0.1480809302950859,2015-05-11,2016-03-01,0.8015873015873016,0.3571428571428571,HIGH,NORMAL
AUDJPY,2016-03-08,367,21.72285173472536,0.2347127042699001,2015-05-16,2016-03-07,0.2063492063492063,0.6111111111111112,LOW,NORMAL
USDJPY,2016-03-09,368,28.770091006685114,0.1245152951314084,2015-05-18,2016-03-08,0.5753968253968254,0.3412698412698413,NORMAL,NORMAL
AUDJPY,2016-03-09,368,21.12237985734504,0.1961517165005542,2015-05-18,2016-03-08,0.1904761904761904,0.5476190476190477,LOW,NORMAL
AUDUSD,2016-03-12,371,25.0581347103065,0.422639540949399,2015-05-21,2016-03-11,0.6785714285714286,0.876984126984127,HIGH,HIGH
GBPJPY,2016-03-14,372,31.49292354188452,0.0822428286679955,2015-05-22,2016-03-12,0.4841269841269841,0.2182539682539682,NORMAL,LOW
GBPJPY,2016-03-19,377,25.48959014626192,0.2470016028298246,2015-05-28,2016-03-18,0.4087301587301587,0.5357142857142857,NORMAL,NORMAL
USDJPY,2016-03-23,380,25.4847009614305,0.014076576576577,2015-06-01,2016-03-22,0.4563492063492063,0.0555555555555555,NORMAL,LOW
EURAUD,2016-03-26,383,19.944129974148343,0.0185706246482839,2015-06-04,2016-03-25,0.2738095238095238,0.0833333333333333,LOW,LOW
EURAUD,2016-04-09,395,19.794262660509172,0.2438808611029208,2015-06-18,2016-04-08,0.2976190476190476,0.626984126984127,LOW,NORMAL
AUDJPY,2016-04-13,398,22.38347345922204,0.1030750307503079,2015-06-22,2016-04-12,0.3531746031746032,0.2619047619047619,NORMAL,LOW
USDJPY,2016-05-09,420,31.424969248579213,0.0302489780750647,2015-07-17,2016-05-07,0.7142857142857143,0.0912698412698412,HIGH,LOW
USDJPY,2016-07-30,491,23.046243679523062,0.0774985971694002,2015-10-08,2016-07-29,0.3333333333333333,0.2301587301587301,NORMAL,LOW
USDJPY,2016-08-01,492,22.82471020018117,0.1132344729167962,2015-10-09,2016-07-30,0.3214285714285714,0.2936507936507936,LOW,LOW
USDJPY,2016-08-06,497,24.185396199192446,0.2685213184154835,2015-10-15,2016-08-05,0.3928571428571428,0.5555555555555556,NORMAL,NORMAL
USDJPY,2017-07-31,804,20.300361614960245,0.4392641129032257,2016-10-10,2017-07-29,0.2777777777777778,0.8055555555555556,LOW,HIGH
USDJPY,2017-08-09,812,22.39017140542296,0.3914242382462435,2016-10-19,2017-08-08,0.4484126984126984,0.7301587301587301,NORMAL,HIGH
USDJPY,2020-08-01,1741,28.798831107527104,0.2059049669383363,2019-10-12,2020-07-31,0.9285714285714286,0.6150793650793651,HIGH,NORMAL
USDJPY,2026-07-09,3594,22.34252524199732,0.2945933802605903,2025-09-17,2026-07-08,0.7817460317460317,0.6984126984126984,HIGH,HIGH
AUDJPY,2026-07-14,3597,16.908162981757666,0.0056256651968992,2025-09-22,2026-07-13,0.2658730158730158,0.0079365079365079,LOW,LOW
EURAUD,2026-07-14,3598,24.392291937646892,0.0447388932190201,2025-09-22,2026-07-13,0.7857142857142857,0.1309523809523809,HIGH,LOW
GBPAUD,2026-07-14,3588,31.06767038233094,0.3355589058798225,2025-09-22,2026-07-13,0.7420634920634921,0.7380952380952381,HIGH,HIGH
USDJPY,2026-07-29,3611,23.49315466846152,0.2676007005253922,2025-10-07,2026-07-28,0.8253968253968254,0.6190476190476191,HIGH,NORMAL
AUDUSD,2026-07-30,3612,16.034407069694783,0.1600602107375828,2025-10-08,2026-07-29,0.1468253968253968,0.3809523809523809,LOW,NORMAL
USDJPY,2026-08-08,3620,41.74072176013619,0.3989868635700195,2025-10-17,2026-08-07,1.0,0.8174603174603174,HIGH,HIGH
AUDJPY,2026-08-12,3622,34.973539967606236,0.1234749684476219,2025-10-21,2026-08-11,0.9761904761904762,0.3214285714285714,HIGH,LOW
USDJPY,2026-08-26,3635,39.57645696823567,0.4282278671276087,2025-11-04,2026-08-25,0.9365079365079364,0.873015873015873,HIGH,HIGH
AUDJPY,2026-08-27,3635,18.717162633931142,0.7117465224111256,2025-11-05,2026-08-26,0.3849206349206349,0.992063492063492,NORMAL,HIGH
GBPAUD,2026-08-27,3626,12.778086159351426,0.3243323442136459,2025-11-05,2026-08-26,0.0515873015873015,0.7301587301587301,LOW,HIGH
EURAUD,2026-09-01,3640,14.99373642722959,0.2547219770520717,2025-11-10,2026-08-31,0.2103174603174603,0.5515873015873016,LOW,NORMAL
GBPAUD,2026-09-02,3631,13.606436598195662,0.4580357142857106,2025-11-11,2026-09-01,0.1031746031746031,0.9007936507936508,LOW,HIGH
USDJPY,2026-09-02,3641,35.19625240940354,0.0312701482914275,2025-11-11,2026-09-01,0.9087301587301588,0.0714285714285714,HIGH,LOW
EURAUD,2026-09-02,3641,14.508155405163768,0.3095435684647268,2025-11-11,2026-09-01,0.1746031746031746,0.6388888888888888,LOW,NORMAL
AUDJPY,2026-09-05,3643,20.872449923787993,0.0162218733647318,2025-11-14,2026-09-04,0.623015873015873,0.0277777777777777,NORMAL,LOW
EURJPY,2026-09-05,3644,23.705626251669855,0.2425769107085443,2025-11-14,2026-09-04,0.6507936507936508,0.6190476190476191,NORMAL,NORMAL
GBPJPY,2026-09-05,3643,27.75021597392222,0.2907343329488663,2025-11-14,2026-09-04,0.6626984126984127,0.6825396825396826,NORMAL,HIGH
GBPAUD,2026-09-05,3634,16.40678847286742,0.5173317797844421,2025-11-14,2026-09-04,0.3412698412698413,0.9325396825396826,NORMAL,HIGH
GBPJPY,2026-09-07,3644,30.868895659802003,0.4378978734931588,2025-11-15,2026-09-05,0.7420634920634921,0.8928571428571429,HIGH,HIGH
EURAUD,2026-09-07,3645,16.189670193050095,0.3688799463447318,2025-11-15,2026-09-05,0.2976190476190476,0.7301587301587301,LOW,HIGH
