Period,Method,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,CILow,CIHigh,ValidBootstraps,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,RegimeOrder,HighMinusLowAvgR
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,-0.0283591374790666,0.07002651321931047,5000,trade_weighted,NORMAL,2840.0,366.056434318,0.1288931106753521,1.6520671980015356,57.07746478873239,0.5721374615262184,-0.46203982783209874,False,LOW < HIGH < NORMAL,0.02033819658495907
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.13540512933387908,,,,,,LOW < HIGH < NORMAL,0.012721525922693808
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,-0.0283591374790666,0.07002651321931047,5000,trade_weighted,HIGH,3011.0,315.827883142,0.10489135939621388,1.4692737838410421,55.197608767851214,0.5949711216281589,-0.5011274169798957,False,LOW < HIGH < NORMAL,0.02033819658495907
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.09737380414368842,,,,,,LOW < HIGH < NORMAL,0.012721525922693808
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,4,NOT_SUPPORTED,-0.047027389276055515,0.04524491591055239,5000,trade_weighted,LOW,2176.0,152.383854988,0.07002934512316177,1.3676192917129966,54.595588235294116,0.4771879187449495,-0.4204010065730223,False,NORMAL < HIGH < LOW,-0.0006751867557003438
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,4,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.07793938570899218,,,,,,NORMAL < HIGH < LOW,-0.003222449281117701
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,4,NOT_SUPPORTED,-0.047027389276055515,0.04524491591055239,5000,trade_weighted,NORMAL,2046.0,86.409510839,0.04223338750684262,1.2069798282211388,52.73704789833822,0.4669948505514365,-0.4339687452245322,False,NORMAL < HIGH < LOW,-0.0006751867557003438
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,4,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.04322134337698766,,,,,,NORMAL < HIGH < LOW,-0.003222449281117701
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,4,NOT_SUPPORTED,-0.047027389276055515,0.04524491591055239,5000,trade_weighted,HIGH,2139.0,148.348544748,0.06935415836746142,1.3227080366645259,54.09069658719028,0.5255380225350044,-0.4710030198002049,False,NORMAL < HIGH < LOW,-0.0006751867557003438
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,4,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.07471693642787448,,,,,,NORMAL < HIGH < LOW,-0.003222449281117701
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,9,NOT_SUPPORTED,-0.0226962719403656,0.057570509940023454,5000,trade_weighted,LOW,2972.0,202.124435038,0.06800956764401077,1.3531926819046396,55.21534320323015,0.47190891509384525,-0.4309323001739458,False,LOW < HIGH < NORMAL,0.017226729632506904
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.07494510185125004,,,,,,LOW < HIGH < NORMAL,0.004531774349485512
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,9,NOT_SUPPORTED,-0.0226962719403656,0.057570509940023454,5000,trade_weighted,NORMAL,2848.0,274.302238083,0.09631398809094102,1.5309377480968942,56.63623595505618,0.49035308476379413,-0.42037208107485763,False,LOW < HIGH < NORMAL,0.017226729632506904
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.09654490953097927,,,,,,LOW < HIGH < NORMAL,0.004531774349485512
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,9,NOT_SUPPORTED,-0.0226962719403656,0.057570509940023454,5000,trade_weighted,HIGH,2998.0,255.538419235,0.08523629727651767,1.4259078222010144,56.03735823882589,0.5092402905636905,-0.45765466736231886,False,LOW < HIGH < NORMAL,0.017226729632506904
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.07947687620073556,,,,,,LOW < HIGH < NORMAL,0.004531774349485512
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,NOT_SUPPORTED,-0.054512114972888215,0.058531560403223507,5000,trade_weighted,LOW,2065.0,192.166018753,0.09305860472300242,1.399758075164104,52.39709443099274,0.6218778209842883,-0.4905161056653061,False,NORMAL < LOW < HIGH,0.0038921427932615132
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.09029397381593979,,,,,,LOW < NORMAL < HIGH,0.007200870902965575
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,NOT_SUPPORTED,-0.054512114972888215,0.058531560403223507,5000,trade_weighted,NORMAL,2038.0,178.163707074,0.08742085724926399,1.3854529847679797,53.336604514229634,0.5891285585602576,-0.48757282287025316,False,NORMAL < LOW < HIGH,0.0038921427932615132
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.09267980494431466,,,,,,LOW < NORMAL < HIGH,0.007200870902965575
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,NOT_SUPPORTED,-0.054512114972888215,0.058531560403223507,5000,trade_weighted,HIGH,2152.0,208.638008655,0.09695074751626394,1.3916409259725635,52.927509293680295,0.6508918420298508,-0.5284998010089286,False,NORMAL < LOW < HIGH,0.0038921427932615132
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.09749484471890536,,,,,,LOW < NORMAL < HIGH,0.007200870902965575
