Period,Method,StrategyNo,Group,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,Eligible,EligibleStrategies,SameSignStrategies,HighMinusLowAvgR,RegimeOrder
Historical,primary,18.0,,,HIGH,191.0,20.467777779,0.1071611402041884,1.3856831791331112,54.45026178010471,0.7070833333269231,-0.6099872285862069,False,True,,,0.0696236026704046,LOW < NORMAL < HIGH
Historical,primary,19.0,,,LOW,121.0,-0.8899999970000001,-0.007355371876033,0.96308585661245,50.413223140495866,0.3806557377213114,-0.4018333333,False,True,,,0.1807779185548652,LOW < NORMAL < HIGH
Historical,primary,19.0,,,NORMAL,116.0,7.214444445,0.0621934865948275,1.2935352622380412,54.310344827586206,0.504638447968254,-0.4637316561698113,False,True,,,0.1807779185548652,LOW < NORMAL < HIGH
Historical,primary,19.0,,,HIGH,137.0,23.758888895,0.1734225466788321,1.8602751853426311,60.58394160583942,0.6189959839879519,-0.5114403291851852,False,True,,,0.1807779185548652,LOW < NORMAL < HIGH
Historical,primary,20.0,,,LOW,115.0,2.6860000000000004,0.0233565217391304,1.106807698425322,53.91304347826087,0.4489354838709677,-0.4836153846153846,False,True,,,0.0413195345988977,LOW < HIGH < NORMAL
Historical,primary,20.0,,,NORMAL,138.0,10.916,0.0791014492753623,1.3460563023078873,58.69565217391305,0.5241975308641975,-0.5534035087719298,False,True,,,0.0413195345988977,LOW < HIGH < NORMAL
Historical,primary,20.0,,,HIGH,142.0,9.184,0.0646760563380281,1.2440605899548232,49.29577464788733,0.6687714285714286,-0.5226388888888889,False,True,,,0.0413195345988977,LOW < HIGH < NORMAL
Historical,primary,21.0,,,LOW,101.0,0.1204545479999998,0.0011926192871287,1.013725592045758,50.495049504950494,0.1744385027058823,-0.1755181818,False,True,,,-0.0122777953051467,HIGH < LOW < NORMAL
Historical,primary,21.0,,,NORMAL,93.0,0.98818182,0.0106256109677419,1.1125025876199277,47.31182795698925,0.2220867769772727,-0.1792578850408163,False,True,,,-0.0122777953051467,HIGH < LOW < NORMAL
Historical,primary,21.0,,,HIGH,111.0,-1.2304545380000005,-0.011085176018018,0.9050308734326418,48.64864864864865,0.2171464647777777,-0.2273046251929824,False,True,,,-0.0122777953051467,HIGH < LOW < NORMAL
Historical,primary,22.0,,,LOW,86.0,23.644285720000003,0.2749335548837209,2.0814113038205337,63.95348837209303,0.8274285715090909,-0.7052995391290323,False,True,,,-0.1369167481072503,NORMAL < HIGH < LOW
Historical,primary,22.0,,,NORMAL,72.0,1.2885714320000012,0.0178968254444444,1.0496286108597075,48.61111111111111,0.7786530613428572,-0.7017374517567567,False,True,,,-0.1369167481072503,NORMAL < HIGH < LOW
Historical,primary,22.0,,,HIGH,85.0,11.731428576000004,0.1380168067764706,1.4322105264978593,56.47058823529411,0.8098809524583334,-0.7335907335675675,False,True,,,-0.1369167481072503,NORMAL < HIGH < LOW
Historical,primary,23.0,,,LOW,78.0,3.760000004,0.0482051282564102,1.2990984624270017,55.12820512820513,0.3797932817209302,-0.3697385620588235,False,True,,,0.0451866846120108,LOW < NORMAL < HIGH
Historical,primary,23.0,,,NORMAL,66.0,4.333333332,0.0656565656363636,1.4124801690782662,50.0,0.4496632996363636,-0.3183501683636364,False,True,,,0.0451866846120108,LOW < NORMAL < HIGH
Historical,primary,23.0,,,HIGH,76.0,7.097777778,0.093391812868421,1.5670661340008454,55.26315789473685,0.467010582047619,-0.3681372549411764,False,True,,,0.0451866846120108,LOW < NORMAL < HIGH
Historical,primary,24.0,,,LOW,78.0,4.253333334,0.0545299145384615,1.3198796691321164,56.41025641025641,0.3988636363863636,-0.3910784313823529,False,True,,,0.07190283401417,LOW < NORMAL < HIGH
Historical,primary,24.0,,,NORMAL,66.0,4.465555553,0.0676599326212121,1.378793590699454,56.060606060606055,0.4393093092702703,-0.40651341,False,True,,,0.07190283401417,LOW < NORMAL < HIGH
Historical,primary,24.0,,,HIGH,76.0,9.60888889,0.1264327485526316,1.6835823257165914,59.210526315789465,0.5259012345333334,-0.4534408601290322,False,True,,,0.07190283401417,LOW < NORMAL < HIGH
Historical,primary,25.0,,,LOW,190.0,13.8675,0.0729868421052631,1.509600367478181,55.26315789473685,0.3912380952380952,-0.3318597560975609,False,True,,,0.012219040247678,NORMAL < LOW < HIGH
Historical,primary,25.0,,,NORMAL,175.0,6.8774999999999995,0.0392999999999999,1.2420163631565058,53.714285714285715,0.3754787234042553,-0.3508333333333333,False,True,,,0.012219040247678,NORMAL < LOW < HIGH
Historical,primary,25.0,,,HIGH,170.0,14.485,0.0852058823529411,1.5259622367465504,55.88235294117647,0.4423684210526316,-0.3721621621621621,False,True,,,0.012219040247678,NORMAL < LOW < HIGH
Historical,primary,26.0,,,LOW,92.0,11.440000003,0.1243478261195652,1.8052557487238503,59.78260869565217,0.4663030303454545,-0.3946296296111111,False,True,,,-0.0545033816595652,NORMAL < HIGH < LOW
Historical,primary,26.0,,,NORMAL,78.0,5.268888892,0.0675498575897435,1.3800288510687662,57.692307692307686,0.4251851852,-0.420134680060606,False,True,,,-0.0545033816595652,NORMAL < HIGH < LOW
Historical,primary,26.0,,,HIGH,100.0,6.9844444459999995,0.0698444444599999,1.293217650965575,50.0,0.6160888889199999,-0.4764,False,True,,,-0.0545033816595652,NORMAL < HIGH < LOW
Historical,primary,27.0,,,LOW,87.0,9.224999998,0.1060344827356321,1.777278471781541,57.47126436781609,0.42186666668,-0.3207657658378379,False,True,,,0.0111971556372491,NORMAL < LOW < HIGH
Historical,primary,27.0,,,NORMAL,100.0,6.553333334,0.06553333334,1.3495732575159878,62.0,0.4080645161290323,-0.4933333333157894,False,True,,,0.0111971556372491,NORMAL < LOW < HIGH
Historical,primary,27.0,,,HIGH,118.0,13.833333328,0.1172316383728813,1.5538872203181626,61.016949152542374,0.5390046295694444,-0.5429347826304348,False,True,,,0.0111971556372491,NORMAL < LOW < HIGH
Historical,primary,28.0,,,LOW,126.0,7.724000002,0.0613015873174603,1.3698997511108693,54.761904761904766,0.4145700483043478,-0.366339181245614,False,True,,,-0.1362482540374603,HIGH < LOW < NORMAL
Historical,primary,28.0,,,NORMAL,76.0,16.774666664,0.2207192982105263,2.8334304865138966,59.210526315789465,0.5760888888222222,-0.2951397849354839,False,True,,,-0.1362482540374603,HIGH < LOW < NORMAL
Historical,primary,28.0,,,HIGH,100.0,-7.494666672,-0.07494666672,0.7304335313574342,48.0,0.4230833332083333,-0.5346666666538462,False,True,,,-0.1362482540374603,HIGH < LOW < NORMAL
Historical,primary,,Portfolio,trade_weighted,LOW,2774.0,190.441966375,0.0686524752613554,1.362985129049124,54.7945205479452,0.4704585368421053,-0.4217484000200965,False,,25.0,16.0,0.0239890221259949,LOW < NORMAL < HIGH
Historical,primary,,Portfolio,strategy_equal_weighted,LOW,,,0.0733127063663695,,,,,,,25.0,16.0,0.0184967843170571,LOW < NORMAL < HIGH
Historical,primary,,Portfolio,trade_weighted,NORMAL,2802.0,231.561160798,0.0826413850099928,1.412006536275888,55.531763026409706,0.5100217845199229,-0.4521582750724054,False,,25.0,16.0,0.0239890221259949,LOW < NORMAL < HIGH
Historical,primary,,Portfolio,strategy_equal_weighted,NORMAL,,,0.0852421812670119,,,,,,,25.0,16.0,0.0184967843170571,LOW < NORMAL < HIGH
Historical,primary,,Portfolio,trade_weighted,HIGH,2925.0,270.976379858,0.0926414973873504,1.4292253416664913,54.32478632478632,0.5678359602976715,-0.4732495959932534,False,,25.0,16.0,0.0239890221259949,LOW < NORMAL < HIGH
Historical,primary,,Portfolio,strategy_equal_weighted,HIGH,,,0.0918094906834266,,,,,,,25.0,16.0,0.0184967843170571,LOW < NORMAL < HIGH
Historical,primary,,JPY,trade_weighted,LOW,1584.0,112.88440864,0.0712654094949495,1.365747583374897,54.48232323232324,0.4884410340115875,-0.4304605351631799,False,,14.0,8.0,0.021365695137555,LOW < NORMAL < HIGH
Historical,primary,,JPY,strategy_equal_weighted,LOW,,,0.0738026928420199,,,,,,,14.0,8.0,0.0144783471116027,LOW < NORMAL < HIGH
Historical,primary,,JPY,trade_weighted,NORMAL,1682.0,146.141955167,0.0868858235237812,1.4312643963099303,56.06420927467301,0.5143271885917285,-0.4604192712975544,False,,14.0,8.0,0.021365695137555,LOW < NORMAL < HIGH
Historical,primary,,JPY,strategy_equal_weighted,NORMAL,,,0.0876429823480536,,,,,,,14.0,8.0,0.0144783471116027,LOW < NORMAL < HIGH
Historical,primary,,JPY,trade_weighted,HIGH,1649.0,152.748691539,0.0926311046325045,1.4386005575258374,53.85081867798666,0.5642032426114865,-0.4582418261842105,False,,14.0,8.0,0.021365695137555,LOW < NORMAL < HIGH
Historical,primary,,JPY,strategy_equal_weighted,HIGH,,,0.0882810399536226,,,,,,,14.0,8.0,0.0144783471116027,LOW < NORMAL < HIGH
Historical,primary,,AUD_nonJPY,trade_weighted,LOW,1190.0,77.557557735,0.0651744182647058,1.3590381567004084,55.21008403361345,0.4468376920060883,-0.4098952673870968,False,,11.0,8.0,0.0274805098849806,LOW < NORMAL < HIGH
Historical,primary,,AUD_nonJPY,strategy_equal_weighted,LOW,,,0.0726890872155416,,,,,,,11.0,8.0,0.0236111589421808,LOW < NORMAL < HIGH
Historical,primary,,AUD_nonJPY,trade_weighted,NORMAL,1120.0,85.419205631,0.0762671478848214,1.382764009244355,54.73214285714286,0.5033986262169657,-0.4401659807495069,False,,11.0,8.0,0.0274805098849806,LOW < NORMAL < HIGH
Historical,primary,,AUD_nonJPY,strategy_equal_weighted,NORMAL,,,0.082186616254777,,,,,,,11.0,8.0,0.0236111589421808,LOW < NORMAL < HIGH
Historical,primary,,AUD_nonJPY,trade_weighted,HIGH,1276.0,118.227688319,0.0926549281496865,1.417690154756073,54.937304075235105,0.5724377481797432,-0.4931205107229965,False,,11.0,8.0,0.0274805098849806,LOW < NORMAL < HIGH
Historical,primary,,AUD_nonJPY,strategy_equal_weighted,HIGH,,,0.0963002461577225,,,,,,,11.0,8.0,0.0236111589421808,LOW < NORMAL < HIGH
Historical,primary,,Long,trade_weighted,LOW,1622.0,96.499648915,0.0594942348427866,1.3368876817455333,54.315659679408135,0.4346699480090806,-0.3897205105863946,False,,14.0,7.0,0.0214491988671548,LOW < NORMAL < HIGH
Historical,primary,,Long,strategy_equal_weighted,LOW,,,0.0714454819029946,,,,,,,14.0,7.0,0.0010985344757105,NORMAL < LOW < HIGH
Historical,primary,,Long,trade_weighted,NORMAL,1656.0,108.157521553,0.0653125130150966,1.3534588747142793,56.64251207729468,0.4415298421673774,-0.4267747146443514,False,,14.0,7.0,0.0214491988671548,LOW < NORMAL < HIGH
Historical,primary,,Long,strategy_equal_weighted,NORMAL,,,0.0619889684446489,,,,,,,14.0,7.0,0.0010985344757105,NORMAL < LOW < HIGH
Historical,primary,,Long,trade_weighted,HIGH,1710.0,138.413271644,0.0809434337099415,1.4173678489099557,54.50292397660819,0.5043423153326181,-0.4273631008324742,False,,14.0,7.0,0.0214491988671548,LOW < NORMAL < HIGH
Historical,primary,,Long,strategy_equal_weighted,HIGH,,,0.0725440163787051,,,,,,,14.0,7.0,0.0010985344757105,NORMAL < LOW < HIGH
Historical,primary,,Short,trade_weighted,LOW,1152.0,93.94231746,0.0815471505729166,1.3943669290503782,55.46875,0.519800863543036,-0.4679969240550098,False,,11.0,9.0,0.0275582882863426,LOW < NORMAL < HIGH
