Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,RegimeOrder,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,19,19_EA_3_WedThu_Long,EURAUD,Long,LOW,227,21.453333337,0.09450807637444934,1.5147839070974993,56.82819383259912,0.48936261845736434,-0.42524943310204083,False,0.01649568104584051,NORMAL < LOW < HIGH,0.06275649605878751,True,-0.11750814465780188,0.15163174891506712,5000,False
FULL,robustness,19,19_EA_3_WedThu_Long,EURAUD,Long,NORMAL,213,10.27666667,0.04824726136150234,1.2318858748327661,54.929577464788736,0.4666191832905983,-0.4665029239473685,False,0.01649568104584051,NORMAL < LOW < HIGH,0.06275649605878751,True,-0.11750814465780188,0.15163174891506712,5000,False
FULL,robustness,19,19_EA_3_WedThu_Long,EURAUD,Long,HIGH,207,22.977777786,0.11100375742028985,1.4998912230704162,54.106280193236714,0.6155654762678572,-0.4838479532210526,False,0.01649568104584051,NORMAL < LOW < HIGH,0.06275649605878751,True,-0.11750814465780188,0.15163174891506712,5000,False
FULL,robustness,20,20_EA_1A_MonTue_Short,EURAUD,Short,LOW,234,7.7620000000000005,0.033170940170940175,1.1454538640281837,50.0,0.5224444444444444,-0.45610256410256406,False,0.042239507590253855,NORMAL < LOW < HIGH,0.0969818763326226,True,-0.08019782497806235,0.16200437808554857,5000,False
FULL,robustness,20,20_EA_1A_MonTue_Short,EURAUD,Short,NORMAL,210,-4.53,-0.02157142857142857,0.9252253144498366,50.0,0.5338285714285714,-0.5825192307692307,False,0.042239507590253855,NORMAL < LOW < HIGH,0.0969818763326226,True,-0.08019782497806235,0.16200437808554857,5000,False
FULL,robustness,20,20_EA_1A_MonTue_Short,EURAUD,Short,HIGH,268,20.21,0.07541044776119403,1.2904987782089983,51.865671641791046,0.6458992805755396,-0.5393023255813953,False,0.042239507590253855,NORMAL < LOW < HIGH,0.0969818763326226,True,-0.08019782497806235,0.16200437808554857,5000,False
FULL,robustness,21,21_GA_B_3,GBPAUD,Long,LOW,178,-1.430454536,-0.008036261438202248,0.9161224984489721,48.31460674157304,0.18167019029069767,-0.18537055327173912,False,0.0376894948402641,LOW < NORMAL < HIGH,0.0376894948402641,True,-0.0130996828860268,0.08855500575270242,5000,False
FULL,robustness,21,21_GA_B_3,GBPAUD,Long,NORMAL,170,-1.067727268,-0.006280748635294118,0.9340946077899152,49.411764705882355,0.18015692649999998,-0.19059893051764706,False,0.0376894948402641,LOW < NORMAL < HIGH,0.0376894948402641,True,-0.0130996828860268,0.08855500575270242,5000,False
FULL,robustness,21,21_GA_B_3,GBPAUD,Long,HIGH,194,5.752727279999999,0.029653233402061854,1.3463980735769607,54.63917525773196,0.21094339629245282,-0.18871900826136365,False,0.0376894948402641,LOW < NORMAL < HIGH,0.0376894948402641,True,-0.0130996828860268,0.08855500575270242,5000,False
FULL,robustness,22,22_GA_C_2,GBPAUD,Long,LOW,142,28.294285722,0.19925553325352113,1.769404086964146,59.154929577464785,0.774625850404762,-0.6340394088275862,False,-0.17669430873209255,NORMAL < HIGH < LOW,0.23382887934076943,True,-0.37286466007454977,0.017579933241649578,5000,False
FULL,robustness,22,22_GA_C_2,GBPAUD,Long,NORMAL,149,-5.151428566999997,-0.034573346087248304,0.9051027659415929,46.308724832214764,0.7120703934202899,-0.6785535714125001,False,-0.17669430873209255,NORMAL < HIGH < LOW,0.23382887934076943,True,-0.37286466007454977,0.017579933241649578,5000,False
FULL,robustness,22,22_GA_C_2,GBPAUD,Long,HIGH,140,3.1585714330000028,0.022561224521428593,1.062686059453223,49.28571428571429,0.776024844826087,-0.7198163265714286,False,-0.17669430873209255,NORMAL < HIGH < LOW,0.23382887934076943,True,-0.37286466007454977,0.017579933241649578,5000,False
FULL,robustness,23,23_GA_F_2,GBPAUD,Short,LOW,148,4.4066666660000005,0.029774774770270275,1.2131799612572274,45.94594594594595,0.36879084967647063,-0.2583888889,False,0.034271026741180106,LOW < NORMAL < HIGH,0.034271026741180106,True,-0.06741530703051116,0.13308562847530905,5000,False
FULL,robustness,23,23_GA_F_2,GBPAUD,Short,NORMAL,124,4.660000001,0.03758064516935484,1.2353007181886289,51.61290322580645,0.382256944453125,-0.33007407406666667,False,0.034271026741180106,LOW < NORMAL < HIGH,0.034271026741180106,True,-0.06741530703051116,0.13308562847530905,5000,False
FULL,robustness,23,23_GA_F_2,GBPAUD,Short,HIGH,131,8.389999998,0.06404580151145038,1.5063707079387179,54.19847328244275,0.3515336463380282,-0.2808286252881356,False,0.034271026741180106,LOW < NORMAL < HIGH,0.034271026741180106,True,-0.06741530703051116,0.13308562847530905,5000,False
FULL,robustness,24,24_GA_D_1,GBPAUD,Long,LOW,148,3.265555553,0.022064564547297296,1.1157815946165424,56.75675675675676,0.37464285710714285,-0.4406944444375,False,0.06873272129239735,LOW < NORMAL < HIGH,0.06873272129239735,True,-0.058771536419060695,0.19636589834953172,5000,False
FULL,robustness,24,24_GA_D_1,GBPAUD,Long,NORMAL,124,10.87222222,0.08767921145161289,1.5159232308742898,53.2258064516129,0.484023569030303,-0.36333333337931034,False,0.06873272129239735,LOW < NORMAL < HIGH,0.06873272129239735,True,-0.058771536419060695,0.19636589834953172,5000,False
