Method,StrategyNo,Strategy,TPPresent,R0TotalR,V1TotalR,DeltaTotalR,AvgDeltaR,MeanScale,MedianScale,MinScale,MaxScale,LowerCap,UpperCap,FallbackRate,SLRate,TPRate,TimeExitRate
RV,11,11_AJ_SatB,True,23.105454531,15.292627782,-7.812826748999999,-0.01938666687096774,1.0422282140190344,1.0,0.5,2.0,5,11,0.06947890818858561,0.09181141439205956,0.034739454094292806,0.8734491315136477
RV,12,12_UJ_Short_Core,True,129.353,117.883218546,-11.469781454,-0.02100692573992674,1.0184685733389376,0.9828492807970303,0.5,2.0,11,12,0.07875457875457875,0.1282051282051282,0.05128205128205128,0.8205128205128205
RV,13,13_UJ_Fix_MidWeek,True,19.084210522,19.942466178,0.8582556560000002,0.00384868007174888,1.0086184486372793,0.9744712678837383,0.5,2.0,3,4,0.07174887892376682,0.008968609865470852,0.013452914798206279,0.9775784753363229
RV,14,14_UJ_Sat_3rd,True,28.233333342,26.715855052000002,-1.5174782900000001,-0.02078737383561644,0.9933132024424863,0.9514331799358193,0.5,2.0,2,1,0.0958904109589041,0.1506849315068493,0.2602739726027397,0.589041095890411
RV,15,15_UJ_Sat_Aug,True,24.075,19.784292907000005,-4.290707093000001,-0.06129581561428573,1.2768122641736654,1.22560883946035,0.607777110510619,2.0,0,4,0.07142857142857142,0.3,0.2714285714285714,0.42857142857142855
RV,16,16_UJ_T10A,True,11.744444443999999,6.60812911,-5.136315334,-0.08560525556666666,1.072642271901973,1.0,0.5206010776587927,2.0,0,3,0.1,0.11666666666666667,0.0,0.8833333333333333
RV,17,17_EA_1B_Wed_Short,True,52.781428568,52.897264363,0.11583579500000196,0.00033001650997151557,1.0220187517780193,0.9849713390640958,0.5,2.0,3,11,0.07407407407407407,0.1794871794871795,0.019943019943019943,0.8005698005698005
RV,18,18_EA_2_MonWed_Short,True,39.053333343,34.093795909,-4.959537433999999,-0.005204131620146903,1.01414358581425,0.9800597513496037,0.5,2.0,11,30,0.07450157397691501,0.21406086044071354,0.033578174186778595,0.7523609653725079
RV,19,19_EA_3_WedThu_Long,False,63.135555576,55.229243928,-7.906311648000001,-0.011246531504978664,1.020790241428204,0.9758644357956195,0.5,2.0,3,22,0.07965860597439545,0.10953058321479374,0.0,0.8904694167852063
RV,20,20_EA_1A_MonTue_Short,True,24.314,14.380356328999996,-9.933643671000002,-0.012900835936363639,0.9997073833250515,0.9741787146719975,0.5,2.0,9,19,0.07532467532467532,0.17272727272727273,0.015584415584415584,0.8116883116883117
RV,21,21_GA_B_3,True,8.894545481,8.443436556999998,-0.4511089239999999,-0.0007684990187393525,0.9935393721802788,0.9583731215944938,0.5,2.0,4,10,0.07666098807495741,0.008517887563884156,0.11073253833049404,0.8807495741056218
RV,23,23_GA_F_2,True,19.614444442,13.174477858,-6.439966584,-0.01483863268202765,1.0194913258223046,1.0,0.5,2.0,2,6,0.07142857142857142,0.04608294930875576,0.004608294930875576,0.9493087557603687
RV,24,24_GA_D_1,True,24.537777772000002,18.355602223,-6.182175549,-0.014244644122119817,1.0194913258223046,1.0,0.5,2.0,2,6,0.07142857142857142,0.07373271889400922,0.009216589861751152,0.9170506912442397
RV,25,25_AU_China_Demand,True,49.6725,39.98022371799999,-9.692276282,-0.009483636283757339,1.034699973575687,0.9999768181471291,0.5168991810132147,2.0,0,36,0.07729941291585127,0.05870841487279843,0.06457925636007827,0.8767123287671232
RV,26,26_AJ_China_Demand,True,59.173333336,50.569368565000005,-8.603964770999998,-0.016739231071984433,1.034736384127488,0.9991601799797987,0.5,2.0,13,16,0.07392996108949416,0.10894941634241245,0.027237354085603113,0.8638132295719845
RV,27,27_EA_China_Demand,True,54.554999998,46.481734428,-8.073265570000002,-0.013847796861063468,1.022115466448252,0.987707940212304,0.5,2.0,5,18,0.07718696397941681,0.09605488850771869,0.137221269296741,0.7667238421955404
RV,28,28_GA_China_Demand,True,44.565333313,43.872522202,-0.6928111109999993,-0.00119450191551724,1.019261843405417,0.993951301774683,0.5073556420615928,2.0,0,10,0.07758620689655173,0.08275862068965517,0.15,0.7672413793103449
