Method,Candidate,Period,Trades,StartCapital,FinalCapital,NetProfitJPY,ReturnPct,MaxDDJPY,MaxDDPct,WorstDayPct,WorstWeekPct,MoneyRoMD,MoneyPF,SkippedTrades,MeanNominalRiskPct,MeanExecutedRiskPct,MeanNominalRiskDeltaVsR0,FinalCapitalDeltaVsR0
primary,F1_Q1_OFF,RecentA,2083,500000,6097887.431424013517614043687780403342503,5597887.431424013517614043687780403342503,1119.577486284802703522808737556080668501,545239.495777072297823912562023284736143,13.79047154930565474837129713585062503347,-6.229939335802169254552902597629835175368,-6.505453346653346653346653346653346653336,10.26684140598790532382349326488924779572,1.703948737951057627809775172347035913991,684,0.6775207806288398988073726057101554029635,0.90,-0.2224792193711601011926273942898445970365,-1841902.741066319770294621083287436412429
primary,F1_Q1_OFF,RecentB,1815,500000,3489376.145260228624253669996288272926981,2989376.145260228624253669996288272926981,597.8752290520457248507339992576545853962,291894.686835024748405492521173596754885,11.30904689324501672413918281366380679837,-3.598794621188649447780346207432317802848,-6.372322106840527893159472106840527893098,10.24128317535901875719690838840274122885,1.534873784906284304800129726865091213049,965,0.5875899280575539568345323741007194244604,0.90,-0.3124100719424460431654676258992805755396,-1727867.480188025223032598150490188943255
primary,F1_Q1_OFF,Monitor2026,591,500000,648414.9079291353432985129029554747693614,148414.9079291353432985129029554747693614,29.68298158582706865970258059109495387228,60622.2802744090401364938254709391954587,10.15474535131134067372335623545177720007,-3.828794615241260181381676723415650942847,-4.396123076923076923076923076923076923071,2.448190784928076936984057938995438070139,1.226263138432068737780951614938761026414,404,0.5345728643216080402010050251256281407035,0.90,-0.3654271356783919597989949748743718592965,67455.7707572907901892961238992164256141
robustness,R0_FIXED_090,Historical,9756,500000,328319119.1445947339136640678278815594885,327819119.1445947339136640678278815594885,65563.82382891894678273281356557631189770,22653381.5725619719818022271130248856763,22.48912162462093580012084622881394805188,-10.79999999999999999999999999999999999995,-13.01025214785214785214785214785214785214,14.47108980593223668923181649511554887233,1.316184576184125558245818926488523216772,0,0.90,0.90,0.00,0E-31
robustness,R0_FIXED_090,RecentA,2767,500000,7939790.172490333287908664771067839754932,7439790.172490333287908664771067839754932,1487.958034498066657581732954213567950986,939536.800445310913492910873026241222416,19.03113534427170164287651367273534296207,-9.792000000000000000000000000000000000028,-11.54196148851148851148851148851148851152,7.918572395423049507952300687836740847669,1.491020640197342787568324497623536071591,0,0.90,0.90,0.00,0E-33
robustness,R0_FIXED_090,RecentB,2780,500000,5217243.625448253847286268146778461870236,4717243.625448253847286268146778461870236,943.4487250896507694572536293556923740472,431274.495142928098273343508720341597065,14.49107143461417286724016738174732401568,-3.948032967032967032967032967032967032964,-6.372322106840527893159472106840527893153,10.93791466589026671984036263248271059549,1.470756875822242847708301907929414032708,0,0.90,0.90,0.00,0E-33
robustness,R0_FIXED_090,Monitor2026,995,500000,580959.1371718445531092167790562583437473,80959.1371718445531092167790562583437473,16.19182743436891062184335581125166874946,103127.0485675544328601624115252759967353,15.97977972087418962561467525873085579403,-4.216980894887358599661770074712200985674,-4.857343356643356643356643356643356643365,0.7850427050553224976490693692260760264322,1.076177295231572469677838274662737892074,0,0.90,0.90,0.00,0E-34
robustness,R1_MILD,Historical,9756,500000,389069227.7873267299510689706029855297899,388569227.7873267299510689706029855297899,77713.84555746534599021379412059710595798,25801258.8102233766429016335543519918882,22.17606146521174483827708315518936507591,-12.89999999999999999999999999999999999995,-13.01025214785214785214785214785214785214,15.06008798428709913225104728821468206468,1.322132555500997307396339254707169877167,0,0.8810168101681016810168101681016810168102,0.8810168101681016810168101681016810168102,-0.0189831898318983189831898318983189831898,60750108.6427319960374049027751039703014
robustness,R1_MILD,RecentA,2767,500000,9055477.172124430288638705384010510111808,8555477.172124430288638705384010510111808,1711.095434424886057727741076802102022362,861786.347381727475865861781897366437623,15.63399647454236984545930706848891407107,-8.104000000000000000000000000000000000018,-8.926445443445443445443445443445443445463,9.927608157309075453899912767290975546415,1.544802058511512071526397810008874549717,0,0.9058185760751716660643295988435128297795,0.9058185760751716660643295988435128297795,0.0058185760751716660643295988435128297795,1115686.999634097000730040612942670356876
robustness,R1_MILD,RecentB,2780,500000,5475718.695075424292416274174699263750692,4975718.695075424292416274174699263750692,995.1437390150848584832548349398527501384,499912.825355904415085580971414104272216,15.07038844103132332368132438998165638738,-3.670364953596447709644009039852165418197,-6.399040659340659340659340659340659340631,9.953172718729602861681040359604910157363,1.478054497543904170473332801168468348369,0,0.8742086330935251798561151079136690647482,0.8742086330935251798561151079136690647482,-0.0257913669064748201438848920863309352518,258475.069627170445130006027920801880456
robustness,R1_MILD,Monitor2026,995,500000,597295.2044627001609883514634734442383687,97295.2044627001609883514634734442383687,19.45904089254003219767029269468884767374,94750.6813925655754719154362816081243729,14.57995156486544064721585681461713405702,-4.738718581891906693378345278388675910447,-4.926650427350427350427350427350427350424,1.026854931624103723636147884670812709949,1.092158052924041352207148141414955006484,0,0.8693467336683417085427135678391959798995,0.8693467336683417085427135678391959798995,-0.0306532663316582914572864321608040201005,16336.0672908556078791346844171858946214
robustness,R2_MODERATE,Historical,9756,500000,454359437.0672079917813711569149372280218,453859437.0672079917813711569149372280218,90771.88741344159835627423138298744560436,31140789.0566669397080491054435018099557,23.65158569174652597721799994563078299057,-15.00000000000000000000000000000000000010,-13.01025214785214785214785214785214785214,14.57443599907887066518283673707715148856,1.326396984034180345174640403960584416454,0,0.8620336203362033620336203362033620336203,0.8620336203362033620336203362033620336203,-0.0379663796637966379663796637966379663797,126040317.9226132578677070890870556685333
robustness,R2_MODERATE,RecentA,2767,500000,10249026.93502980598974159361916466499040,9749026.93502980598974159361916466499040,1949.805387005961197948318723832932998080,763446.327612024117677082335644770430078,14.00601907840641302932413648177589469184,-7.515014557922241839093632942774746770106,-9.124184126984126984126984126984126984122,12.76976073160727177751187176380562666605,1.607134139999781028186647091579844622396,0,0.9116371521503433321286591976870256595591,0.9116371521503433321286591976870256595591,0.0116371521503433321286591976870256595591,2309236.762539472701832928848096825235468
robustness,R2_MODERATE,RecentB,2780,500000,5714126.670572567466934016212920404645254,5214126.670572567466934016212920404645254,1042.825334114513493386803242584080929051,575192.301019436282279470675983130762263,15.63059574538207279833569868830251963422,-4.314975988001576532181236168203467477680,-7.289257842157842157842157842157842157843,9.065014711308483390387852482027751351364,1.485773615829614366398200179044016613987,0,0.8484172661870503597122302158273381294964,0.8484172661870503597122302158273381294964,-0.0515827338129496402877697841726618705036,496883.045124313619647748066141942775018
robustness,R2_MODERATE,Monitor2026,995,500000,613358.2782228526456110096827544547056804,113358.2782228526456110096827544547056804,22.67165564457052912220193655089094113608,86146.3045098834155847685290515887429596,13.17411742525386388092799158180294950468,-5.258215399428563128473400908230876453998,-5.849677777777777777777777777777777777785,1.315880917559815321418685952349904066048,1.108171554101522031518975156982568010102,0,0.8386934673366834170854271356783919597990,0.8386934673366834170854271356783919597990,-0.0613065326633165829145728643216080402010,32399.1410510080925017929036981963619331
robustness,F1_Q1_OFF,Historical,7428,500000,129573083.9262665929929294670628611640093,129073083.9262665929929294670628611640093,25814.61678525331859858589341257223280186,8877876.89818724287516633016271961145759,19.65832036673067518847677639840166119701,-10.79999999999999999999999999999999999998,-13.01025214785214785214785214785214785214,14.53873323616615874149434862523015352566,1.359422564820542579905819035140923025565,2328,0.6852398523985239852398523985239852398524,0.90,-0.2147601476014760147601476014760147601476,-198746035.2183281409207346007650203954792
robustness,F1_Q1_OFF,RecentA,2135,500000,6204498.828306705409717649434528729770838,5704498.828306705409717649434528729770838,1140.899765661341081943529886905745954168,287143.302227670270307620231220570166696,10.79935310486842701164908839399020948576,-6.490603286135068624977082355813707143264,-7.509234865134865134865134865134865134833,19.86638303610411436256696883150514743925,1.737708588452884107255223292543629258591,632,0.6944344054933140585471629924105529454283,0.90,-0.2055655945066859414528370075894470545717,-1735291.344183627878191015336539109984094
robustness,F1_Q1_OFF,RecentB,1929,500000,3186142.312155709963767782750085980530830,2686142.312155709963767782750085980530830,537.2284624311419927535565500171961061660,297673.977719845618668734711591853684405,13.52591475022862953210433049659964630544,-3.621646152909357972130383720104346517476,-5.991846563962353436037646563962353436008,9.023772694984307363289497372510082501843,1.516164113146267010797914242131872732047,851,0.6244964028776978417266187050359712230216,0.90,-0.2755035971223021582733812949640287769784,-2031101.313292543883518485396692481339406
robustness,F1_Q1_OFF,Monitor2026,707,500000,657401.3426946525452788645971453467699095,157401.3426946525452788645971453467699095,31.48026853893050905577291942906935398190,53266.3946615995155083291537810698941841,8.669379595891545029931412570840810250231,-3.828794615241260181381676723415650942855,-4.245554445554445554445554445554445554448,2.954983976194006643176066171439402281928,1.206594089064239502161615386662325816534,288,0.6394974874371859296482412060301507537688,0.90,-0.2605025125628140703517587939698492462312,76442.2055228079921696478180890884261622
