StrategyNo,EntryTime,Variant,Direction,Checkpoint,IndependentMFE,IndependentR,Status
9,2015-01-08 17:14:00,NP50,Short,2015-01-08 21:14:00,0.580000000000022,0.056666667,PASS
9,2026-07-23 17:14:00,NP50,Short,2026-07-23 21:14:00,0.6800000000000258,0.25,PASS
9,2015-01-08 17:14:00,NP75,Short,2015-01-08 23:14:00,1.0999999999999943,0.056666667,PASS
9,2026-07-23 17:14:00,NP75,Short,2026-07-23 23:14:00,0.7700000000000292,0.25,PASS
26,2015-01-09 10:00:00,NP50,Long,2015-01-09 12:55:00,0.07333333333333611,-0.193333333,PASS
26,2026-07-15 10:00:00,NP50,Long,2026-07-15 12:55:00,0.23333333333334216,0.128888889,PASS
26,2015-01-09 10:00:00,NP75,Long,2015-01-09 14:22:00,0.07333333333333611,-0.775555556,PASS
26,2026-07-15 10:00:00,NP75,Long,2026-07-15 14:22:00,0.23333333333334216,0.084444444,PASS
8,2015-01-12 08:01:00,NP50,Long,2015-01-12 15:23:00,0.49428571428571944,-0.627142857,PASS
8,2026-08-17 08:01:00,NP50,Long,2026-08-17 15:23:00,0.5057142857142846,0.655714286,PASS
8,2015-01-12 08:01:00,NP75,Long,2015-01-12 19:04:00,0.5000000000000121,-0.627142857,PASS
8,2026-08-17 08:01:00,NP75,Long,2026-08-17 19:04:00,0.8585714285714475,0.655714286,PASS
26,2015-01-12 10:00:00,NP50,Long,2015-01-12 12:55:00,0.5999999999999911,0.511111111,PASS
26,2026-07-14 10:00:00,NP50,Long,2026-07-14 12:55:00,0.28444444444444467,0.333333333,PASS
26,2015-01-12 10:00:00,NP75,Long,2015-01-12 14:22:00,0.704444444444429,0.511111111,PASS
26,2026-07-14 10:00:00,NP75,Long,2026-07-14 14:22:00,0.4311111111111169,0.333333333,PASS
26,2015-01-14 10:00:00,NP50,Long,2015-01-14 12:55:00,,-1.0,PASS
26,2025-12-11 10:00:00,NP50,Long,2025-12-11 12:55:00,,-1.0,PASS
26,2015-01-14 10:00:00,NP75,Long,2015-01-14 14:22:00,,-1.0,PASS
26,2026-05-15 10:00:00,NP75,Long,2026-05-15 14:22:00,,-1.0,PASS
9,2015-01-15 17:14:00,NP50,Short,2015-01-15 21:14:00,,2.666666667,PASS
9,2026-03-05 17:14:00,NP50,Short,2026-03-05 21:14:00,,-1.0,PASS
9,2015-01-15 17:14:00,NP75,Short,2015-01-15 23:14:00,,2.666666667,PASS
9,2026-07-16 17:14:00,NP75,Short,2026-07-16 23:14:00,,-1.0,PASS
10,2015-01-23 10:58:00,NP50,Short,2015-01-23 12:24:00,0.29199999999997317,0.5,PASS
10,2026-07-17 10:58:00,NP50,Short,2026-07-17 12:24:00,0.28999999999999204,0.168,PASS
10,2015-01-23 10:58:00,NP75,Short,2015-01-23 13:07:00,0.3459999999999752,0.5,PASS
10,2026-07-17 10:58:00,NP75,Short,2026-07-17 13:07:00,0.28999999999999204,0.168,PASS
11,2015-01-23 18:57:00,NP50,Short,2015-01-23 22:20:00,,1.727272727,PASS
11,2026-01-30 18:57:00,NP50,Short,2026-01-30 22:20:00,,-1.0,PASS
11,2015-01-23 18:57:00,NP75,Short,2015-01-24 00:01:00,,1.727272727,PASS
11,2026-05-29 18:57:00,NP75,Short,2026-05-30 00:01:00,,-1.0,PASS
