Variant,StrategyNo,Strategy,Trades,TriggerCount,TriggerRate,TriggerWeeks,R0TotalR,NPTotalR,DeltaTotalR,R0AvgR,NPAvgR,AvgDeltaR,Improved,Harmed,Unchanged,AvgGainWhenImproved,AvgDamageWhenHarmed,BaselineTriggerAvgR,NPTriggerAvgR,RecoveryRate,LaterTPRate,R0PF,NPPF,R0WinRate,NPWinRate,R0AvgWinR,NPAvgWinR,R0AvgLossR,NPAvgLossR,R0SLRate,NPSLRate,R0TPRate,NPTPRate,R0TimeExitRate,NPTimeExitRate,R0WorstDayR,NPWorstDayR,R0WorstWeekR,NPWorstWeekR,R0MaxDDR,NPMaxDDR,NPExitRate,PeriodEligible,SampleStatus,DiagnosticLabel
NP50,11,11_AJ_SatB,403,230,0.5707196029776674,230,23.105454530999996,7.183636349999999,-15.921818181,0.057333634071960286,0.017825400372208432,-0.039508233699751864,112,118,173,0.26011363633928575,-0.3818181817881356,-0.13002371543913044,-0.19924901187826086,0.36086956521739133,0.004347826086956522,1.2700956427370997,1.0985753846484825,0.49379652605459057,0.38957816377171217,0.545984467763819,0.5099247249171973,-0.41934046350000004,-0.29744712433469395,0.07196029776674938,0.02977667493796526,0.034739454094292806,0.03225806451612903,0.8933002481389578,0.36724565756823824,-1.0,-1.0,-1.0,-1.0,5.985454548000003,10.312727273000002,0.5707196029776674,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,12,12_UJ_Short_Core,546,141,0.25824175824175827,102,129.353,128.59300000000002,-0.7599999999999998,0.23691025641025643,0.23551831501831505,-0.0013919413919413915,83,58,405,0.13402409638554216,-0.20489655172413793,-0.14319148936170215,-0.14858156028368796,0.3191489361702128,0.0,2.1739406645067025,2.2068114418709412,0.5860805860805861,0.5677655677655677,0.7485625,0.7585451612903226,-0.49411210762331836,-0.4515084745762712,0.11355311355311355,0.10989010989010989,0.05311355311355311,0.05311355311355311,0.8333333333333334,0.5787545787545788,-1.0,-1.0,-3.0,-3.0,5.0,5.0,0.25824175824175827,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,13,13_UJ_Fix_MidWeek,223,187,0.8385650224215246,124,19.084210522,7.422105260999999,-11.662105261,0.08557941938116592,0.03328298323318385,-0.052296436147982066,75,112,36,0.11957894738666665,-0.1842011278125,0.046068111443850264,-0.016296087812834224,0.5775401069518716,0.0053475935828877,2.323454266251948,1.6081593925784625,0.6233183856502242,0.4977578475336323,0.24103748578417267,0.17681365574774774,-0.1716666666904762,-0.11094736842727274,0.008968609865470852,0.008968609865470852,0.008968609865470852,0.004484304932735426,0.9820627802690582,0.14798206278026907,-1.0,-1.0,-0.797894737,-0.98,1.8926315789999997,1.8578947360000004,0.8385650224215246,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,14,14_UJ_Sat_3rd,73,20,0.273972602739726,20,28.233333342,28.080000010000003,-0.15333333200000002,0.38675799098630137,0.3846575343835617,-0.0021004566027397263,12,8,53,0.17074074083333335,-0.27527777775,-0.32411111115,-0.33177777775,0.25,0.0,3.336766599987802,3.389109473408653,0.684931506849315,0.6438356164383562,0.80631111128,0.8475177307021277,-0.5253140096521739,-0.45205128203846157,0.0958904109589041,0.0547945205479452,0.2191780821917808,0.2191780821917808,0.684931506849315,0.4520547945205479,-1.0,-1.0,-1.0,-1.0,1.6266666670000003,1.7755555550000004,0.273972602739726,False,INSUFFICIENT_SAMPLE,NO_EXPLORATORY_SIGNAL
NP50,15,15_UJ_Sat_Aug,70,9,0.12857142857142856,7,24.075,21.280000000000005,-2.795,0.3439285714285714,0.30400000000000005,-0.039928571428571424,5,4,61,0.418,-1.22125,-0.145,-0.4555555555555555,0.4444444444444444,0.1111111111111111,1.857371794871795,1.7826406767193825,0.5428571428571428,0.5,1.3725,1.384857142857143,-0.8775,-0.7768571428571428,0.37142857142857144,0.3,0.35714285714285715,0.34285714285714286,0.2714285714285714,0.22857142857142856,-1.0,-1.0,-1.25,-2.3600000000000003,3.620000000000001,3.620000000000001,0.12857142857142856,False,INSUFFICIENT_SAMPLE,NO_EXPLORATORY_SIGNAL
NP50,16,16_UJ_T10A,60,30,0.5,30,11.744444443999997,8.142222221,-3.602222223,0.19574074073333328,0.13570370368333334,-0.06003703705,8,22,30,0.38333333337500003,-0.30313131318181824,0.0107407408,-0.10933333330000002,0.6,0.0,2.250887573902357,1.993223095756188,0.65,0.48333333333333334,0.5418803418717949,0.5634482757586207,-0.447089947095238,-0.2644444443870968,0.08333333333333333,0.05,0.03333333333333333,0.03333333333333333,0.8833333333333333,0.4166666666666667,-1.0,-1.0,-1.0,-1.0,1.211111111000001,2.0977777779999993,0.5,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,17,17_EA_1B_Wed_Short,351,115,0.32763532763532766,115,52.781428567999995,40.548571429000006,-12.232857139,0.15037444036467235,0.11552299552421655,-0.03485144484045584,49,66,236,0.36023323620408165,-0.4527922077727273,-0.14252173913913044,-0.24889440991304349,0.40869565217391307,0.0,1.6097267145859668,1.4991471027908234,0.5897435897435898,0.5156695156695157,0.6731746031642513,0.6728413575414365,-0.6011507936597222,-0.47785714285882347,0.17094017094017094,0.11965811965811966,0.014245014245014245,0.014245014245014245,0.8148148148148148,0.5384615384615384,-1.0,-1.0,-1.0,-1.0,4.3471428589999945,4.265714287,0.32763532763532766,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,18,18_EA_2_MonWed_Short,953,286,0.3001049317943337,223,39.053333343,37.967777791,-1.0855555519999998,0.04097936342392445,0.039840270504721935,-0.001139092919202518,147,139,667,0.3286470143333333,-0.3553717025827339,-0.2832284382272727,-0.28702408701048954,0.3111888111888112,0.0,1.145359200373806,1.1529821011852208,0.5183630640083945,0.46799580272822666,0.6229172289757084,0.6415969108183857,-0.5866108684956333,-0.49048309176679844,0.18782791185729275,0.12906610703043023,0.026232948583420776,0.026232948583420776,0.7859391395592865,0.5445960125918153,-1.0,-1.0,-3.0,-3.0,23.832222218000005,19.635555552,0.3001049317943337,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,19,19_EA_3_WedThu_Long,703,252,0.3584637268847795,216,63.135555575999994,54.631111135,-8.504444441000002,0.08980875615362731,0.0777113956401138,-0.012097360513513516,117,134,452,0.1896011395897436,-0.22901326696268653,-0.2541931216825397,-0.2879409170833333,0.25793650793650796,0.0,1.4285865139566416,1.3765614112156197,0.55049786628734,0.5078236130867709,0.5437898363875969,0.5594117647535014,-0.46765432097142845,-0.4205185184985507,0.0953058321479374,0.06970128022759602,0.0,0.0,0.9046941678520626,0.5718349928876245,-1.0,-1.0,-2.0,-2.0,7.2344444439999975,7.112222222,0.3584637268847795,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,20,20_EA_1A_MonTue_Short,770,277,0.35974025974025975,229,24.314000000000004,15.392000000000001,-8.921999999999999,0.03157662337662338,0.01998961038961039,-0.011587012987012986,133,144,493,0.27278195488721807,-0.31390277777777775,-0.20771841155234655,-0.23992779783393506,0.3140794223826715,0.0,1.1200560926714136,1.081106146193407,0.509090909090909,0.461038961038961,0.5786632653061224,0.5779380281690141,-0.5371936339522546,-0.4595060532687651,0.15324675324675324,0.11688311688311688,0.014285714285714285,0.014285714285714285,0.8324675324675325,0.509090909090909,-1.0,-1.0,-2.0,-2.0,12.853999999999992,11.132000000000003,0.35974025974025975,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,21,21_GA_B_3,587,434,0.7393526405451448,434,8.894545480999998,2.3822727499999985,-6.512272730999999,0.015152547667802382,0.004058386286201019,-0.01109416138160136,196,236,155,0.08542671613775508,-0.0985419876864407,-0.05883116881566821,-0.07383640552304147,0.4055299539170507,0.018433179723502304,1.1673980928189815,1.0473351943169913,0.5264054514480409,0.5025553662691652,0.20073992357605178,0.178677966179661,-0.19181982275812276,-0.17294751640206182,0.008517887563884156,0.0034071550255536627,0.10562180579216354,0.0919931856899489,0.8858603066439523,0.16524701873935263,-1.0,-1.0,-1.0,-1.0,6.221363637000001,8.030454529000007,0.7393526405451448,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
NP50,23,23_GA_F_2,434,287,0.6612903225806451,287,19.614444442,4.952222219,-14.662222223,0.04519457244700461,0.01141065027419355,-0.03378392217281106,132,155,147,0.20452861955303028,-0.2687741935741935,-0.07562911343554007,-0.12671699574564463,0.39372822299651566,0.0,1.306273638852968,1.0857758703091611,0.5069124423963134,0.4447004608294931,0.38025757577272723,0.3248013816735752,-0.3006677099906103,-0.23956201014107883,0.03456221198156682,0.018433179723502304,0.0069124423963133645,0.0069124423963133645,0.9585253456221198,0.31336405529953915,-1.0,-1.0,-1.0,-1.0,9.660000002,12.013333332999999,0.6612903225806451,True,ELIGIBLE,NO_EXPLORATORY_SIGNAL
