Candidate,RiskPct,TradingWeekStart,StartCapital,RiskAmount,Trades,NetProfitJPY,ReturnPct,FinalCapital
M0_BASELINE,2.0,2015-07-13 06:00:00,1280729.918491550384388231563206276010917,25614.59836983100768776463126412552021834,31,263846.6491921056875436200039194695383447,20.60127161727161727161727161727161727165,1544576.567683656071931851567125745549262
M0_BASELINE,2.0,2015-07-20 06:00:00,1544576.567683656071931851567125745549262,30891.53135367312143863703134251491098524,30,88604.23961714001783163364628726682557421,5.736474414474414474414474414474414474414,1633180.807300796089763485213413012374836
M0_BASELINE,2.0,2015-07-27 06:00:00,1633180.807300796089763485213413012374836,32663.61614601592179526970426826024749672,30,183353.0810343885795820384621306272304767,11.22674722937880832617674722937880832618,1816533.888335184669345523675543639605313
M0_BASELINE,2.0,2015-08-03 06:00:00,1816533.888335184669345523675543639605313,36330.67776670369338691047351087279210626,21,90436.21121135661920076922914963349524098,4.978503940503940503940503940503940503938,1906970.099546541288546292904693273100554
M0_BASELINE,2.0,2015-08-10 06:00:00,1906970.099546541288546292904693273100554,38139.40199093082577092585809386546201108,24,247735.0338674733328123579727315117615705,12.99102874902874902874902874902874902874,2154705.133414014621358650877424784862124
M0_BASELINE,2.0,2015-08-17 06:00:00,2154705.133414014621358650877424784862124,43094.10266828029242717301754849569724248,17,2764.19800495184013142559553021384871547,0.1282866022866022866022866022866022865984,2157469.331418966461490076472954998710839
M0_BASELINE,2.0,2015-08-24 06:00:00,2157469.331418966461490076472954998710839,43149.38662837932922980152945909997421678,22,-369626.8216984907162833262174613678910974,-17.13242530568846358320042530568846358321,1787842.509720475745206750255493630819742
M0_BASELINE,2.0,2015-08-31 06:00:00,1787842.509720475745206750255493630819742,35756.85019440951490413500510987261639484,17,-46669.31378863886799666885358796733386986,-2.610370518370518370518370518370518370517,1741173.195931836877210081401905663485872
M0_BASELINE,2.0,2015-09-07 06:00:00,1741173.195931836877210081401905663485872,34823.46391863673754420162803811326971744,39,503555.7805656549732421785862725874921527,28.92048773448773448773448773448773448774,2244728.976497491850452259988178250978025
M0_BASELINE,2.0,2015-09-14 06:00:00,2244728.976497491850452259988178250978025,44894.5795299498370090451997635650195605,25,-648988.6663960543747430645021437731259824,-28.91167143967143967143967143967143967144,1595740.310101437475709195486034477852043
M0_BASELINE,2.0,2015-09-21 06:00:00,1595740.310101437475709195486034477852043,31914.80620202874951418390972068955704086,31,164479.6722025993994406889532138592674353,10.30742102342102342102342102342102342102,1760219.982304036875149884439248337119478
M0_BASELINE,2.0,2015-09-28 06:00:00,1760219.982304036875149884439248337119478,35204.39964608073750299768878496674238956,19,-105698.1272823276763648083058674880801440,-6.004824871035397351186824871035397351188,1654521.855021709198785076133380849039334
M0_BASELINE,2.0,2015-10-05 06:00:00,1654521.855021709198785076133380849039334,33090.43710043418397570152266761698078668,16,-90545.79755880927543532993922266769707280,-5.472626262626262626262626262626262626262,1563976.057462899923349746194158181342261
M0_BASELINE,2.0,2015-10-12 06:00:00,1563976.057462899923349746194158181342261,31279.52114925799846699492388316362684522,17,43621.09596239131000110816026759885085179,2.789115329115329115329115329115329115329,1607597.153425291233350854354425780193113
M0_BASELINE,2.0,2015-10-19 06:00:00,1607597.153425291233350854354425780193113,32151.94306850582466701708708851560386226,23,-126861.8778683116638658783798757863668393,-7.891397269397269397269397269397269397269,1480735.275556979569484975974549993826274
M0_BASELINE,2.0,2015-10-26 06:00:00,1480735.275556979569484975974549993826274,29614.70551113959138969951949099987652548,18,88224.04147611186934045379995514562609762,5.958123841071209492262123841071209492260,1568959.317033091438825429774505139452372
M0_BASELINE,2.0,2015-11-02 06:00:00,1568959.317033091438825429774505139452372,31379.18634066182877650859549010278904744,21,-26885.32740146423013150679974889214440246,-1.713577089577089577089577089577089577090,1542073.989631627208693922974756247307970
M0_BASELINE,2.0,2015-11-09 06:00:00,1542073.989631627208693922974756247307970,30841.4797926325441738784594951249461594,50,228869.6199425050606809811924988120270310,14.84167565767565767565767565767565767565,1770943.609574132269374904167255059335001
M0_BASELINE,2.0,2015-11-16 06:00:00,1770943.609574132269374904167255059335001,35418.87219148264538749808334510118670002,24,8555.53099339493381729425619618625235177,0.4831057831057831057831057831057831057821,1779499.140567527203192198423451245587353
M0_BASELINE,2.0,2015-11-23 06:00:00,1779499.140567527203192198423451245587353,35589.98281135054406384396846902491174706,35,48137.33644893685885568855591580753405594,2.705105911632227421701105911632227421691,1827636.477016464062047886979367053121409
M0_BASELINE,2.0,2015-11-30 06:00:00,1827636.477016464062047886979367053121409,36552.72954032928124095773958734106242818,19,316017.8830502765825473243264555197558888,17.29106893106893106893106893106893106893,2143654.360066740644595211305822572877298
M0_BASELINE,2.0,2015-12-07 06:00:00,2143654.360066740644595211305822572877298,42873.08720133481289190422611645145754596,38,-342804.7724601725572360422099771205074423,-15.99160661560661560661560661560661560663,1800849.587606568087359169095845452369856
M0_BASELINE,2.0,2015-12-14 06:00:00,1800849.587606568087359169095845452369856,36016.99175213136174718338191690904739712,24,343391.6044067158949799162656379739732673,19.06831124431124431124431124431124431126,2144241.192013283982339085361483426343123
M0_BASELINE,2.0,2015-12-21 06:00:00,2144241.192013283982339085361483426343123,42884.82384026567964678170722966852686246,22,106147.7410055759937390537980117168086373,4.950363858363858363858363858363858363862,2250388.933018859976078139159495143151760
M0_BASELINE,2.0,2016-01-04 06:00:00,2250388.933018859976078139159495143151760,45007.7786603771995215627831899028630352,20,155120.1759361621321974771646918927080877,6.893038517038517038517038517038517038522,2405509.108955022108275616324187035859848
M0_BASELINE,2.0,2016-01-11 06:00:00,2405509.108955022108275616324187035859848,48110.18217910044216551232648374071719696,43,627819.3414796246666263742562965520610488,26.09922943722943722943722943722943722944,3033328.450434646774901990580483587920897
M0_BASELINE,2.0,2016-01-18 06:00:00,3033328.450434646774901990580483587920897,60666.56900869293549803981160967175841794,18,-11357.07936104583059302626100946254867919,-0.3744098124098124098124098124098124098050,3021971.371073600944308964319474125372218
M0_BASELINE,2.0,2016-01-25 06:00:00,3021971.371073600944308964319474125372218,60439.42742147201888617928638948250744436,24,75353.49532586244657745436938337369387624,2.493521151363256626414521151363256626414,3097324.866399463390886418688857499066094
M0_BASELINE,2.0,2016-02-01 06:00:00,3097324.866399463390886418688857499066094,61946.49732798926781772837377714998132188,17,479212.4099449551706305149003288559340293,15.47181618381618381618381618381618381619,3576537.276344418561516933589186355000123
M0_BASELINE,2.0,2016-02-08 06:00:00,3576537.276344418561516933589186355000123,71530.74552688837123033867178372710000246,38,-5911.54885346451698012878266139385685465,-0.1652869352869352869352869352869352869453,3570625.727490954044536804806524961143268
M0_BASELINE,2.0,2016-02-15 06:00:00,3570625.727490954044536804806524961143268,71412.51454981908089073609613049922286536,23,545367.1480487843639844020434974949877112,15.27371361971361971361971361971361971361,4115992.875539738408521206850022456130979
M0_BASELINE,2.0,2016-02-22 06:00:00,4115992.875539738408521206850022456130979,82319.85751079476817042413700044912261958,31,348783.2552898469460368681033437505172027,8.473854689170478644162854689170478644157,4464776.130829585354558074953366206648182
M0_BASELINE,2.0,2016-02-29 06:00:00,4464776.130829585354558074953366206648182,89295.52261659170709116149906732413296364,18,-453034.7035389856114558306112848385368230,-10.14686269286269286269286269286269286269,4011741.427290599743102244342081368111359
