Pair,Method,Period,ObservedWeeks,Status,N,Alpha,Beta,PearsonR,R2,XMean,XMedian,XStd,YMean,YMedian,YStd,CILow,CIHigh,PUnadjusted,ValidBootstraps
GBPJPY,Primary,RecentCombined,245,OK,1207,2.258635781672035,0.029121521619904403,0.03125731228643074,0.0009770195713714543,-0.7560066280032997,1.8000000000000682,51.98598718860134,2.236619718309846,5.19999999999925,48.43382041206846,-0.033287191700404055,0.0916507223078246,0.34653069386122776,5000
GBPJPY,Robustness,RecentCombined,245,OK,1207,2.2536536101999385,0.024313987123157712,0.030414413976727832,0.0009250365775477772,-0.7005799502899648,2.3000000000024556,60.58596054302046,2.236619718309846,5.19999999999925,48.43382041206846,-0.028756884532413148,0.0769180047914539,0.36892621475704857,5000
AUDJPY,Primary,RecentCombined,245,OK,1207,-0.21151044711660136,0.008956922132865155,0.01328431509172979,0.00017647302745635987,0.42485501242749674,2.80000000000058,38.05267487268832,-0.20770505385253082,1.099999999999568,25.656937781767315,-0.03285239608785203,0.053227862893384194,0.6936612677464508,5000
AUDJPY,Robustness,RecentCombined,245,OK,1207,-0.20435417962735009,-0.002543713955844695,-0.00411210295239148,1.6909390691066728e-05,1.3173156586578607,2.4999999999991473,41.47634971271564,-0.20770505385253082,1.099999999999568,25.656937781767315,-0.0409169623009485,0.03914035242236419,0.902619476104779,5000
EURAUD,Primary,RecentCombined,245,OK,1207,2.4987582799598234,-0.008008250056862839,-0.010688529091513172,0.0001142446541401234,-0.19643744821870332,-1.7999999999984695,42.13125383236005,2.500331400165691,1.4999999999987246,31.566328070959557,-0.05604239789854898,0.039864934636630635,0.7378524295140971,5000
EURAUD,Robustness,RecentCombined,245,OK,1207,2.47113276657494,-0.019079011879621473,-0.0275042128806305,0.0007564817261830407,-1.530405965202981,-4.300000000001525,45.50586857440119,2.500331400165691,1.4999999999987246,31.566328070959557,-0.06414712631947023,0.025823503095073627,0.40731853629274145,5000
GBPAUD,Primary,RecentCombined,245,OK,1207,2.7376982391271927,0.013482950667344073,0.01691008291045235,0.0002859509040383726,-1.0508699254349925,-2.100000000000435,46.0331886598987,2.723529411764757,3.5999999999991594,36.70373557886677,-0.032181725969505776,0.060356565888715304,0.5702859428114377,5000
GBPAUD,Robustness,RecentCombined,245,OK,1207,2.722629673544587,-0.00032600385198870523,-0.0004398630681814583,1.934795187500062e-07,-2.7599005799503327,-3.1000000000003247,49.522782160256924,2.723529411764757,3.5999999999991594,36.70373557886677,-0.046038237368279576,0.04614258886389389,0.9866026794641072,5000
USDJPY,Primary,ALL,610,OK,3007,0.2583805538097479,0.033938017135402405,0.04603823693547305,0.002119519260126755,-0.9607914865314213,0.0,34.98812804695749,0.2257731958762958,0.7000000000005002,25.792205962569536,-0.011078876110459717,0.07713779382104453,0.1311737652469506,5000
USDJPY,Robustness,ALL,610,OK,3007,0.22658375020853969,0.02657946430814426,0.0399829627125207,0.0015986373072708205,-0.030495510475563627,1.2000000000000455,38.79870554648782,0.2257731958762958,0.7000000000005002,25.792205962569536,-0.013348129431789013,0.06356808388600267,0.17196560687862428,5000
EURJPY,Primary,ALL,610,OK,3007,0.41754979215974636,-0.01274230672548644,-0.013543281803742292,0.00018342048201557709,-0.40525440638510973,0.7999999999995566,36.72697588256488,0.42271366810776034,1.300000000000523,34.554873669236535,-0.07183400572771956,0.04869253993620877,0.6830633873225355,5000
EURJPY,Robustness,ALL,610,OK,3007,0.4208148847659464,-0.016392884033402968,-0.020095495563104096,0.00040382894192673643,-0.11582973062853685,1.2000000000000455,42.35967930285033,0.42271366810776034,1.300000000000523,34.554873669236535,-0.06648036768548923,0.032163258569591374,0.5346930613877224,5000
GBPJPY,Primary,ALL,610,OK,3007,1.0122067280664635,-0.05195962209814325,-0.05555636176568938,0.0030865093326401527,-1.5552377785167888,1.2000000000000455,50.396272379962845,1.0930162953109517,2.000000000001023,47.13359883179296,-0.15123617328865502,0.06040813357592027,0.471505698860228,5000
GBPJPY,Robustness,ALL,610,OK,3007,1.0274080035289095,-0.0433362914920923,-0.053557345920727174,0.0028683893020724316,-1.5139341536415012,1.500000000001478,58.25026485212152,1.0930162953109517,2.000000000001023,47.13359883179296,-0.13087094886650136,0.049034665614970704,0.47050589882023597,5000
AUDJPY,Primary,ALL,610,OK,3006,-0.16795762289838806,-0.01255645411462342,-0.018892089126503496,0.0003569110315637516,0.011111111111103824,2.049999999999841,35.87745842342733,-0.16809713905521712,0.6000000000000227,23.845624347128574,-0.04918257133618395,0.023641940776837338,0.5016996600679864,5000
AUDJPY,Robustness,ALL,610,OK,3006,-0.15384069439650816,-0.019253694242105556,-0.031587171827291025,0.000997749424046808,0.7404524284763908,1.8999999999998352,39.12058767062949,-0.16809713905521712,0.6000000000000227,23.845624347128574,-0.05173162543681625,0.013953842359998258,0.2553489302139572,5000
EURAUD,Primary,ALL,610,OK,3007,0.7585991225390476,-0.029324204111970332,-0.037700277517433496,0.0014213109248915016,-0.20744928500165127,-1.40000000000029,45.60381448140965,0.7646824077153184,0.4999999999988347,35.47176976399943,-0.08515693738635531,0.02122986234537753,0.29774045190961806,5000
EURAUD,Robustness,ALL,610,OK,3007,0.7278744738592566,-0.03483506659905495,-0.04827099453738416,0.0023300889136281715,-1.05663451945461,-2.9999999999996696,49.1532748944369,0.7646824077153184,0.4999999999988347,35.47176976399943,-0.07022566897851416,0.0019990706423940814,0.0613877224555089,5000
GBPAUD,Primary,ALL,608,OK,3001,1.330984863747376,-0.059379017557303355,-0.06627397555392257,0.004392239835721927,-1.3777740753082572,-1.900000000001345,51.39090025653318,1.4127957347551023,0.700000000000145,46.044335549713324,-0.12434653522781554,0.005594933148562932,0.07698460307938412,5000
GBPAUD,Robustness,ALL,608,OK,3001,1.2138460514204883,-0.07388384953249914,-0.0908298894723172,0.008250068821553358,-2.692735754748437,-3.1000000000003247,56.60508941087498,1.4127957347551023,0.700000000000145,46.044335549713324,-0.13090380881310307,-0.014838577974625115,0.011597680463907219,5000
