Pair,Date,Season,Direction,Endpoint,RawTime,UTC,JST,London,Open,Filename,SourceRow,Pip,X,Y,Status
EURJPY,2015-04-01,summer,UP,London08,2015-04-01 10:00:00,2015-04-01 07:00:00+00:00,2015-04-01 16:00:00+09:00,2015-04-01 08:00:00+01:00,128.986,EURJPY_M1_201501020900_201612302359.csv,90534,0.01,30.39999999999736,7.400000000001228,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-04-01,summer,UP,London11,2015-04-01 13:00:00,2015-04-01 10:00:00+00:00,2015-04-01 19:00:00+09:00,2015-04-01 11:00:00+01:00,129.06,EURJPY_M1_201501020900_201612302359.csv,90714,0.01,30.39999999999736,7.400000000001228,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-03-30,summer,DOWN,Tokyo09,2015-03-30 03:00:00,2015-03-30 00:00:00+00:00,2015-03-30 09:00:00+09:00,2015-03-30 01:00:00+01:00,129.763,EURJPY_M1_201501020900_201612302359.csv,87234,0.01,-18.500000000000227,10.000000000002274,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-03-30,summer,DOWN,Tokyo15,2015-03-30 09:00:00,2015-03-30 06:00:00+00:00,2015-03-30 15:00:00+09:00,2015-03-30 07:00:00+01:00,129.578,EURJPY_M1_201501020900_201612302359.csv,87594,0.01,-18.500000000000227,10.000000000002274,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-03-30,summer,DOWN,London08,2015-03-30 10:00:00,2015-03-30 07:00:00+00:00,2015-03-30 16:00:00+09:00,2015-03-30 08:00:00+01:00,129.688,EURJPY_M1_201501020900_201612302359.csv,87654,0.01,-18.500000000000227,10.000000000002274,RAW_CSV_DECIMAL_VERIFIED
EURJPY,2015-03-30,summer,DOWN,London11,2015-03-30 13:00:00,2015-03-30 10:00:00+00:00,2015-03-30 19:00:00+09:00,2015-03-30 11:00:00+01:00,129.788,EURJPY_M1_201501020900_201612302359.csv,87834,0.01,-18.500000000000227,10.000000000002274,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-01-05,winter,UP,Tokyo09,2015-01-05 02:00:00,2015-01-05 00:00:00+00:00,2015-01-05 09:00:00+09:00,2015-01-05 00:00:00+00:00,183.982,GBPJPY_M1_201501020900_201612302359.csv,1022,0.01,4.4999999999987494,-29.20000000000016,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-01-05,winter,UP,Tokyo15,2015-01-05 08:00:00,2015-01-05 06:00:00+00:00,2015-01-05 15:00:00+09:00,2015-01-05 06:00:00+00:00,184.027,GBPJPY_M1_201501020900_201612302359.csv,1382,0.01,4.4999999999987494,-29.20000000000016,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-01-05,winter,UP,London08,2015-01-05 10:00:00,2015-01-05 08:00:00+00:00,2015-01-05 17:00:00+09:00,2015-01-05 08:00:00+00:00,184.031,GBPJPY_M1_201501020900_201612302359.csv,1502,0.01,4.4999999999987494,-29.20000000000016,RAW_CSV_DECIMAL_VERIFIED
GBPJPY,2015-01-05,winter,UP,London11,2015-01-05 13:00:00,2015-01-05 11:00:00+00:00,2015-01-05 20:00:00+09:00,2015-01-05 11:00:00+00:00,183.739,GBPJPY_M1_201501020900_201612302359.csv,1682,0.01,4.4999999999987494,-29.20000000000016,RAW_CSV_DECIMAL_VERIFIED
