Variant,StrategyNo,Strategy,BaselineTotalR,DeltaTotalR,Improved,Harmed,Unchanged,SampleStatus,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R1_BE50,15,15_UJ_Sat_Aug,24.075,-2.879999999999999,13,12,45,OK,70,23,21.195,0.30278571428571427,2.1478472786352563,0.37142857142857144,1.5253846153846156,-0.9718421052631578,0.7142857142857143,0.2571428571428571,0.2857142857142857,0.1,0.35714285714285715,-1.0,-2.0,3.0
R1_BE50,16,16_UJ_T10A,11.744444443999997,-2.459999998999997,1,3,56,OK,60,60,9.284444445,0.15474074075,2.0007185629101625,0.6,0.5156172839722222,-0.46388888889999996,0.38333333333333336,0.08333333333333333,0.016666666666666666,0.8333333333333334,0.06666666666666667,-1.0,-1.0,1.6333333330000004
R1_BE50,17,17_EA_1B_Wed_Short,52.781428567999995,-15.16285714,15,41,295,OK,351,351,37.618571427999996,0.10717541717378916,1.4737599625729945,0.47293447293447294,0.7049569707349397,-0.6155370985581395,0.5327635327635327,0.15669515669515668,0.014245014245014245,0.6695156695156695,0.15954415954415954,-1.0,-1.0,5.0
R1_BE50,18,18_EA_2_MonWed_Short,39.053333343,-3.3855555539999997,91,89,773,OK,953,426,35.667777789,0.03742683923294858,1.1599348323784289,0.4249737670514166,0.6387215363604939,-0.6076687859318801,0.48478488982161594,0.155299055613851,0.022035676810073453,0.6327387198321092,0.18992654774396642,-1.0,-3.0,22.404444441000003
R1_BE50,19,19_EA_3_WedThu_Long,63.135555575999994,-15.327777782999995,25,45,633,OK,703,448,47.807777793,0.06800537381650071,1.3511290284326174,0.4864864864864865,0.5379012345994152,-0.46949808427586215,0.39971550497866287,0.08677098150782361,0.0,0.8122332859174964,0.10099573257467995,-1.0,-2.0,5.026666666999999
R1_BE50,20,20_EA_1A_MonTue_Short,24.314000000000004,1.801999999999996,55,55,660,OK,770,450,26.116,0.033916883116883116,1.1507138652600963,0.43766233766233764,0.5916854599406529,-0.5381428571428571,0.43116883116883115,0.12597402597402596,0.00909090909090909,0.7220779220779221,0.14285714285714285,-1.0,-2.0,12.997999999999987
R1_BE50,21,21_GA_B_3,8.894545480999998,0.0,0,0,587,OK,587,587,8.894545480999998,0.015152547667802382,1.1673980928189815,0.5264054514480409,0.20073992357605178,-0.19181982275812276,0.0,0.008517887563884156,0.10562180579216354,0.8858603066439523,0.0,-1.0,-1.0,6.221363637000001
R1_BE50,23,23_GA_F_2,19.614444442,-5.308888888999999,8,17,409,OK,434,434,14.305555553000001,0.032962109569124425,1.2326148619962412,0.46774193548387094,0.3734209086059112,-0.2999945799707317,0.2626728110599078,0.029953917050691243,0.004608294930875576,0.9078341013824884,0.0576036866359447,-1.0,-1.0,9.628888890000004
R1_BE50,24,24_GA_D_1,24.537777772000002,-4.0566666640000015,11,20,403,OK,434,434,20.481111108,0.047191500248847926,1.2845213471631802,0.511520737327189,0.4165115114954954,-0.39770411295027625,0.315668202764977,0.0576036866359447,0.01152073732718894,0.8594470046082949,0.07142857142857142,-1.0,-1.0,4.844444442999996
R1_BE50,25,25_AU_China_Demand,49.6725,-4.227499999999992,20,30,972,OK,1022,335,45.44500000000001,0.04446673189823876,1.2720280138872262,0.5088062622309197,0.4086634615384615,-0.37457399103139016,0.30724070450097846,0.046966731898238745,0.07142857142857142,0.8317025440313112,0.049902152641878667,-1.0,-2.3575,8.14
R1_BE50,26,26_AJ_China_Demand,59.173333336,0.6755555550000025,26,24,464,OK,514,163,59.848888891,0.11643752702529184,1.6884282099573549,0.5369649805447471,0.5318276972608694,-0.464896019,0.4182879377431907,0.07976653696498054,0.029182879377431907,0.7937743190661478,0.09727626459143969,-1.0,-3.0,4.371111111000001
R1_BE50,27,27_EA_China_Demand,54.554999998,-1.5516666679999958,19,27,537,OK,583,183,53.003333330000004,0.09091480845626072,1.5373593321883363,0.5334476843910806,0.4875884244308682,-0.43838518519111114,0.3927958833619211,0.07718696397941681,0.1234991423670669,0.7204116638078902,0.07890222984562607,-1.0,-2.666666667,5.538333334000008
