Variant,Period,Trades,Weeks,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,TriggerRate,SLRate,TPRate,TimeExitRate,DynamicSLRate,WorstDayR,WorstWeekR,MaxDDR
R1_BE50,Recent Combined,6355,241,549.87026502,0.08652561211959088,1.4624808907396742,0.4800944138473643,0.5699207049144542,-0.4757734316422569,0.3940204563335956,0.1057435090479937,0.052557041699449254,0.7166011014948859,0.12509834775767112,-10.493424242000001,-9.742330227,17.81462038699982
R1_BE50,ALL,15837,599,1188.6065174290002,0.07505250473126225,1.403933524702528,0.4830460314453495,0.5400243186822222,-0.46339834968346455,0.3783544863294816,0.10052408915830019,0.04912546568163162,0.7358716928711245,0.11447875228894361,-10.493424242000001,-11.709962705,28.308003152000026
R2_LOCK100,Historical,9482,358,676.9966096210001,0.07139808158837799,1.3484550307341965,0.5512550094916684,0.5012146108752631,-0.4584360928324681,0.1192786331997469,0.10957603881037756,0.04788019405188779,0.8031006116852984,0.03944315545243619,-10.616818182,-14.455835720000001,29.243987276000098
R2_LOCK100,Recent A,2688,102,284.419618181,0.10581086985900297,1.4659376586159145,0.5654761904761905,0.5887130321638158,-0.5253220229845095,0.17671130952380953,0.13876488095238096,0.06287202380952381,0.7291666666666666,0.06919642857142858,-11.493424242000001,-13.250274671000001,22.25433767099983
R2_LOCK100,Recent B,2701,103,262.8848521,0.09732871236579044,1.494523690188186,0.5605331358756016,0.5247535545535006,-0.44897975464020273,0.1388374676045909,0.10625694187338022,0.05257312106627175,0.7893372824879674,0.0518326545723806,-4.986794206,-7.4034531349999995,17.038548742999893
R2_LOCK100,2026 Monitor,966,36,14.137543154000001,0.014635137840579711,1.0720165149151628,0.5196687370600414,0.4192176909701195,-0.4249128521926407,0.07867494824016563,0.10559006211180125,0.022774327122153208,0.84472049689441,0.026915113871635612,-5.912815073,-5.288937839,14.062092634000017
R2_LOCK100,Recent Combined,6355,241,561.442013435,0.08834650093391032,1.4195106656301277,0.5564122738001573,0.5372646977799773,-0.47661180837428774,0.14571203776553895,0.11990558615263572,0.05239968528717545,0.7723052714398112,0.055389457120377655,-11.493424242000001,-13.250274671000001,22.25433767099983
R2_LOCK100,ALL,15837,599,1238.438623056,0.07819906693540443,1.3774371820160392,0.5533244932752415,0.5157613536910874,-0.46567955142477996,0.1298857106775273,0.1137210330239313,0.04969375513039086,0.790743196312433,0.045842015533244934,-11.493424242000001,-14.455835720000001,29.243987276000098
R3_STAGED,Historical,9482,358,617.244929178,0.06509649115988188,1.3519829413396403,0.4987344442100823,0.5013462981590188,-0.4553678823204363,0.3678548829360894,0.09702594389369332,0.04471630457709344,0.7301202278000422,0.12813752372917106,-9.616818182,-11.709962705,28.340479342000037
R3_STAGED,Recent A,2688,102,251.260242001,0.0934747924110863,1.4699218653905755,0.4959077380952381,0.5896064438822205,-0.5309683691102285,0.4460565476190476,0.12053571428571429,0.059895833333333336,0.6309523809523809,0.18861607142857142,-10.493424242000001,-9.866774671,16.988729159999934
R3_STAGED,Recent B,2701,103,238.35789178799996,0.0882480162117734,1.506731678604468,0.5024065161051462,0.5222849985357405,-0.4467073610873694,0.38022954461310626,0.09403924472417623,0.04627915586819696,0.7071455016660496,0.1525360977415772,-4.071012821,-7.421453134999998,15.902755089999971
R3_STAGED,2026 Monitor,966,36,9.660783025,0.01000081058488613,1.0525357179687032,0.4824016563146998,0.41534461326180255,-0.4188833866856492,0.28778467908902694,0.09730848861283643,0.021739130434782608,0.7960662525879917,0.08488612836438923,-5.912815073,-5.986642342000001,15.981937983000016
R3_STAGED,Recent Combined,6355,241,499.278916814,0.07856473907380015,1.4199298868566386,0.4966168371361133,0.5349292530063371,-0.4757734316422569,0.3940204563335956,0.1057435090479937,0.04830841856805665,0.6884343036978757,0.15751376868607395,-10.493424242000001,-9.866774671,16.988729159999934
R3_STAGED,ALL,15837,599,1116.523845992,0.07050096899614826,1.3794371021130725,0.49788470038517396,0.5147879982856055,-0.46339834968346455,0.3783544863294816,0.10052408915830019,0.04615773189366673,0.7133926880090926,0.13992549093894047,-10.493424242000001,-11.709962705,28.340479342000037
