Period,Pair,Event,N,MeanAlignedPips,MedianAlignedPips,PositiveRate,CILow,CIHigh,ValidBootstraps
RecentA,GBPAUD,DOWN_BREAKOUT,127,3.677952755905515,2.900000000001235,0.5354330708661418,-1.0281800717211316,8.40912141996213,5000
RecentA,GBPAUD,UP_SWEEP,50,-5.611999999999994,-7.999999999999119,0.42,-14.393692307692133,4.226803728069872,5000
RecentA,GBPAUD,DOWN_SWEEP,71,6.428169014084491,3.9999999999995595,0.5633802816901409,-1.406875000000161,13.875445321871329,5000
RecentB,USDJPY,UP_BREAKOUT,116,4.0017241379310065,3.849999999998488,0.5948275862068966,0.26386929824555516,7.9197379201680445,5000
RecentB,USDJPY,DOWN_BREAKOUT,79,0.8873417721519623,1.4000000000010004,0.5316455696202531,-5.337149834892795,7.672179089026955,5000
RecentB,USDJPY,UP_SWEEP,53,-0.8283018867921178,-3.2000000000010687,0.41509433962264153,-5.000054347825989,3.432955585207914,5000
RecentB,USDJPY,DOWN_SWEEP,56,-2.366071428571916,-2.049999999999841,0.44642857142857145,-7.3172385817314165,2.491082778449777,5000
RecentB,EURJPY,UP_BREAKOUT,135,3.8755555555556604,4.800000000000182,0.6,0.0035326086958120863,7.627075054899252,5000
RecentB,EURJPY,DOWN_BREAKOUT,90,-3.2222222222222916,0.549999999999784,0.5111111111111111,-8.919822843432748,2.311066856329861,5000
RecentB,EURJPY,UP_SWEEP,72,-4.251388888889096,-4.400000000001114,0.4166666666666667,-10.091529220779345,1.5279738165421715,5000
RecentB,EURJPY,DOWN_SWEEP,63,0.8111111111108786,2.2999999999996135,0.5873015873015873,-7.24159110109822,8.335443245778407,5000
RecentB,GBPJPY,UP_BREAKOUT,128,6.736718749999926,11.549999999999727,0.6640625,2.1974547761193217,11.368528648014747,5000
RecentB,GBPJPY,DOWN_BREAKOUT,98,-1.4459183673469405,-2.949999999999875,0.45918367346938777,-8.360202452956795,5.0403050378567205,5000
RecentB,GBPJPY,UP_SWEEP,75,-3.6466666666668743,-5.700000000001637,0.37333333333333335,-9.165311688311682,1.8872960526314915,5000
RecentB,GBPJPY,DOWN_SWEEP,63,8.225396825396851,6.399999999999295,0.6825396825396826,0.0682178792568955,16.61508097808816,5000
RecentB,AUDJPY,UP_BREAKOUT,103,-1.0864077669902634,-0.7999999999995566,0.47572815533980584,-3.8099546807359395,1.6342521647861268,5000
RecentB,AUDJPY,DOWN_BREAKOUT,74,-0.02837837837836025,-0.6999999999997897,0.4864864864864865,-4.73293749999995,4.477362025316423,5000
RecentB,AUDJPY,UP_SWEEP,62,0.19193548387089862,-1.2500000000009948,0.4032258064516129,-2.8396904761906985,3.4718963068181723,5000
RecentB,AUDJPY,DOWN_SWEEP,42,0.23095238095236714,1.3500000000000512,0.5238095238095238,-6.147654798761611,5.90043478260879,5000
RecentB,AUDUSD,UP_BREAKOUT,94,0.9159574468085113,0.6000000000000449,0.5319148936170213,-0.8510102301789764,2.7479376678372134,5000
RecentB,AUDUSD,DOWN_BREAKOUT,81,-0.6172839506172845,-0.9999999999998899,0.4567901234567901,-2.601599350433055,1.3158370786517688,5000
RecentB,AUDUSD,UP_SWEEP,60,1.1150000000000142,1.8500000000004624,0.55,-0.9300833333333826,3.1848763955343116,5000
RecentB,AUDUSD,DOWN_SWEEP,59,-1.5559322033897682,-1.5999999999993797,0.4067796610169492,-3.794394925178912,0.7880804311775215,5000
RecentB,EURAUD,UP_BREAKOUT,88,-1.0681818181818772,0.10000000000065512,0.5,-5.813829084766653,3.3338186813187347,5000
RecentB,EURAUD,DOWN_BREAKOUT,93,-4.619354838709498,-2.0999999999982144,0.45161290322580644,-10.283801546391684,0.7160221163248041,5000
RecentB,EURAUD,UP_SWEEP,55,-2.6527272727270095,-4.100000000000215,0.41818181818181815,-6.547455396966843,1.0037054507341963,5000
RecentB,EURAUD,DOWN_SWEEP,63,2.52539682539684,3.5000000000007248,0.5873015873015873,-2.733858222866694,7.805572755418166,5000
RecentB,GBPAUD,UP_BREAKOUT,81,5.025925925925792,5.60000000000116,0.6172839506172839,1.1179652777778233,8.825606250000074,5000
RecentB,GBPAUD,DOWN_BREAKOUT,100,-4.204000000000163,-6.899999999999684,0.4,-8.885505681818142,0.24116917293229287,5000
RecentB,GBPAUD,UP_SWEEP,60,1.5266666666664908,-0.7999999999996898,0.5,-5.298219246031877,9.083869313113096,5000
RecentB,GBPAUD,DOWN_SWEEP,66,2.2515151515147958,0.0,0.5,-3.157824074074103,8.174371832770122,5000
Monitor2026,USDJPY,UP_BREAKOUT,45,-0.637777777777981,0.7000000000005002,0.5777777777777777,-7.72026086956549,5.145459486165775,5000
Monitor2026,USDJPY,DOWN_BREAKOUT,22,5.981818181817935,-0.3500000000002501,0.5,-2.9359672619051724,17.495760869564975,5000
Monitor2026,USDJPY,UP_SWEEP,13,-2.123076923077222,-2.199999999999136,0.38461538461538464,-8.625000000000353,4.949999999999495,5000
Monitor2026,USDJPY,DOWN_SWEEP,29,-4.724137931034498,-4.099999999999682,0.41379310344827586,-13.115886548913222,1.9029182692304059,5000
Monitor2026,EURJPY,UP_BREAKOUT,43,3.311627906977024,4.400000000001114,0.5348837209302325,-0.27876751427047397,7.075354729729879,5000
Monitor2026,EURJPY,DOWN_BREAKOUT,26,10.70000000000015,7.250000000000512,0.6153846153846154,0.22760000000016886,23.562767241379017,5000
Monitor2026,EURJPY,UP_SWEEP,22,0.9727272727273957,-0.15000000000071623,0.5,-5.547507352941419,6.0268749999999836,5000
Monitor2026,EURJPY,DOWN_SWEEP,21,0.4571428571419271,-1.700000000002433,0.47619047619047616,-7.565517857144157,7.466818181817448,5000
Monitor2026,GBPJPY,UP_BREAKOUT,48,2.4729166666664546,4.250000000000398,0.6666666666666666,-7.550375000000379,11.472036474163831,5000
Monitor2026,GBPJPY,DOWN_BREAKOUT,30,8.223333333332903,6.749999999999545,0.6333333333333333,-6.474560931900027,22.96813988095212,5000
