Period,Pair,Hypothesis,N,Weeks,MeanAlignedPips,MedianAlignedPips,SDAlignedPips,TotalAlignedPips,PositiveRate,NegativeRate,ZeroRate,CILow,CIHigh,RawP,ValidBootstraps,Status
RecentB,USDJPY,BREAKOUT_CONTINUATION,195,93,2.740000000000009,3.499999999999659,24.532480888746303,534.3000000000018,0.5692307692307692,0.4307692307692308,0.0,-0.7132130762717525,6.300576745099259,0.12337532493501299,5000,OK
RecentB,USDJPY,SWEEP_REVERSAL,109,77,-1.6183486238532985,-2.5000000000005684,18.381362164580718,-176.40000000000953,0.43119266055045874,0.5688073394495413,0.0,-4.901557074504464,1.6324007092197244,0.33633273345330933,5000,OK
RecentB,EURJPY,BREAKOUT_CONTINUATION,225,102,1.0364444444444796,2.7000000000015234,26.0981014255037,233.2000000000079,0.5644444444444444,0.4311111111111111,0.0044444444444444444,-2.067692113095176,4.065092248062133,0.4921015796840632,5000,OK
RecentB,EURJPY,SWEEP_REVERSAL,135,81,-1.8888888888891078,-0.10000000000047748,25.987007852279376,-255.00000000002956,0.4962962962962963,0.5037037037037037,0.0,-6.526375471513315,2.8859278107491853,0.4413117376524695,5000,OK
RecentB,GBPJPY,BREAKOUT_CONTINUATION,226,98,3.188495575221196,4.799999999998761,31.708029833921735,720.5999999999904,0.5752212389380531,0.4247787610619469,0.0,-0.3345331613150675,6.577251604621159,0.07218556288742252,5000,OK
RecentB,GBPJPY,SWEEP_REVERSAL,138,80,1.7731884057970004,1.6000000000019554,27.79924259813461,244.69999999998606,0.5144927536231884,0.4782608695652174,0.007246376811594203,-3.4055372148859413,6.834539724980765,0.4861027794441112,5000,OK
RecentB,AUDJPY,BREAKOUT_CONTINUATION,177,93,-0.6440677966101457,-0.7999999999995566,17.123159534674652,-113.9999999999958,0.480225988700565,0.519774011299435,0.0,-3.2029932491288773,1.7428297784548739,0.6166766646670666,5000,OK
RecentB,AUDJPY,SWEEP_REVERSAL,104,70,0.2076923076922609,-0.9499999999995623,15.860316799855722,21.599999999995134,0.4519230769230769,0.5384615384615384,0.009615384615384616,-2.9194262545899066,3.335061403508686,0.885622875424915,5000,OK
RecentB,AUDUSD,BREAKOUT_CONTINUATION,175,90,0.2062857142857144,0.0,8.653164687748633,36.10000000000002,0.49714285714285716,0.49714285714285716,0.005714285714285714,-1.0970647853736373,1.6154027886625029,0.7684463107378524,5000,OK
RecentB,AUDUSD,SWEEP_REVERSAL,119,72,-0.20924369747895355,-0.10000000000065512,8.618771311195355,-24.899999999995472,0.4789915966386555,0.5210084033613446,0.0,-1.7914658323959465,1.422711279633851,0.7866426714657069,5000,OK
