Period,Pair,Event,N,RawOutcomeMeanPips
Monitor2026,GBPJPY,UP_SWEEP,27,7.207407407407505
Monitor2026,GBPJPY,DOWN_SWEEP,26,0.7115384615387982
Monitor2026,GBPJPY,BOTH_SIDES,3,-15.233333333333121
Monitor2026,GBPJPY,NO_BREAK,42,4.892857142857092
Monitor2026,AUDJPY,UP_BREAKOUT,32,2.924999999999933
Monitor2026,AUDJPY,DOWN_BREAKOUT,23,0.7173913043477297
Monitor2026,AUDJPY,UP_SWEEP,20,0.38000000000025125
Monitor2026,AUDJPY,DOWN_SWEEP,14,-10.285714285714372
Monitor2026,AUDJPY,BOTH_SIDES,1,-30.100000000000193
Monitor2026,AUDJPY,NO_BREAK,86,0.6697674418606062
Monitor2026,AUDUSD,UP_BREAKOUT,27,1.1851851851852189
Monitor2026,AUDUSD,DOWN_BREAKOUT,20,0.19500000000005616
Monitor2026,AUDUSD,UP_SWEEP,22,-0.08181818181816247
Monitor2026,AUDUSD,DOWN_SWEEP,20,-0.9949999999999125
Monitor2026,AUDUSD,BOTH_SIDES,0,
Monitor2026,AUDUSD,NO_BREAK,87,0.21034482758619397
Monitor2026,EURAUD,UP_BREAKOUT,23,-3.0434782608693256
Monitor2026,EURAUD,DOWN_BREAKOUT,30,-2.633333333333488
Monitor2026,EURAUD,UP_SWEEP,20,8.314999999999738
Monitor2026,EURAUD,DOWN_SWEEP,21,-6.547619047619119
Monitor2026,EURAUD,BOTH_SIDES,0,
Monitor2026,EURAUD,NO_BREAK,82,0.5304878048780579
Monitor2026,GBPAUD,UP_BREAKOUT,30,-0.6799999999998659
Monitor2026,GBPAUD,DOWN_BREAKOUT,27,-4.040740740740814
Monitor2026,GBPAUD,UP_SWEEP,12,11.15000000000014
Monitor2026,GBPAUD,DOWN_SWEEP,26,8.549999999999905
Monitor2026,GBPAUD,BOTH_SIDES,1,-5.399999999999849
Monitor2026,GBPAUD,NO_BREAK,80,0.3524999999998947
RecentCombined,USDJPY,UP_BREAKOUT,271,1.9520295202952105
RecentCombined,USDJPY,DOWN_BREAKOUT,188,-1.2271276595744616
RecentCombined,USDJPY,UP_SWEEP,119,1.2042016806722389
RecentCombined,USDJPY,DOWN_SWEEP,133,0.02481203007503932
RecentCombined,USDJPY,BOTH_SIDES,11,3.236363636363716
RecentCombined,USDJPY,NO_BREAK,467,0.20770877944322413
RecentCombined,EURJPY,UP_BREAKOUT,322,2.7559006211180863
RecentCombined,EURJPY,DOWN_BREAKOUT,213,-0.6779342723004307
RecentCombined,EURJPY,UP_SWEEP,161,0.22981366459648794
RecentCombined,EURJPY,DOWN_SWEEP,157,3.0923566878978566
RecentCombined,EURJPY,BOTH_SIDES,35,0.8685714285715156
RecentCombined,EURJPY,NO_BREAK,307,-2.4094462540716073
RecentCombined,GBPJPY,UP_BREAKOUT,293,2.1368600682593746
RecentCombined,GBPJPY,DOWN_BREAKOUT,247,1.4708502024292114
RecentCombined,GBPJPY,UP_SWEEP,176,4.3823863636363765
RecentCombined,GBPJPY,DOWN_SWEEP,150,2.998000000000085
RecentCombined,GBPJPY,BOTH_SIDES,34,-6.458823529411425
RecentCombined,GBPJPY,NO_BREAK,295,2.0067796610167714
RecentCombined,AUDJPY,UP_BREAKOUT,236,-0.19618644067792135
RecentCombined,AUDJPY,DOWN_BREAKOUT,187,0.3459893048127992
