Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR
Long,robustness,FULL,6,6_GJ_Old_Mon,NEUTRAL_MIXED,99,7.706,0.07783838383838383838383838384,1.198977483990910968808097501,0.4747474747474747474747474747,0.9879574468085106382978723404,-0.7447692307692307692307692308,,True,0.0523357843137254901960784314
Long,robustness,FULL,7,7_GJ_Mon_Blitz,JPY_WEAK_TREND,244,7.124615386,0.02919924338524590163934426230,1.252542603989643327946003481,0.5491803278688524590163934426,0.2637026406641791044776119403,-0.2564685314818181818181818182,,True,-0.07105185263029813981143293980
Long,robustness,FULL,7,7_GJ_Mon_Blitz,JPY_STRONG_TREND,193,19.348461531,0.1002510960155440414507772021,2.013620793348984540880449366,0.6010362694300518134715025907,0.3313527851034482758620689655,-0.2479020979350649350649350649,,True,-0.07105185263029813981143293980
Long,robustness,FULL,7,7_GJ_Mon_Blitz,NEUTRAL_MIXED,116,1.863846150,0.01606763922413793103448275862,1.121563314991796913909260225,0.5172413793103448275862068966,0.2866025641,-0.2737912088571428571428571429,,True,-0.07105185263029813981143293980
Long,robustness,FULL,8,8_AJ_Core1,JPY_WEAK_TREND,244,18.438571428,0.07556791568852459016393442623,1.348273070704170160318627640,0.5819672131147540983606557377,0.5026861166760563380281690141,-0.5190476190196078431372549020,,True,-0.04490336558982592529998309957
Long,robustness,FULL,8,8_AJ_Core1,JPY_STRONG_TREND,194,23.371428568,0.1204712812783505154639175258,1.637195715541062016887251979,0.5618556701030927835051546392,0.5509174311834862385321100917,-0.4315126050705882352941176471,,True,-0.04490336558982592529998309957
Long,robustness,FULL,8,8_AJ_Core1,NEUTRAL_MIXED,115,12.092857141,0.1051552794869565217391304348,1.551429874240896477358950887,0.5565217391304347826086956522,0.531607142796875,-0.4299999999607843137254901961,,True,-0.04490336558982592529998309957
Long,robustness,FULL,13,13_UJ_Fix_MidWeek,JPY_WEAK_TREND,95,7.355789470,0.07742936284210526315789473684,2.019401895729503665986596706,0.6210526315789473684210526316,0.2469759143220338983050847458,-0.2004385965277777777777777778,,True,-0.00781917513011695906432748538
Long,robustness,FULL,13,13_UJ_Fix_MidWeek,JPY_STRONG_TREND,72,6.137894734,0.08524853797222222222222222222,2.990102387715506296240587340,0.6527777777777777777777777778,0.1962150055531914893617021277,-0.12336842108,,True,-0.00781917513011695906432748538
Long,robustness,FULL,13,13_UJ_Fix_MidWeek,NEUTRAL_MIXED,43,3.400000002,0.07906976748837209302325581395,1.921277809958854660013756152,0.5348837209302325581395348837,0.3082837529565217391304347826,-0.1845263158,,True,-0.00781917513011695906432748538
Long,robustness,FULL,16,16_UJ_T10A,JPY_WEAK_TREND,24,3.288888890,0.1370370370833333333333333333,1.957928803005624155631613996,0.6666666666666666666666666667,0.4201388889375,-0.429166666625,,False,0.07246913580555555555555555552
Long,robustness,FULL,16,16_UJ_T10A,JPY_STRONG_TREND,18,1.162222223,0.06456790127777777777777777778,1.308372641706710712213835179,0.6111111111111111111111111111,0.4482828283636363636363636364,-0.5384126984285714285714285714,LOW_SAMPLE,False,0.07246913580555555555555555552
Long,robustness,FULL,16,16_UJ_T10A,NEUTRAL_MIXED,13,7.851111109,0.6039316237692307692307692308,14.74708171104028827063040628,0.7692307692307692307692307692,0.842222222,-0.1903703703333333333333333333,LOW_SAMPLE,False,0.07246913580555555555555555552
Long,robustness,FULL,26,26_AJ_China_Demand,JPY_WEAK_TREND,220,16.522222224,0.07510101010909090909090909091,1.419369394840966524669906550,0.5727272727272727272727272727,0.4438095238095238095238095238,-0.4191252954893617021276595745,,True,-0.1063804713709090909090909091
Long,robustness,FULL,26,26_AJ_China_Demand,JPY_STRONG_TREND,150,27.222222222,0.18148148148,1.979451507124503441901547051,0.6066666666666666666666666667,0.6045665445714285714285714286,-0.4710734463389830508474576271,,True,-0.1063804713709090909090909091
Long,robustness,FULL,26,26_AJ_China_Demand,NEUTRAL_MIXED,111,12.151111112,0.1094694694774774774774774775,1.534924672304149390093833900,0.5945945945945945945945945946,0.5282828283030303030303030303,-0.5162626262727272727272727273,,True,-0.1063804713709090909090909091
Short,robustness,FULL,5,5_GJ_Port_Log2,JPY_WEAK_TREND,518,54.041111108,0.1043264693204633204633204633,1.382730427506997434330214278,0.5057915057915057915057915058,0.7451908396832061068702290076,-0.55155815972265625,,True,0.03252161877985418340748289985
Short,robustness,FULL,5,5_GJ_Port_Log2,JPY_STRONG_TREND,394,28.291111113,0.07180485054060913705583756345,1.218631129745823297751454138,0.4898477157360406091370558376,0.8170581462487046632124352332,-0.647005555565,,True,0.03252161877985418340748289985
Short,robustness,FULL,5,5_GJ_Port_Log2,NEUTRAL_MIXED,267,15.610000002,0.05846441948314606741573033708,1.187605159868500962742316329,0.5131086142322097378277153558,0.7212895377226277372262773723,-0.6400512820461538461538461538,,True,0.03252161877985418340748289985
