Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR
Long,primary,FULL,8,8_AJ_Core1,JPY_STRONG,258,29.285714282,0.1135105204728682170542635659,1.587931627772307770703541267,0.5620155038759689922480620155,0.5454975369241379310344827586,-0.4408091024070796460176991150,,True,-0.02920643228315760612178768166
Long,primary,FULL,8,8_AJ_Core1,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.02920643228315760612178768166
Long,primary,FULL,13,13_UJ_Fix_MidWeek,JPY_WEAK,116,10.442105259,0.09001814878448275862068965517,2.217476680662882115476956862,0.6206896551724137931034482759,0.26415204675,-0.1949282297045454545454545455,,True,0.01749289625923023336816440264
Long,primary,FULL,13,13_UJ_Fix_MidWeek,JPY_STRONG,99,7.180000000,0.07252525252525252525252525253,2.321643092411144709432172595,0.6161616161616161616161616162,0.2067644521147540983606557377,-0.1429639889210526315789473684,,True,0.01749289625923023336816440264
Long,primary,FULL,13,13_UJ_Fix_MidWeek,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.01749289625923023336816440264
Long,primary,FULL,16,16_UJ_T10A,JPY_WEAK,29,3.308888889,0.1140996168620689655172413793,1.720019342470988798654616634,0.6206896551724137931034482759,0.4391358024444444444444444444,-0.4177777777272727272727272727,,True,-0.1946305418522167487684729064
Long,primary,FULL,16,16_UJ_T10A,JPY_STRONG,28,8.644444444,0.3087301587142857142857142857,3.069148935953768673619480390,0.7142857142857142857142857143,0.6411111111,-0.52222222225,,True,-0.1946305418522167487684729064
Long,primary,FULL,16,16_UJ_T10A,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.1946305418522167487684729064
Long,primary,FULL,26,26_AJ_China_Demand,JPY_WEAK,269,31.315555559,0.1164147046802973977695167286,1.697106109420401106118289419,0.5947955390334572490706319703,0.476486111125,-0.4159465020462962962962962963,,True,-0.0064297397597026022304832714
Long,primary,FULL,26,26_AJ_China_Demand,JPY_STRONG,225,27.639999999,0.12284444444,1.562754501829583254892502188,0.5822222222222222222222222222,0.5859202714122137404580152672,-0.5225059101702127659574468085,,True,-0.0064297397597026022304832714
Long,primary,FULL,26,26_AJ_China_Demand,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.0064297397597026022304832714
Short,primary,FULL,5,5_GJ_Port_Log2,JPY_WEAK,660,60.970000004,0.09237878788484848484848484848,1.329016243079094753274174541,0.5030303030303030303030303030,0.7418072289186746987951807229,-0.5649695121859756097560975610,,True,0.01406864471424957377770444921
Short,primary,FULL,5,5_GJ_Port_Log2,JPY_STRONG,551,43.148888887,0.07831014317059891107078039927,1.241814762677192821038311937,0.5027223230490018148820326679,0.7999518652310469314079422383,-0.6536182336336996336996336996,,True,0.01406864471424957377770444921
Short,primary,FULL,5,5_GJ_Port_Log2,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.01406864471424957377770444921
Short,primary,FULL,9,9_AJ_Core2,JPY_WEAK,172,31.356666669,0.1823062015639534883720930233,1.514437274458681161951540420,0.5406976744186046511627906977,0.9925806451827956989247311828,-0.7715611814303797468354430380,,True,-0.0288484825602295181638546891
Short,primary,FULL,9,9_AJ_Core2,JPY_STRONG,153,32.306666671,0.2111546841241830065359477124,1.544524973395323191865756332,0.5163398692810457516339869281,1.159957805949367088607594937,-0.8017567567432432432432432432,,True,-0.0288484825602295181638546891
Short,primary,FULL,9,9_AJ_Core2,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.0288484825602295181638546891
Short,primary,FULL,10,10_AJ_SatA,JPY_WEAK,215,1.694,0.007879069767441860465116279070,1.065214043732676316599938405,0.4883720930232558139534883721,0.2635238095238095238095238095,-0.2405185185185185185185185185,,True,0.009959069767441860465116279070
Short,primary,FULL,10,10_AJ_SatA,JPY_STRONG,175,-0.364,-0.00208,0.9822473663675380413577838471,0.44,0.2615584415584415584415584416,-0.2092244897959183673469387755,,True,0.009959069767441860465116279070
Short,primary,FULL,10,10_AJ_SatA,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.009959069767441860465116279070
Short,primary,FULL,11,11_AJ_SatB,JPY_WEAK,215,14.125454539,0.06569978855348837209302325581,1.295556569875806210940875577,0.4976744186046511627906976744,0.5786745964112149532710280374,-0.4425252525648148148148148148,,True,0.03237334231485200845665961945
Short,primary,FULL,11,11_AJ_SatB,JPY_STRONG,176,5.865454538,0.03332644623863636363636363636,1.162428880496175168364312264,0.4829545454545454545454545455,0.4938395721529411764705882353,-0.3968231768681318681318681319,,True,0.03237334231485200845665961945
Short,primary,FULL,11,11_AJ_SatB,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.03237334231485200845665961945
Short,primary,FULL,12,12_UJ_Short_Core,JPY_WEAK,300,76.089,0.25363,2.288988649839064882263255972,0.5833333333333333333333333333,0.7721085714285714285714285714,-0.4799186991869918699186991870,,True,0.0186885585585585585585585586
Short,primary,FULL,12,12_UJ_Short_Core,JPY_STRONG,222,52.157,0.2349414414414414414414414414,2.160024020283795204839642365,0.5855855855855855855855855856,0.7470692307692307692307692308,-0.4940879120879120879120879121,,True,0.0186885585585585585585585586
Short,primary,FULL,12,12_UJ_Short_Core,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.0186885585585585585585585586
Short,primary,FULL,14,14_UJ_Sat_3rd,JPY_WEAK,42,19.313333340,0.459841270,4.017708334846516927319768270,0.6904761904761904761904761905,0.8866666668620689655172413793,-0.4923076922307692307692307692,,True,0.1858949097931034482758620690
Short,primary,FULL,14,14_UJ_Sat_3rd,JPY_STRONG,29,7.944444446,0.2739463602068965517241379310,2.398122800238817762970830576,0.6551724137931034482758620690,0.7171929825789473684210526316,-0.5682222223,,True,0.1858949097931034482758620690
Short,primary,FULL,14,14_UJ_Sat_3rd,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,0.1858949097931034482758620690
Short,primary,FULL,15,15_UJ_Sat_Aug,JPY_WEAK,36,4.850,0.1347222222222222222222222222,1.313611380536695764629809247,0.5,1.128611111111111111111111111,-0.8591666666666666666666666667,,True,-0.4307189542483660130718954249
Short,primary,FULL,15,15_UJ_Sat_Aug,JPY_STRONG,34,19.225,0.5654411764705882352941176471,2.523979389615537059056678557,0.5882352941176470588235294118,1.592,-0.9010714285714285714285714286,,True,-0.4307189542483660130718954249
Short,primary,FULL,15,15_UJ_Sat_Aug,NEUTRAL_ZERO,0,0,,,,,,LOW_SAMPLE,True,-0.4307189542483660130718954249
