Group,Method,Period,StrategyNo,Strategy,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,Flag,EligiblePair,WeakMinusStrongAvgR,Aggregation,EligibleStrategies,EligibleIDs
Long,primary,Historical,,,JPY_WEAK,1559,97.857772394,0.06276957818729955099422706863,1.326393471601842129534070458,0.5612572161642078255291853752,0.4544835665874285714285714286,-0.4396119477565982404692082111,,,-0.00642757759760424772308916225,trade_weighted,,
Long,primary,Historical,,,JPY_STRONG,2027,140.262634776,0.06919715578490379871731623088,1.356405255634122789733057540,0.5441539220522940305870744943,0.4839626482030825022665457842,-0.4277697458608695652173913043,,,-0.00642757759760424772308916225,trade_weighted,,
Long,primary,Historical,,,NEUTRAL_ZERO,0,0,,,,,,,,-0.00642757759760424772308916225,trade_weighted,,
Long,primary,Historical,,,JPY_WEAK,,,0.05995463710155500512398392241,,,,,,,-0.01142815823115968578758226185,strategy_equal_weighted,9,1|2|3|4|6|7|8|13|26
Long,primary,Historical,,,JPY_STRONG,,,0.07138279533271469091156618426,,,,,,,-0.01142815823115968578758226185,strategy_equal_weighted,9,1|2|3|4|6|7|8|13|26
Long,robustness,Historical,1,1_EJ_Log1,JPY_WEAK_TREND,139,-6.135714286,-0.04414182939568345323741007194,0.8432195656120132283609851467,0.5323741007194244604316546763,0.4459459459594594594594594595,-0.6020879121076923076923076923,,True,-0.2485717744437603763143331488,,,
Long,robustness,Historical,1,1_EJ_Log1,JPY_STRONG_TREND,208,42.521428570,0.2044299450480769230769230769,2.106012187797435680402136886,0.6009615384615384615384615385,0.647737142856,-0.4632013769518072289156626506,,True,-0.2485717744437603763143331488,,,
Long,robustness,Historical,1,1_EJ_Log1,NEUTRAL_MIXED,115,7.597142856,0.06606211179130434782608695652,1.255660785481031813048908663,0.5565217391304347826086956522,0.583013392875,-0.5826610644705882352941176471,,True,-0.2485717744437603763143331488,,,
Long,robustness,Historical,2,2_EJ_NightBlitz_20,JPY_WEAK_TREND,170,-3.604444439,-0.02120261434705882352941176471,0.9275763530311757377873018455,0.5235294117647058823529411765,0.5187016230449438202247191011,-0.622111111125,,True,-0.1333604865285260049965932319,,,
Long,robustness,Historical,2,2_EJ_NightBlitz_20,JPY_STRONG_TREND,259,29.048888895,0.1121578721814671814671814672,1.474586116849865921491978908,0.5559845559845559845559845560,0.6267901235069444444444444444,-0.5369200779824561403508771930,,True,-0.1333604865285260049965932319,,,
Long,robustness,Historical,2,2_EJ_NightBlitz_20,NEUTRAL_MIXED,132,19.220000003,0.1456060606287878787878787879,1.543313022252738073720048520,0.6060606060606060606060606061,0.6824444444875,-0.6802991453076923076923076923,,True,-0.1333604865285260049965932319,,,
Long,robustness,Historical,3,3_EJ_NightBlitz_21,JPY_WEAK_TREND,170,-5.301333336,-0.03118431374117647058823529412,0.8252845277401065896065005597,0.5117647058823529411764705882,0.2878314175747126436781609195,-0.3700325203048780487804878049,,True,-0.08654865481094391244870041040,,,
Long,robustness,Historical,3,3_EJ_NightBlitz_21,JPY_STRONG_TREND,258,14.283999996,0.05536434106976744186046511628,1.415216464341730143001156440,0.5310077519379844961240310078,0.3553673965766423357664233577,-0.2866777777916666666666666667,,True,-0.08654865481094391244870041040,,,
Long,robustness,Historical,3,3_EJ_NightBlitz_21,NEUTRAL_MIXED,132,12.530666667,0.09492929293181818181818181818,1.618615060635724235844759502,0.5984848484848484848484848485,0.4150210970253164556962025316,-0.3821886792075471698113207547,,True,-0.08654865481094391244870041040,,,
