Pair,Method,Period,TokyoDirection,N,CalendarWeeks,Mean,Median,Std,PositiveRate,NegativeRate,ZeroRate,TotalAlignedPips,CILow,CIHigh,PUnadjusted,ValidBootstraps,Status
EURAUD,Robustness,RecentB,UP,43,38,-3.4604651162792255,-4.199999999998649,34.60349651707314,0.3953488372093023,0.6046511627906976,0.0,-148.8000000000067,-13.877818627451152,7.35034909909885,0.5308938212357528,5000,OK
EURAUD,Robustness,RecentB,DOWN,47,37,5.904255319149065,-1.0999999999983245,49.829147038074645,0.46808510638297873,0.5319148936170213,0.0,277.5000000000061,-7.054880952380799,19.4347798742139,0.3697260547890422,5000,OK
USDJPY,Primary,RecentB,UP,55,47,5.230909090909057,5.299999999999727,36.738141814373805,0.6,0.4,0.0,287.6999999999981,-4.4234416208791805,14.96600094339606,0.28834233153369326,5000,OK
USDJPY,Primary,RecentB,DOWN,58,40,-2.870689655172057,-7.149999999998613,45.115236499749386,0.46551724137931033,0.5344827586206896,0.0,-166.4999999999793,-14.785085451977181,9.351496734398236,0.6264747050589882,5000,OK
USDJPY,Robustness,RecentB,UP,47,42,11.50212765957454,6.499999999999773,34.440140189090584,0.6382978723404256,0.3617021276595745,0.0,540.6000000000034,1.8246452702703932,20.74155092592606,0.019596080783843232,5000,OK
USDJPY,Robustness,RecentB,DOWN,55,43,-5.359999999999911,-14.700000000001978,42.39387447017082,0.45454545454545453,0.5454545454545454,0.0,-294.79999999999507,-16.892248076923234,6.854402173913183,0.3705258948210358,5000,OK
EURAUD,Primary,Monitor2026,UP,16,13,5.431250000000194,4.449999999999177,21.91102367150666,0.5625,0.4375,0.0,86.9000000000031,-4.161750000000116,15.80012500000026,0.27854429114177165,5000,INSUFFICIENT_SAMPLE
EURAUD,Primary,Monitor2026,DOWN,13,10,-0.8615384615386404,-7.500000000000284,29.90433464849551,0.38461538461538464,0.6153846153846154,0.0,-11.200000000002326,-12.542591093117535,9.931857638888703,0.8840231953609278,5000,INSUFFICIENT_SAMPLE
EURAUD,Robustness,Monitor2026,UP,10,9,3.6200000000001786,-1.1499999999997623,23.66003663000791,0.5,0.5,0.0,36.200000000001786,-9.718227272727344,14.858660714285728,0.5396920615876825,5000,INSUFFICIENT_SAMPLE
EURAUD,Robustness,Monitor2026,DOWN,15,10,3.0199999999999476,0.5999999999994898,30.353893607621877,0.5333333333333333,0.4666666666666667,0.0,45.299999999999216,-6.6718095238096184,13.100454545454362,0.5312937412517497,5000,INSUFFICIENT_SAMPLE
USDJPY,Primary,Monitor2026,UP,10,10,-6.4500000000003865,5.5499999999995,49.24765645862376,0.6,0.4,0.0,-64.50000000000387,-40.94372222222272,19.589416666666413,0.6650669866026795,5000,INSUFFICIENT_SAMPLE
USDJPY,Primary,Monitor2026,DOWN,13,9,20.838461538461345,9.000000000000341,50.324853675256,0.5384615384615384,0.46153846153846156,0.0,270.8999999999975,-0.1716806722687489,42.600624999999184,0.05618876224755049,5000,INSUFFICIENT_SAMPLE
USDJPY,Robustness,Monitor2026,UP,10,10,14.489999999999554,17.449999999999477,21.37867317367212,0.8,0.2,0.0,144.89999999999554,0.7741964285701797,27.560285714285428,0.03539292141571686,5000,INSUFFICIENT_SAMPLE
USDJPY,Robustness,Monitor2026,DOWN,14,10,4.100000000000291,-14.449999999999363,45.58667146639054,0.42857142857142855,0.5714285714285714,0.0,57.40000000000407,-19.125874999999667,22.425056818182316,0.6682663467306539,5000,INSUFFICIENT_SAMPLE
EURAUD,Primary,RecentCombined,UP,124,100,-0.6225806451613758,2.0999999999993246,37.262238866158334,0.5080645161290323,0.49193548387096775,0.0,-77.2000000000106,-6.952807539682553,5.784537517531411,0.8460307938412317,5000,OK
EURAUD,Primary,RecentCombined,DOWN,119,96,5.914285714285798,1.80000000000069,39.17578438684345,0.5126050420168067,0.48739495798319327,0.0,703.80000000001,-0.20587486744440162,12.25908098360657,0.0631873625274945,5000,OK
EURAUD,Robustness,RecentCombined,UP,107,94,-1.5719626168225385,-0.10000000000065512,37.799724952559465,0.4953271028037383,0.5046728971962616,0.0,-168.2000000000116,-8.533847311396611,5.476286228622749,0.6680663867226555,5000,OK
EURAUD,Robustness,RecentCombined,DOWN,129,102,3.4790697674418976,0.5999999999994898,41.46865283413364,0.5038759689922481,0.49612403100775193,0.0,448.8000000000048,-3.2121094808891324,10.578800919026445,0.3131373725254949,5000,OK
USDJPY,Primary,RecentCombined,UP,141,113,1.470212765957563,4.200000000000159,41.0165833094733,0.574468085106383,0.425531914893617,0.0,207.30000000001638,-4.979167765481249,7.658735774647952,0.6384723055388922,5000,OK
USDJPY,Primary,RecentCombined,DOWN,129,92,3.2930232558140453,3.0000000000001137,43.13511147046879,0.5426356589147286,0.4573643410852713,0.0,424.80000000001183,-3.938471231043601,10.379710184438894,0.3697260547890422,5000,OK
USDJPY,Robustness,RecentCombined,UP,134,108,1.861940298507519,1.999999999999602,41.567220303091254,0.5447761194029851,0.4552238805970149,0.0,249.50000000000756,-4.917158136519676,8.652171402502622,0.5756848630273945,5000,OK
USDJPY,Robustness,RecentCombined,DOWN,132,94,1.0181818181818352,1.7499999999998295,41.69322865589755,0.5227272727272727,0.4772727272727273,0.0,134.40000000000225,-6.034395161290161,8.152557797393984,0.7744451109778044,5000,OK
EURAUD,Primary,ALL,UP,262,206,-1.4465648854961766,-0.10000000000065512,46.01529447172453,0.49236641221374045,0.5076335877862596,0.0,-378.99999999999824,-7.270694764862506,4.0900272126838,0.6144771045790842,5000,OK
EURAUD,Primary,ALL,DOWN,263,205,5.55665399239541,4.699999999999704,37.99849664842179,0.532319391634981,0.467680608365019,0.0,1461.3999999999928,0.9359969299700814,9.964289534347655,0.017196560687862426,5000,OK
EURAUD,Robustness,ALL,UP,255,211,2.7054901960784363,2.6999999999999247,44.28124824479351,0.5254901960784314,0.4745098039215686,0.0,689.9000000000012,-2.2702709755936747,8.143685368630356,0.30713857228554287,5000,OK
EURAUD,Robustness,ALL,DOWN,269,209,4.521561338289926,2.4000000000001798,42.293648959734305,0.5204460966542751,0.4795539033457249,0.0,1216.2999999999902,-0.6312309988797633,9.899207093253953,0.09438112377524495,5000,OK
USDJPY,Primary,ALL,UP,271,221,0.24612546125469179,0.7000000000005002,33.986550358968685,0.5202952029520295,0.47601476014760147,0.0036900369003690036,66.70000000002148,-3.943470588235136,4.27894463869474,0.9072185562887423,5000,OK
USDJPY,Primary,ALL,DOWN,293,211,1.386689419795305,-0.30000000000001137,34.019077951753125,0.49829351535836175,0.5017064846416383,0.0,406.3000000000244,-2.3991812992248454,5.090612980769323,0.46750649870025995,5000,OK
USDJPY,Robustness,ALL,UP,276,222,-0.11956521739126275,-0.10000000000047748,33.55202063270625,0.4963768115942029,0.5,0.0036231884057971015,-32.99999999998852,-3.999403958916177,3.7330960344004023,0.9482103579284143,5000,OK
USDJPY,Robustness,ALL,DOWN,278,205,0.9845323741007584,0.0499999999995282,34.00486286572851,0.5,0.5,0.0,273.70000000001085,-2.908288262113412,4.887413422873921,0.6186762647470506,5000,OK
