Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,PipSize,SpreadPips,SpreadPrice,CumPips,MaxCumPips,Drawdown,PrevDayRangePips,Range24hPips,DayToEntryRangePips,H1_ATR14_Pips,EntryDate,Group,H1_ATR_P70_Threshold,FilterDecision,ATR_to_Threshold_Ratio,TradingWeekStart,Dataset,WeekStartBalance,RiskAmountYen,RMultiple,YenPnL,Equity,PeakEquity,DrawdownYen,DrawdownPct
18_EA_2_MonWed_Short,EA,Short,2015-04-20 09:59:00,2015-04-20 23:11:00,-90.0,SL,9,59,90,180,0.0001,1.5,0.00015,1991.300000000002,2950.1000000000013,958.7999999999992,45.1,59.4,59.4,32.814,2015-04-20,EA_Rev4,27.414,Rejected,1.1969796454366382,2015-04-20 06:00:00,Rejected_H1_ATR_P70,792041.8455890884,15840.836911781767,-1.0,-15840.836911781767,775590.004967852,969379.7405225494,193789.73555469734,19.99110642133226
2_EJ_NightBlitz_20,EJ,Long,2015-04-20 20:56:00,2015-04-21 01:28:00,70.0,TP,20,56,45,70,0.01,1.0,0.01,2061.300000000002,2950.1000000000013,888.7999999999993,46.0,113.8,113.8,25.164,2015-04-20,CrossJPY_16,23.232,Rejected,1.0831611570247934,2015-04-20 06:00:00,Rejected_H1_ATR_P70,792041.8455890884,15840.836911781767,1.5555555555555556,24641.301862771637,800231.3068306237,969379.7405225494,169148.43369192572,17.449140581455243
3_EJ_NightBlitz_21,EJ,Long,2015-04-20 21:56:00,2015-04-21 05:27:00,21.4,TimeExit,21,56,75,70,0.01,1.0,0.01,2076.800000000002,2950.1000000000013,873.2999999999993,46.0,115.8,115.8,25.186,2015-04-20,CrossJPY_16,23.232,Rejected,1.0841081267217632,2015-04-20 06:00:00,Rejected_H1_ATR_P70,792041.8455890884,15840.836911781767,0.2853333333333333,4519.9187988283975,804751.225629452,969379.7405225494,164628.51489309734,16.982871418826377
19_EA_3_WedThu_Long,EA,Long,2015-04-23 20:56:00,2015-04-24 10:00:00,-24.6,TimeExit,20,56,90,999,0.0001,1.5,0.00015,2020.5000000000016,2950.1000000000013,929.5999999999996,157.1,153.6,137.6,30.171,2015-04-23,EA_Rev4,27.414,Rejected,1.100569052309039,2015-04-20 06:00:00,Rejected_H1_ATR_P70,792041.8455890884,15840.836911781767,-0.2733333333333334,-4329.828755887017,800421.396873565,969379.7405225494,168958.34364898433,17.429531130690478
24_GA_D_1,GA,Long,2015-04-24 22:44:00,2015-04-25 03:08:00,-3.9,TimeExit,22,44,90,200,0.0001,2.0,0.0002,1964.300000000002,2950.1000000000013,985.7999999999992,126.4,138.5,138.5,37.05,2015-04-24,GA,33.129,Rejected,1.1183555193335144,2015-04-20 06:00:00,Rejected_H1_ATR_P70,792041.8455890884,15840.836911781767,-0.043333333333333335,-686.43626617721,799734.9606073878,969379.7405225494,169644.77991516155,17.50034303622991
25_AU_China_Demand,AU,Long,2015-04-27 10:00:00,2015-04-27 15:50:00,-18.1,TimeExit,10,0,40,40,0.0001,1.5,0.00015,1940.200000000002,2950.1000000000013,1009.8999999999992,28.3,19.8,19.8,16.293,2015-04-27,China_Demand,15.267,Rejected,1.0672037728433876,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,-0.4525,-7237.601393496861,792497.359213891,969379.7405225494,176882.3813086584,18.24696493175203
20_EA_1A_MonTue_Short,EA,Short,2015-04-27 10:01:00,2015-04-27 16:00:00,-30.2,TimeExit,10,1,50,125,0.0001,1.5,0.00015,1910.000000000002,2950.1000000000013,1040.0999999999992,38.4,26.7,26.7,27.486,2015-04-27,EA_Rev4,27.414,Rejected,1.0026263952724885,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,-0.604,-9660.798324137246,782836.5608897537,969379.7405225494,186543.17963279563,19.24356078787437
18_EA_2_MonWed_Short,EA,Short,2015-04-27 09:59:00,2015-04-28 05:26:00,19.3,TimeExit,9,59,90,180,0.0001,1.5,0.00015,2116.8000000000025,2950.1000000000013,833.2999999999988,38.4,26.7,26.7,29.443,2015-04-27,EA_Rev4,27.414,Rejected,1.074013277887211,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,0.21444444444444447,3429.97438660502,786266.5352763587,969379.7405225494,183113.20524619066,18.889728925785317
25_AU_China_Demand,AU,Long,2015-04-30 10:00:00,2015-04-30 14:39:00,-40.0,SL,10,0,40,40,0.0001,1.5,0.00015,2333.0000000000027,2950.1000000000013,617.0999999999985,99.2,99.2,93.1,25.914,2015-04-30,China_Demand,15.267,Rejected,1.6973865199449796,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,-1.0,-15994.69921214776,770271.8360642111,969379.7405225494,199107.90445833828,20.539722065060705
22_GA_C_2,GA,Long,2015-04-30 16:56:00,2015-04-30 19:36:00,80.0,TP,16,56,70,80,0.0001,2.0,0.0002,2413.0000000000027,2950.1000000000013,537.0999999999985,174.2,320.6,286.9,45.636,2015-04-30,GA,33.129,Rejected,1.3775242234899938,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,1.1428571428571428,18279.65624245458,788551.4923066656,969379.7405225494,180828.24821588374,18.654015620174537
23_GA_F_2,GA,Short,2015-05-01 19:42:00,2015-05-01 22:45:00,77.1,TimeExit,19,42,90,200,0.0001,2.0,0.0002,2486.5000000000027,2950.1000000000013,463.59999999999854,343.6,152.8,152.8,44.021,2015-05-01,GA,33.129,Rejected,1.3287753931600714,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,0.8566666666666666,13702.12565840658,802253.6179650722,969379.7405225494,167126.1225574772,17.24052149752861
5_GJ_Port_Log2,GJ,Short,2015-05-01 09:55:00,2015-05-01 23:55:00,112.8,TimeExit,9,55,90,999,0.01,2.0,0.02,2599.300000000003,2950.1000000000013,350.7999999999984,157.3,157.3,103.5,33.9,2015-05-01,CrossJPY_16,31.189,Rejected,1.0869216711019911,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,1.2533333333333334,20046.689679225194,822300.3076442974,969379.7405225494,147079.432878252,15.172530096303442
24_GA_D_1,GA,Long,2015-05-01 22:44:00,2015-05-02 03:08:00,11.2,TimeExit,22,44,90,200,0.0001,2.0,0.0002,2642.600000000002,2950.1000000000013,307.49999999999864,343.6,200.4,200.4,47.014,2015-05-01,GA,33.129,Rejected,1.419119200700293,2015-04-27 06:00:00,Rejected_H1_ATR_P70,799734.9606073879,15994.69921214776,0.12444444444444444,1990.4514575117212,824290.7591018092,969379.7405225494,145088.98142074014,14.967197616749154
20_EA_1A_MonTue_Short,EA,Short,2015-05-04 10:01:00,2015-05-04 16:00:00,35.8,TimeExit,10,1,50,125,0.0001,1.5,0.00015,2678.400000000003,2950.1000000000013,271.69999999999845,71.0,68.7,68.7,32.414,2015-05-04,EA_Rev4,27.414,Rejected,1.1823885605894797,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,0.716,11803.843670337905,836094.6027721472,969379.7405225494,133285.1377504022,13.749527886621
1_EJ_Log1,EJ,Long,2015-05-04 13:55:00,2015-05-04 18:45:00,-70.0,SL,13,55,70,250,0.01,1.0,0.01,2608.400000000003,2950.1000000000013,341.69999999999845,44.0,37.0,37.0,25.071,2015-05-04,CrossJPY_16,23.232,Rejected,1.0791580578512399,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,-1.0,-16485.81518203618,819608.7875901109,969379.7405225494,149770.95293243846,15.450183934286024
8_AJ_Core1,AJ,Long,2015-05-04 08:01:00,2015-05-04 22:46:00,0.8,TimeExit,8,1,70,110,0.01,1.5,0.015,2609.200000000003,2950.1000000000013,340.8999999999983,40.7,20.2,20.2,22.021,2015-05-04,CrossJPY_16,19.679,Rejected,1.1190101123024545,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,0.011428571428571429,188.4093163661278,819797.196906477,969379.7405225494,149582.5436160724,15.430747865169858
18_EA_2_MonWed_Short,EA,Short,2015-05-04 09:59:00,2015-05-05 05:26:00,95.7,TimeExit,9,59,90,180,0.0001,1.5,0.00015,2652.7000000000025,2950.1000000000013,297.3999999999987,71.0,65.0,65.0,33.221,2015-05-04,EA_Rev4,27.414,Rejected,1.2118260742686218,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,1.0633333333333335,17529.916810231807,837327.1137167088,969379.7405225494,132052.62680584053,13.622383601152718
21_GA_B_3,GA,Long,2015-05-04 21:02:00,2015-05-05 10:00:00,22.5,TimeExit,21,2,220,100,0.0001,2.0,0.0002,2647.100000000002,2950.1000000000013,302.99999999999864,81.7,150.5,150.5,38.414,2015-05-04,GA,33.129,Rejected,1.1595279060641734,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,0.10227272727272728,1686.0492799809733,839013.1629966898,969379.7405225494,130366.57752585958,13.448452869005163
4_GJ_Port_Log1,GJ,Long,2015-05-06 00:00:00,2015-05-06 08:55:00,-34.2,TimeExit,0,0,130,90,0.01,2.0,0.02,2522.900000000003,2950.1000000000013,427.19999999999845,137.2,137.2,,32.179,2015-05-06,CrossJPY_16,31.189,Rejected,1.0317419603065183,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,-0.2630769230769231,-4337.0375325049035,834676.1254641849,969379.7405225494,134703.61505836446,13.895856229237033
17_EA_1B_Wed_Short,EA,Short,2015-05-06 09:59:00,2015-05-06 20:58:00,50.4,TimeExit,9,59,70,175,0.0001,1.5,0.00015,2573.300000000003,2950.1000000000013,376.7999999999984,219.5,219.5,53.0,27.571,2015-05-06,EA_Rev4,27.414,Rejected,1.0057270008025097,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,0.72,11869.78693106605,846545.912395251,969379.7405225494,122833.82812729839,12.671383874918218
3_EJ_NightBlitz_21,EJ,Long,2015-05-06 21:56:00,2015-05-06 23:33:00,70.0,TP,21,56,75,70,0.01,1.0,0.01,2713.300000000003,2950.1000000000013,236.7999999999984,137.7,110.0,104.2,23.379,2015-05-06,CrossJPY_16,23.232,Rejected,1.006327479338843,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,0.9333333333333333,15386.760836567104,861932.6732318181,969379.7405225494,107447.06729073124,11.08410489709753
18_EA_2_MonWed_Short,EA,Short,2015-05-06 09:59:00,2015-05-07 00:54:00,-90.0,SL,9,59,90,180,0.0001,1.5,0.00015,2623.300000000003,2950.1000000000013,326.7999999999984,219.5,219.5,53.0,27.571,2015-05-06,EA_Rev4,27.414,Rejected,1.0057270008025097,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,-1.0,-16485.81518203618,845446.858049782,969379.7405225494,123932.88247276738,12.784760944762544
22_GA_C_2,GA,Long,2015-05-07 16:56:00,2015-05-07 23:53:00,80.0,TP,16,56,70,80,0.0001,2.0,0.0002,2984.800000000003,2984.800000000003,0.0,172.6,229.9,198.0,40.621,2015-05-07,GA,33.129,Rejected,1.2261462766760243,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,1.1428571428571428,18840.93163661278,864287.7896863947,969379.7405225494,105091.95083615463,10.841154033145385
9_AJ_Core2,AJ,Short,2015-05-07 17:14:00,2015-05-08 01:14:00,18.6,TimeExit,17,14,30,80,0.01,1.5,0.015,3008.200000000003,3008.200000000003,0.0,96.4,122.6,102.3,26.021,2015-05-07,CrossJPY_16,19.679,Rejected,1.3222724731947764,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,0.62,10221.205412862433,874508.9950992572,969379.7405225494,94870.74542329216,9.786747283593071
19_EA_3_WedThu_Long,EA,Long,2015-05-07 20:56:00,2015-05-08 10:00:00,27.7,TimeExit,20,56,90,999,0.0001,1.5,0.00015,3035.900000000003,3035.900000000003,0.0,151.1,332.2,207.1,40.421,2015-05-07,EA_Rev4,27.414,Rejected,1.4744656015174726,2015-05-04 06:00:00,Rejected_H1_ATR_P70,824290.7591018091,16485.81518203618,0.30777777777777776,5073.967561582247,879582.9626608393,969379.7405225494,89796.77786171006,9.263323144478408
27_EA_China_Demand,EA,Short,2015-05-11 10:00:00,2015-05-11 15:50:00,-22.0,TimeExit,10,0,60,60,0.0001,1.5,0.00015,3004.0000000000027,3036.0000000000027,32.0,96.3,42.3,42.3,33.671,2015-05-11,China_Demand,27.414,Rejected,1.228241044721675,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.36666666666666664,-6450.275059512821,873132.6876013265,969379.7405225494,96247.05292122287,9.9287254414189
26_AJ_China_Demand,AJ,Long,2015-05-11 10:00:00,2015-05-11 15:50:00,0.1,TimeExit,10,0,45,80,0.01,1.5,0.015,3036.0000000000027,3036.0000000000027,0.0,36.3,26.7,26.7,22.943,2015-05-11,China_Demand,19.679,Rejected,1.1658620864881348,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.0022222222222222222,39.09257611825952,873171.7801774448,969379.7405225494,96207.96034510457,9.924692700225316
25_AU_China_Demand,AU,Long,2015-05-11 10:00:00,2015-05-11 15:50:00,-10.0,TimeExit,10,0,40,40,0.0001,1.5,0.00015,3026.0000000000027,3036.0000000000027,10.0,32.3,23.1,23.1,23.743,2015-05-11,China_Demand,15.267,Rejected,1.5551843846204232,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.25,-4397.914813304196,868773.8653641406,969379.7405225494,100605.87515840877,10.378376084502925
20_EA_1A_MonTue_Short,EA,Short,2015-05-11 10:01:00,2015-05-11 16:00:00,-30.8,TimeExit,10,1,50,125,0.0001,1.5,0.00015,2973.2000000000025,3036.0000000000027,62.80000000000018,96.3,42.3,42.3,33.671,2015-05-11,EA_Rev4,27.414,Rejected,1.228241044721675,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.616,-10836.46209998154,857937.4032641591,969379.7405225494,111442.33725839027,11.496251943362946
8_AJ_Core1,AJ,Long,2015-05-11 08:01:00,2015-05-11 22:46:00,-7.7,TimeExit,8,1,70,110,0.01,1.5,0.015,2965.5000000000027,3036.0000000000027,70.5,36.3,25.6,25.6,22.757,2015-05-11,CrossJPY_16,19.679,Rejected,1.1564103867066418,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.11,-1935.0825178538464,856002.3207463052,969379.7405225494,113377.4197762442,11.695872632445104
2_EJ_NightBlitz_20,EJ,Long,2015-05-11 20:56:00,2015-05-12 04:45:00,37.3,TimeExit,20,56,45,70,0.01,1.0,0.01,3002.800000000003,3036.0000000000027,33.19999999999982,68.1,74.2,74.2,24.95,2015-05-11,CrossJPY_16,23.232,Rejected,1.0739497245179064,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.8288888888888888,14581.5308921108,870583.8516384161,969379.7405225494,98795.88888413331,10.191660167240224
1_EJ_Log1,EJ,Long,2015-05-11 13:55:00,2015-05-12 04:55:00,33.7,TimeExit,13,55,70,250,0.01,1.0,0.01,3036.5000000000027,3036.5000000000027,0.0,68.1,71.2,71.2,24.714,2015-05-11,CrossJPY_16,23.232,Rejected,1.0637913223140496,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.4814285714285715,8469.127383334368,879052.9790217504,969379.7405225494,90326.76150079898,9.317995592945636
18_EA_2_MonWed_Short,EA,Short,2015-05-11 09:59:00,2015-05-12 05:26:00,-9.0,TimeExit,9,59,90,180,0.0001,1.5,0.00015,3027.5000000000027,3036.5000000000027,9.0,96.3,42.3,42.3,34.007,2015-05-11,EA_Rev4,27.414,Rejected,1.240497555993288,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.1,-1759.1659253216785,877293.8130964288,969379.7405225494,92085.92742612062,9.499468946656673
3_EJ_NightBlitz_21,EJ,Long,2015-05-11 21:56:00,2015-05-12 05:27:00,38.6,TimeExit,21,56,75,70,0.01,1.0,0.01,3066.100000000002,3066.100000000002,0.0,68.1,74.2,74.2,25.65,2015-05-11,CrossJPY_16,23.232,Rejected,1.1040805785123966,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.5146666666666667,9053.840628988906,886347.6537254176,969379.7405225494,83032.08679713181,8.565486086223848
4_GJ_Port_Log1,GJ,Long,2015-05-12 00:00:00,2015-05-12 08:55:00,42.7,TimeExit,0,0,130,90,0.01,2.0,0.02,3108.8000000000025,3108.8000000000025,0.0,222.8,222.8,,36.329,2015-05-12,CrossJPY_16,31.189,Rejected,1.1648016929045497,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.32846153846153847,5778.183462402744,892125.8371878203,969379.7405225494,77253.90333472902,7.969415916726802
28_GA_China_Demand,GA,Short,2015-05-12 10:00:00,2015-05-12 13:42:00,70.0,TP,10,0,75,70,0.0001,2.0,0.0002,3178.8000000000025,3178.8000000000025,0.0,228.2,288.8,122.7,40.036,2015-05-12,China_Demand,33.129,Rejected,1.208488031633916,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.9333333333333333,16418.881969669,908544.7191574894,969379.7405225494,60835.021365060005,6.2756646154237306
5_GJ_Port_Log2,GJ,Short,2015-05-12 09:55:00,2015-05-12 18:01:00,-90.0,SL,9,55,90,999,0.01,2.0,0.02,3223.0000000000023,3313.0000000000023,90.0,222.8,281.8,79.5,33.9,2015-05-12,CrossJPY_16,31.189,Rejected,1.0869216711019911,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-1.0,-17591.659253216785,890953.0599042726,969379.7405225494,78426.68061827682,8.090398152534165
18_EA_2_MonWed_Short,EA,Short,2015-05-12 09:59:00,2015-05-13 05:26:00,66.2,TimeExit,9,59,90,180,0.0001,1.5,0.00015,3289.200000000002,3313.0000000000023,23.800000000000185,80.2,80.7,60.2,28.064,2015-05-12,EA_Rev4,27.414,Rejected,1.0237105128766324,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.7355555555555556,12939.642695143903,903892.7025994165,969379.7405225494,65487.037923132884,6.7555608174596
4_GJ_Port_Log1,GJ,Long,2015-05-13 00:00:00,2015-05-13 08:55:00,2.2,TimeExit,0,0,130,90,0.01,2.0,0.02,3291.400000000002,3313.0000000000023,21.600000000000364,177.0,177.0,,38.336,2015-05-13,CrossJPY_16,31.189,Rejected,1.2291513033441277,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.016923076923076926,297.70500274674566,904190.4076021631,969379.7405225494,65189.33292038622,6.724849942216202
27_EA_China_Demand,EA,Short,2015-05-13 10:00:00,2015-05-13 13:20:00,-60.0,SL,10,0,60,60,0.0001,1.5,0.00015,3231.400000000002,3313.0000000000023,81.60000000000036,110.1,160.3,91.0,36.179,2015-05-13,China_Demand,27.414,Rejected,1.3197271467133582,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-1.0,-17591.659253216785,886598.7483489463,969379.7405225494,82780.99217360304,8.539583479326636
17_EA_1B_Wed_Short,EA,Short,2015-05-13 09:59:00,2015-05-13 14:31:00,-70.0,SL,9,59,70,175,0.0001,1.5,0.00015,3161.400000000002,3313.0000000000023,151.60000000000036,110.1,160.3,91.0,36.321,2015-05-13,EA_Rev4,27.414,Rejected,1.3249069818340993,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-1.0,-17591.659253216785,869007.0890957295,969379.7405225494,100372.65142681985,10.35431701643707
28_GA_China_Demand,GA,Short,2015-05-13 10:00:00,2015-05-13 14:40:00,-75.0,SL,10,0,75,70,0.0001,2.0,0.0002,3086.400000000002,3313.0000000000023,226.6000000000004,173.4,166.6,136.3,45.293,2015-05-13,China_Demand,33.129,Rejected,1.367170756738809,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-1.0,-17591.659253216785,851415.4298425127,969379.7405225494,117964.31068003667,12.169050553547505
26_AJ_China_Demand,AJ,Long,2015-05-13 10:00:00,2015-05-13 15:50:00,-12.1,TimeExit,10,0,45,80,0.01,1.5,0.015,3074.300000000002,3313.0000000000023,238.70000000000027,119.2,120.6,64.9,19.686,2015-05-13,China_Demand,19.679,Rejected,1.0003557091315616,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.2688888888888889,-4730.201710309402,846685.2281322032,969379.7405225494,122694.51239034615,12.657012237970541
25_AU_China_Demand,AU,Long,2015-05-13 10:00:00,2015-05-13 15:50:00,-17.2,TimeExit,10,0,40,40,0.0001,1.5,0.00015,3057.100000000002,3313.0000000000023,255.9000000000001,106.7,122.4,59.4,18.029,2015-05-13,China_Demand,15.267,Rejected,1.1809130805004258,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.43,-7564.413478883217,839120.81465332,969379.7405225494,130258.92586922937,13.437347658928026
2_EJ_NightBlitz_20,EJ,Long,2015-05-13 20:56:00,2015-05-13 23:02:00,70.0,TP,20,56,45,70,0.01,1.0,0.01,3127.100000000002,3313.0000000000023,185.9000000000001,165.3,96.2,86.8,25.45,2015-05-13,CrossJPY_16,23.232,Rejected,1.0954717630853994,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,1.5555555555555556,27364.803282781668,866485.6179361017,969379.7405225494,102894.12258644763,10.614428823422903
18_EA_2_MonWed_Short,EA,Short,2015-05-13 09:59:00,2015-05-14 05:26:00,41.0,TimeExit,9,59,90,180,0.0001,1.5,0.00015,3195.600000000002,3313.0000000000023,117.40000000000008,110.1,160.3,91.0,36.321,2015-05-13,EA_Rev4,27.414,Rejected,1.3249069818340993,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.45555555555555555,8013.978104243202,874499.596040345,969379.7405225494,94880.14448220434,9.787716878739253
3_EJ_NightBlitz_21,EJ,Long,2015-05-13 21:56:00,2015-05-14 05:27:00,25.0,TimeExit,21,56,75,70,0.01,1.0,0.01,3220.600000000002,3313.0000000000023,92.40000000000008,165.3,96.2,86.8,25.579,2015-05-13,CrossJPY_16,23.232,Rejected,1.1010244490358128,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.3333333333333333,5863.886417738928,880363.4824580839,969379.7405225494,89016.25806446548,9.182805699702449
19_EA_3_WedThu_Long,EA,Long,2015-05-13 20:56:00,2015-05-14 10:00:00,8.7,TimeExit,20,56,90,999,0.0001,1.5,0.00015,3229.300000000002,3313.0000000000023,83.70000000000027,110.1,191.3,174.8,39.607,2015-05-13,EA_Rev4,27.414,Rejected,1.4447727438535054,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.09666666666666666,1700.5270611442893,882064.0095192282,969379.7405225494,87315.73100332113,9.007381457781767
28_GA_China_Demand,GA,Short,2015-05-14 10:00:00,2015-05-14 10:47:00,70.0,TP,10,0,75,70,0.0001,2.0,0.0002,3299.300000000002,3313.0000000000023,13.700000000000273,354.7,334.2,80.2,43.457,2015-05-14,China_Demand,33.129,Rejected,1.3117510338374234,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.9333333333333333,16418.881969669,898482.8914888971,969379.7405225494,70896.84903365222,7.313630156478708
27_EA_China_Demand,EA,Short,2015-05-14 10:00:00,2015-05-14 15:47:00,-60.0,SL,10,0,60,60,0.0001,1.5,0.00015,3239.300000000002,3313.0000000000023,73.70000000000027,183.0,183.0,72.5,27.836,2015-05-14,China_Demand,27.414,Rejected,1.015393594513752,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-1.0,-17591.659253216785,880891.2322356805,969379.7405225494,88488.50828686892,9.128363693589131
25_AU_China_Demand,AU,Long,2015-05-14 10:00:00,2015-05-14 15:50:00,10.6,TimeExit,10,0,40,40,0.0001,1.5,0.00015,3235.6000000000017,3313.0000000000023,77.40000000000055,166.8,164.5,34.5,19.657,2015-05-14,China_Demand,15.267,Rejected,1.2875483068055282,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.265,4661.789702102448,885553.0219377829,969379.7405225494,83826.7185847665,8.64745930625487
26_AJ_China_Demand,AJ,Long,2015-05-14 10:00:00,2015-05-14 15:50:00,-14.3,TimeExit,10,0,45,80,0.01,1.5,0.015,3225.000000000002,3313.0000000000023,88.00000000000045,148.3,149.5,57.0,20.786,2015-05-14,China_Demand,19.679,Rejected,1.0562528583769502,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-0.31777777777777777,-5590.238384911112,879962.7835528718,969379.7405225494,89416.95696967759,9.224141296936626
9_AJ_Core2,AJ,Short,2015-05-14 17:14:00,2015-05-14 19:12:00,-30.0,SL,17,14,30,80,0.01,1.5,0.015,3205.6000000000017,3313.0000000000023,107.40000000000056,148.3,158.3,113.9,24.071,2015-05-14,CrossJPY_16,19.679,Rejected,1.2231820722597695,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-1.0,-17591.659253216785,862371.124299655,969379.7405225494,107008.6162228944,11.03887483404706
22_GA_C_2,GA,Long,2015-05-14 16:56:00,2015-05-14 21:54:00,-70.0,SL,16,56,70,80,0.0001,2.0,0.0002,3045.6000000000017,3313.0000000000023,267.40000000000055,354.7,394.5,235.6,39.614,2015-05-14,GA,33.129,Rejected,1.19574994717619,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,-1.0,-17591.659253216785,844779.4650464382,969379.7405225494,124600.27547611122,12.853608371157495
19_EA_3_WedThu_Long,EA,Long,2015-05-14 20:56:00,2015-05-15 10:00:00,58.0,TimeExit,20,56,90,999,0.0001,1.5,0.00015,3103.6000000000017,3313.0000000000023,209.4000000000005,183.0,230.6,230.6,41.85,2015-05-14,EA_Rev4,27.414,Rejected,1.5265922521339461,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.6444444444444445,11336.847074295263,856116.3121207334,969379.7405225494,113263.42840181594,11.68411342501966
10_AJ_SatA,AJ,Short,2015-05-15 10:58:00,2015-05-15 13:51:00,6.0,TimeExit,10,58,50,25,0.01,1.5,0.015,3109.6000000000017,3313.0000000000023,203.4000000000005,116.2,124.1,47.9,21.3,2015-05-15,CrossJPY_16,19.679,Rejected,1.0823720717516134,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.12,2110.9991103860143,858227.3112311194,969379.7405225494,111152.42929142993,11.466345400566409
27_EA_China_Demand,EA,Short,2015-05-15 10:00:00,2015-05-15 15:50:00,23.9,TimeExit,10,0,60,60,0.0001,1.5,0.00015,3133.500000000002,3313.0000000000023,179.50000000000043,230.6,259.8,117.5,35.85,2015-05-15,China_Demand,27.414,Rejected,1.3077259794265703,2015-05-11 06:00:00,Rejected_H1_ATR_P70,879582.9626608393,17591.659253216785,0.3983333333333333,7007.344269198019,865234.6555003175,969379.7405225494,104145.08502223191,10.74347654161742
