Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,PipSize,SpreadPips,SpreadPrice,CumPips,MaxCumPips,Drawdown,PrevDayRangePips,Range24hPips,DayToEntryRangePips,H1_ATR14_Pips,EntryDate,Group,H1_ATR_P70_Threshold,FilterDecision,ATR_to_Threshold_Ratio,TradingWeekStart,Dataset,WeekStartBalance,RiskAmountYen,RMultiple,YenPnL,Equity,PeakEquity,DrawdownYen,DrawdownPct
18_EA_2_MonWed_Short,EA,Short,2022-12-05 09:59:00,2022-12-05 23:11:00,-90.0,SL,9,59,90,180,0.0001,1.5,0.00015,59317.5,59407.5,90.0,74.0,63.9,63.9,30.5,2022-12-05,EA_Rev4,27.414,Rejected,1.112570219595827,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,-1.0,-25818412.329916798,1306813977.1760306,1332632389.5059474,25818412.329916716,1.9373994308729423
21_GA_B_3,GA,Long,2022-12-05 21:02:00,2022-12-06 02:18:00,100.0,TP,21,2,220,100,0.0001,2.0,0.0002,59417.5,59417.5,0.0,75.8,104.3,104.3,36.171,2022-12-05,GA,33.129,Rejected,1.0918228742189624,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,0.45454545454545453,11735641.968143998,1318549619.1441746,1332632389.5059474,14082770.361772776,1.0567633259306974
2_EJ_NightBlitz_20,EJ,Long,2022-12-05 20:56:00,2022-12-06 04:45:00,40.9,TimeExit,20,56,45,70,0.01,1.0,0.01,59458.4,59458.4,0.0,76.3,165.0,165.0,28.557,2022-12-05,CrossJPY_16,23.232,Rejected,1.2292097107438016,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,0.9088888888888889,23466068.095413268,1342015687.2395878,1342015687.2395878,0.0,0.0
1_EJ_Log1,EJ,Long,2022-12-05 13:55:00,2022-12-06 04:55:00,132.0,TimeExit,13,55,70,250,0.01,1.0,0.01,59590.4,59590.4,0.0,76.3,84.1,84.1,27.171,2022-12-05,CrossJPY_16,23.232,Rejected,1.1695506198347108,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,1.8857142857142857,48686148.96498596,1390701836.2045736,1390701836.2045736,0.0,0.0
3_EJ_NightBlitz_21,EJ,Long,2022-12-05 21:56:00,2022-12-06 05:27:00,23.8,TimeExit,21,56,75,70,0.01,1.0,0.01,59614.2,59614.2,0.0,76.3,168.8,168.8,30.407,2022-12-05,CrossJPY_16,23.232,Rejected,1.3088412534435263,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,0.31733333333333336,8193042.846026931,1398894879.0506005,1398894879.0506005,0.0,0.0
5_GJ_Port_Log2,GJ,Short,2022-12-06 09:55:00,2022-12-06 23:55:00,21.3,TimeExit,9,55,90,999,0.01,2.0,0.02,59635.50000000001,59635.50000000001,0.0,172.8,151.9,76.6,35.843,2022-12-06,CrossJPY_16,31.189,Rejected,1.1492192760268045,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,0.23666666666666666,6110357.584746975,1405005236.6353476,1405005236.6353476,0.0,0.0
2_EJ_NightBlitz_20,EJ,Long,2022-12-07 20:56:00,2022-12-07 22:46:00,-45.0,SL,20,56,45,70,0.01,1.0,0.01,59430.50000000001,59635.50000000001,205.0,90.7,139.5,137.5,26.414,2022-12-07,CrossJPY_16,23.232,Rejected,1.1369662534435263,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,-1.0,-25818412.329916798,1379186824.305431,1405005236.6353476,25818412.329916716,1.8376025694925988
3_EJ_NightBlitz_21,EJ,Long,2022-12-07 21:56:00,2022-12-07 23:15:00,-75.0,SL,21,56,75,70,0.01,1.0,0.01,59355.50000000001,59635.50000000001,280.0,90.7,146.6,146.6,27.907,2022-12-07,CrossJPY_16,23.232,Rejected,1.2012310606060606,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,-1.0,-25818412.329916798,1353368411.9755142,1405005236.6353476,51636824.65983343,3.6752051389851976
19_EA_3_WedThu_Long,EA,Long,2022-12-07 20:56:00,2022-12-07 23:36:00,-90.0,SL,20,56,90,999,0.0001,1.5,0.00015,59265.50000000001,59635.50000000001,370.0,111.6,134.1,134.1,28.493,2022-12-07,EA_Rev4,27.414,Rejected,1.0393594513752096,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,-1.0,-25818412.329916798,1327549999.6455975,1405005236.6353476,77455236.98975015,5.512807708477797
5_GJ_Port_Log2,GJ,Short,2022-12-08 09:55:00,2022-12-08 23:55:00,-38.0,TimeExit,9,55,90,999,0.01,2.0,0.02,59076.100000000006,59635.50000000001,559.4000000000015,146.9,125.4,73.3,35.007,2022-12-08,CrossJPY_16,31.189,Rejected,1.1224149539901889,2022-12-05 06:00:00,Rejected_H1_ATR_P70,1290920616.4958398,25818412.329916798,-0.4222222222222222,-10901107.428187093,1316648892.2174103,1405005236.6353476,88356344.41793728,6.288684348930232
26_AJ_China_Demand,AJ,Long,2022-12-12 10:00:00,2022-12-12 15:50:00,17.9,TimeExit,10,0,45,80,0.01,1.5,0.015,58968.600000000006,59635.50000000001,666.9000000000015,51.1,49.6,49.6,20.943,2022-12-12,China_Demand,19.679,Rejected,1.064230906041974,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.39777777777777773,10474673.409196278,1327123565.6266067,1405005236.6353476,77881671.0087409,5.543158771083938
27_EA_China_Demand,EA,Short,2022-12-12 10:00:00,2022-12-12 15:50:00,1.9,TimeExit,10,0,60,60,0.0001,1.5,0.00015,58970.50000000001,59635.50000000001,665.0,77.4,88.5,88.5,33.321,2022-12-12,China_Demand,27.414,Rejected,1.2154738454804113,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.03166666666666666,833877.6317376925,1327957443.2583444,1405005236.6353476,77047793.3770032,5.483808271171592
25_AU_China_Demand,AU,Long,2022-12-12 10:00:00,2022-12-12 15:50:00,8.2,TimeExit,10,0,40,40,0.0001,1.5,0.00015,58978.7,59635.50000000001,656.8000000000029,51.5,45.5,45.5,19.493,2022-12-12,China_Demand,15.267,Rejected,1.2768061832711075,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.205,5398260.458091378,1333355703.716436,1405005236.6353476,71649532.9189117,5.099591877002198
20_EA_1A_MonTue_Short,EA,Short,2022-12-12 10:01:00,2022-12-12 16:00:00,3.2,TimeExit,10,1,50,125,0.0001,1.5,0.00015,58981.9,59635.50000000001,653.6000000000058,77.4,88.5,88.5,33.321,2022-12-12,EA_Rev4,27.414,Rejected,1.2154738454804113,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.064,1685310.582038284,1335041014.2984743,1405005236.6353476,69964222.3368733,4.979641392968821
28_GA_China_Demand,GA,Short,2022-12-12 10:00:00,2022-12-12 16:10:00,20.1,TimeExit,10,0,75,70,0.0001,2.0,0.0002,59002.0,59635.50000000001,633.5000000000073,102.3,118.1,118.1,36.857,2022-12-12,China_Demand,33.129,Rejected,1.112529807721332,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.268,7057238.062285315,1342098252.3607597,1405005236.6353476,62906984.27458787,4.477348741079079
18_EA_2_MonWed_Short,EA,Short,2022-12-12 09:59:00,2022-12-12 22:11:00,-90.0,SL,9,59,90,180,0.0001,1.5,0.00015,58912.0,59635.50000000001,723.5000000000073,77.4,88.5,88.5,32.95,2022-12-12,EA_Rev4,27.414,Rejected,1.201940614284672,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,-1.0,-26332977.84434819,1315765274.5164115,1405005236.6353476,89239962.11893606,6.351575054100474
21_GA_B_3,GA,Long,2022-12-12 21:02:00,2022-12-13 01:42:00,100.0,TP,21,2,220,100,0.0001,2.0,0.0002,59150.9,59635.50000000001,484.6000000000058,102.3,169.8,169.8,33.821,2022-12-12,GA,33.129,Rejected,1.0208880437079295,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.45454545454545453,11969535.38379463,1327734809.900206,1405005236.6353476,77270426.73514152,5.499654002727119
3_EJ_NightBlitz_21,EJ,Long,2022-12-12 21:56:00,2022-12-13 05:27:00,33.4,TimeExit,21,56,75,70,0.01,1.0,0.01,59328.1,59635.50000000001,307.4000000000088,47.4,120.1,120.1,23.393,2022-12-12,CrossJPY_16,23.232,Rejected,1.0069300964187329,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.4453333333333333,11726952.800016392,1339461762.7002225,1405005236.6353476,65543473.93512511,4.664998551328257
26_AJ_China_Demand,AJ,Long,2022-12-14 10:00:00,2022-12-14 15:50:00,26.8,TimeExit,10,0,45,80,0.01,1.5,0.015,59360.1,59635.50000000001,275.4000000000088,83.4,96.6,63.5,23.714,2022-12-14,China_Demand,19.679,Rejected,1.2050409065501295,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.5955555555555556,15682751.249522923,1355144513.9497454,1405005236.6353476,49860722.68560219,3.5487926582399596
25_AU_China_Demand,AU,Long,2022-12-15 10:00:00,2022-12-15 13:21:00,-40.0,SL,10,0,40,40,0.0001,1.5,0.00015,59320.1,59635.50000000001,315.4000000000088,70.7,71.5,71.5,18.679,2022-12-15,China_Demand,15.267,Rejected,1.2234885701185563,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,-1.0,-26332977.84434819,1328811536.1053972,1405005236.6353476,76193700.52995038,5.423018971261354
23_GA_F_2,GA,Short,2022-12-16 19:42:00,2022-12-16 22:45:00,-17.9,TimeExit,19,42,90,200,0.0001,2.0,0.0002,59283.6,59635.50000000001,351.9000000000088,229.1,133.9,129.8,33.529,2022-12-16,GA,33.129,Rejected,1.0120740137040056,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,-0.19888888888888887,-5237336.704598139,1323574199.400799,1405005236.6353476,81431037.23454857,5.795781760184501
5_GJ_Port_Log2,GJ,Short,2022-12-16 09:55:00,2022-12-16 23:55:00,63.3,TimeExit,9,55,90,999,0.01,2.0,0.02,59346.9,59635.50000000001,288.6000000000058,181.4,122.2,86.4,38.7,2022-12-16,CrossJPY_16,31.189,Rejected,1.2408220847093527,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,0.7033333333333333,18520861.083858225,1342095060.4846573,1405005236.6353476,62910176.15069032,4.477575920026119
24_GA_D_1,GA,Long,2022-12-16 22:44:00,2022-12-17 03:08:00,-22.3,TimeExit,22,44,90,200,0.0001,2.0,0.0002,59348.1,59635.50000000001,287.4000000000088,229.1,133.9,129.8,38.043,2022-12-16,GA,33.129,Rejected,1.1483292583537084,2022-12-12 06:00:00,Rejected_H1_ATR_P70,1316648892.2174094,26332977.84434819,-0.2477777777777778,-6524726.7325440515,1335570333.7521133,1405005236.6353476,69434902.88323426,4.94196755091919
20_EA_1A_MonTue_Short,EA,Short,2022-12-19 10:01:00,2022-12-19 16:00:00,-35.8,TimeExit,10,1,50,125,0.0001,1.5,0.00015,59312.3,59635.50000000001,323.20000000001164,72.7,74.4,74.4,35.021,2022-12-19,EA_Rev4,27.414,Rejected,1.2774859560808345,2022-12-19 06:00:00,Rejected_H1_ATR_P70,1335570333.752112,26711406.675042238,-0.716,-19125367.17933024,1316444966.572783,1405005236.6353476,88560270.06256461,6.303198575590034
8_AJ_Core1,AJ,Long,2022-12-19 08:01:00,2022-12-19 22:46:00,37.3,TimeExit,8,1,70,110,0.01,1.5,0.015,59349.6,59635.50000000001,285.9000000000088,51.3,41.5,41.5,21.321,2022-12-19,CrossJPY_16,19.679,Rejected,1.0834391991462982,2022-12-19 06:00:00,Rejected_H1_ATR_P70,1335570333.752112,26711406.675042238,0.5328571428571428,14233363.84255822,1330678330.4153411,1405005236.6353476,74326906.22000647,5.290151544061264
6_GJ_Old_Mon,GJ,Long,2022-12-19 15:45:00,2022-12-19 22:50:00,42.8,TimeExit,15,45,50,210,0.01,2.0,0.02,59392.4,59635.50000000001,243.10000000000585,115.3,126.8,126.8,38.086,2022-12-19,CrossJPY_16,31.189,Rejected,1.2211356568020777,2022-12-19 06:00:00,Rejected_H1_ATR_P70,1335570333.752112,26711406.675042238,0.856,22864964.113836154,1353543294.5291772,1405005236.6353476,51461942.106170416,3.662758028533011
7_GJ_Mon_Blitz,GJ,Long,2022-12-19 18:02:00,2022-12-19 23:02:00,45.9,TimeExit,18,2,130,250,0.01,2.0,0.02,59438.3,59635.50000000001,197.2000000000044,115.3,126.8,126.8,38.793,2022-12-19,CrossJPY_16,31.189,Rejected,1.2438039052229952,2022-12-19 06:00:00,Rejected_H1_ATR_P70,1335570333.752112,26711406.675042238,0.35307692307692307,9431181.279880298,1362974475.8090575,1405005236.6353476,42030760.82629013,2.9915020763156566
2_EJ_NightBlitz_20,EJ,Long,2022-12-19 20:56:00,2022-12-20 01:10:00,70.0,TP,20,56,45,70,0.01,1.0,0.01,59508.3,59635.50000000001,127.20000000000437,99.8,122.5,122.5,38.979,2022-12-19,CrossJPY_16,23.232,Rejected,1.677815082644628,2022-12-19 06:00:00,Rejected_H1_ATR_P70,1335570333.752112,26711406.675042238,1.5555555555555556,41551077.0500657,1404525552.8591232,1405005236.6353476,479683.7762243748,0.034141066788697744
