StrategyNo,Strategy,Year,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
13,13_UJ_Fix_MidWeek,2016,19,2.466315788,0.1298060941052631578947368421,4.695583594297758958540832725,0.7368421052631578947368421053,0.2238345863571428571428571429,-0.1334736842,0.231578947,2,0,0,0,0,19,1,0,0
13,13_UJ_Fix_MidWeek,2017,19,1.675789475,0.08819944605263157894736842105,2.690021233377396424290964701,0.5263157894736842105263157895,0.2667368422,-0.1101754385555555555555555556,0.394736842,2,0,0,0,0,19,1,0,0
13,13_UJ_Fix_MidWeek,2018,20,0.430526317,0.02152631585,1.227474972944787250083597622,0.5,0.2323157895,-0.1892631578,0.414736842,2,0,0,0,0,20,1,0,0
13,13_UJ_Fix_MidWeek,2019,19,0.890526316,0.04686980610526315789473684211,2.766179538730654070616022660,0.5789473684210526315789473684,0.1267942584545454545454545455,-0.063026315875,0.100000000,2,0,0,0,0,19,1,0,0
13,13_UJ_Fix_MidWeek,2020,19,0.276842107,0.01457063721052631578947368421,1.301951781544762279433054615,0.5789473684210526315789473684,0.1085167465454545454545454545,-0.114605263125,0.531578947,1,0,0,0,0,19,1,0,0
13,13_UJ_Fix_MidWeek,2021,18,1.461052630,0.08116959055555555555555555556,10.63888883831018539592978307,0.6666666666666666666666666667,0.1343859648333333333333333333,-0.025263158,0.071578948,2,0,0,0,0,18,1,0,0
13,13_UJ_Fix_MidWeek,2022,18,2.658947367,0.1477192981666666666666666667,2.854625549056841778945977386,0.7222222222222222222222222222,0.3148178136923076923076923077,-0.2867368422,0.555789474,2,0,0,1,0.05555555555555555555555555556,17,0.9444444444444444444444444444,0,0
13,13_UJ_Fix_MidWeek,2023,20,2.158947368,0.1079473684,2.386747801642512872785828931,0.65,0.2858299595384615384615384615,-0.2224060151428571428571428571,0.684210526,2,0,0,0,0,20,1,0,0
13,13_UJ_Fix_MidWeek,2024,19,2.229473682,0.1173407201052631578947368421,2.251033665511335549530515528,0.5263157894736842105263157895,0.4011578947,-0.1980116961111111111111111111,0.840000001,3,0,0,1,0.05263157894736842105263157895,18,0.9473684210526315789473684211,0,0
13,13_UJ_Fix_MidWeek,2025,19,2.668421051,0.1404432132105263157894736842,2.531722053582935533557365758,0.6315789473684210526315789474,0.3675438595,-0.2488721804285714285714285714,0.814736842,1,0,0,0,0,19,1,0,0
