StrategyNo,Strategy,Period,Start,EndExclusive,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,MaxDDR,MaxLosingStreak,SLCount,SLRate,TPCount,TPRate,TimeCount,TimeRate,OtherCount,OtherRate
7,7_GJ_Mon_Blitz,RecentCombined,2022-01-01,2026-01-01,201,16.690000000,0.08303482587064676616915422886,1.702645811012124274505964873,0.5820895522388059701492537313,0.3456673241452991452991452991,-0.2827747252976190476190476190,2.726923078,6,4,0.01990049751243781094527363184,2,0.009950248756218905472636815920,195,0.9701492537313432835820895522,0,0
7,7_GJ_Mon_Blitz,Monitor2026,2026-01-01,2026-09-10,36,2.229230770,0.06192307694444444444444444444,1.767885532876732526043368641,0.6666666666666666666666666667,0.213846153875,-0.2419230769166666666666666667,0.877692307,4,0,0,0,0,36,1,0,0
8,8_AJ_Core1,Historical,2015-01-01,2022-01-01,354,20.651428568,0.05833736883615819209039548023,1.305288055362792329551601654,0.5395480225988700564971751412,0.4622887060418848167539267016,-0.4150043821226993865030674847,4.820000000,6,28,0.07909604519774011299435028249,10,0.02824858757062146892655367232,316,0.8926553672316384180790960452,0,0
8,8_AJ_Core1,RecentA,2022-01-01,2024-01-01,100,16.028571426,0.16028571426,1.650321683111357870891386211,0.61,0.6668149882295081967213114754,-0.6319780219487179487179487179,3.387142857,5,17,0.17,5,0.05,78,0.78,0,0
8,8_AJ_Core1,RecentB,2024-01-01,2026-01-01,100,15.284285715,0.15284285715,1.869272018381422167432795282,0.58,0.5666748768103448275862068966,-0.4186394557142857142857142857,2.581428571,5,6,0.06,6,0.06,88,0.88,0,0
8,8_AJ_Core1,RecentCombined,2022-01-01,2026-01-01,200,31.312857141,0.156564285705,1.741483711673358627674483413,0.595,0.6180072028319327731092436975,-0.5213580246419753086419753086,3.387142857,5,23,0.115,11,0.055,166,0.83,0,0
8,8_AJ_Core1,Monitor2026,2026-01-01,2026-09-10,36,2.785714285,0.07738095236111111111111111111,1.276399716430486192072410226,0.6666666666666666666666666667,0.53601190475,-0.8398809524166666666666666667,3.008571429,3,9,0.25,0,0,27,0.75,0,0
9,9_AJ_Core2,Historical,2015-01-01,2022-01-01,206,40.953333338,0.1988025890194174757281553398,1.558988125102306531236221967,0.5339805825242718446601941748,1.038333333363636363636363636,-0.7631597222083333333333333333,7.919999998,6,61,0.2961165048543689320388349515,15,0.07281553398058252427184466019,130,0.6310679611650485436893203883,0,0
9,9_AJ_Core2,RecentA,2022-01-01,2024-01-01,57,21.816666667,0.3827485380175438596491228070,2.109134045037664766393611349,0.5964912280701754385964912281,1.220196078470588235294117647,-0.8552173913478260869565217391,4.010000000,4,18,0.3157894736842105263157894737,7,0.1228070175438596491228070175,32,0.5614035087719298245614035088,0,0
9,9_AJ_Core2,RecentB,2024-01-01,2026-01-01,57,2.836666668,0.04976608189473684210526315789,1.112804878104793342473615942,0.4736842105263157894736842105,1.036419753111111111111111111,-0.8382222222,7.590000000,4,23,0.4035087719298245614035087719,5,0.08771929824561403508771929825,29,0.5087719298245614035087719298,0,0
