Period,Method,Scope,ScopeType,StrategyNo,Strategy,Group,Aggregation,Eligible,EligibleStrategies,EligibleIDs,PrespecifiedSubgroup,Support,Q1AvgR,Q2AvgR,Q3AvgR,Q4AvgR,Q5AvgR,Q5MinusQ1AvgR,Q2MinusQ1AvgR,Q3MinusQ2AvgR,Q4MinusQ3AvgR,Q5MinusQ4AvgR,Spearman,AdjacentIncreases,StrictlyIncreasing,Nondecreasing,Complete,CILow,CIHigh,ValidBootstraps,CombinedConclusion
RecentB,primary,JPY,Group,,,JPY,trade_weighted,True,3,1|2|3,False,DESCRIPTIVE_ONLY,0.08806359704954128,0.10996517094607844,0.13584725926838234,0.17388678688297873,0.19977150652649006,0.11170790947694878,0.021901573896537158,0.025882088322303903,0.03803952761459639,0.025884719643511328,0.9999999999999999,4.0,True,True,True,,,0,DESCRIPTIVE_ONLY
RecentB,primary,JPY,Group,,,JPY,strategy_equal_weighted,True,3,1|2|3,False,DESCRIPTIVE_ONLY,0.12601493720918366,0.054202982258658015,0.2740705467373016,0.0565679255720854,0.25123018911915407,0.1252152519099704,-0.07181195495052564,0.21986756447864356,-0.21750262116521618,0.19466226354706867,0.3,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,primary,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,-0.00011580774285714727,0.07520331679710145,0.019940215876288657,0.033593139579268294,0.15649211921621622,0.15660792695907338,0.07531912453995859,-0.05526310092081279,0.013652923702979637,0.12289897963694793,0.7,3.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,primary,AUD_nonJPY,Group,,,AUD_nonJPY,strategy_equal_weighted,False,0,,False,DESCRIPTIVE_ONLY,,,,,,,,,,,,,False,False,False,,,0,DESCRIPTIVE_ONLY
RecentB,primary,Long,Group,,,Long,trade_weighted,True,3,1|2|3,False,DESCRIPTIVE_ONLY,0.06711169754561402,0.09785018932682926,0.08380582827731092,0.06312429907194245,0.21689152921875002,0.149779831673136,0.030738491781215238,-0.014044361049518339,-0.020681529205368476,0.15376723014680757,0.3,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,primary,Long,Group,,,Long,strategy_equal_weighted,True,3,1|2|3,False,DESCRIPTIVE_ONLY,0.12601493720918366,0.054202982258658015,0.2740705467373016,0.0565679255720854,0.25123018911915407,0.1252152519099704,-0.07181195495052564,0.21986756447864356,-0.21750262116521618,0.19466226354706867,0.3,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,primary,Short,Group,,,Short,trade_weighted,False,0,,False,DESCRIPTIVE_ONLY,0.024537603896202523,0.09307783780291969,0.09154854943421052,0.22021900982142853,0.1305276535186722,0.10599004962246969,0.06854023390671717,-0.001529288368709164,0.12867046038721802,-0.08969135630275632,0.7999999999999999,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,primary,Short,Group,,,Short,strategy_equal_weighted,False,0,,False,DESCRIPTIVE_ONLY,,,,,,,,,,,,,False,False,False,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,1,Strategy,1.0,1_EJ_Log1,,trade_weighted,True,1,1,True,DESCRIPTIVE_ONLY,0.10040816326190474,0.2945982143125,0.11248847925806456,0.44428571433333325,0.06088435371428572,-0.03952380954761902,0.19419005105059525,-0.18210973505443545,0.3317972350752687,-0.3834013606190475,-0.09999999999999999,2.0,False,False,True,,,0,DESCRIPTIVE_ONLY
RecentB,robustness,2,Strategy,2.0,2_EJ_NightBlitz_20,,trade_weighted,True,1,2,False,DESCRIPTIVE_ONLY,0.17252136759615386,0.17045045045945947,0.04575163400000002,0.24645502661904758,0.012698412750000023,-0.15982295484615383,-0.0020709171366943835,-0.12469881645945946,0.20070339261904757,-0.23375661386904756,-0.39999999999999997,1.0,False,False,True,,,0,DESCRIPTIVE_ONLY
