Period,Method,Scope,Quintile,Trades,TotalTrades,CoveragePct
Monitor2026,robustness,11,Q4,4,25,16.0
Monitor2026,robustness,11,Q5,5,25,20.0
Monitor2026,robustness,11,INSUFFICIENT_VOL_HISTORY,0,25,0.0
Monitor2026,robustness,12,Q1,20,33,60.60606060606061
Monitor2026,robustness,12,Q2,6,33,18.181818181818183
Monitor2026,robustness,12,Q3,5,33,15.151515151515152
Monitor2026,robustness,12,Q4,2,33,6.0606060606060606
Monitor2026,robustness,12,Q5,0,33,0.0
Monitor2026,robustness,12,INSUFFICIENT_VOL_HISTORY,0,33,0.0
Monitor2026,robustness,13,Q1,7,15,46.666666666666664
Monitor2026,robustness,13,Q2,4,15,26.666666666666668
Monitor2026,robustness,13,Q3,2,15,13.333333333333334
Monitor2026,robustness,13,Q4,2,15,13.333333333333334
Monitor2026,robustness,13,Q5,0,15,0.0
Monitor2026,robustness,13,INSUFFICIENT_VOL_HISTORY,0,15,0.0
Monitor2026,robustness,14,Q1,2,6,33.33333333333333
Monitor2026,robustness,14,Q2,1,6,16.666666666666664
Monitor2026,robustness,14,Q3,1,6,16.666666666666664
Monitor2026,robustness,14,Q4,1,6,16.666666666666664
Monitor2026,robustness,14,Q5,1,6,16.666666666666664
Monitor2026,robustness,14,INSUFFICIENT_VOL_HISTORY,0,6,0.0
Monitor2026,robustness,15,Q1,0,5,0.0
Monitor2026,robustness,15,Q2,0,5,0.0
Monitor2026,robustness,15,Q3,0,5,0.0
Monitor2026,robustness,15,Q4,0,5,0.0
Monitor2026,robustness,15,Q5,5,5,100.0
Monitor2026,robustness,15,INSUFFICIENT_VOL_HISTORY,0,5,0.0
Monitor2026,robustness,16,Q1,2,4,50.0
Monitor2026,robustness,16,Q2,1,4,25.0
Monitor2026,robustness,16,Q3,0,4,0.0
Monitor2026,robustness,16,Q4,1,4,25.0
Monitor2026,robustness,16,Q5,0,4,0.0
Monitor2026,robustness,16,INSUFFICIENT_VOL_HISTORY,0,4,0.0
Monitor2026,robustness,17,Q1,3,19,15.789473684210526
Monitor2026,robustness,17,Q2,6,19,31.57894736842105
Monitor2026,robustness,17,Q3,2,19,10.526315789473683
Monitor2026,robustness,17,Q4,4,19,21.052631578947366
Monitor2026,robustness,17,Q5,4,19,21.052631578947366
Monitor2026,robustness,17,INSUFFICIENT_VOL_HISTORY,0,19,0.0
Monitor2026,robustness,18,Q1,14,61,22.950819672131146
